# arcade-merge-cards reviewed pairs — generated 2026-08-19
# system	srcCollapseKey	dstCollapseKey	signals	# srcTitle => dstTitle
a2600	airseabattletargetfun	airseabattle	igdb,ra	# Air-Sea Battle ~ Target Fun => Air-Sea Battle
a2600	basicmathmath	basicmath	igdb,ra	# Basic Math ~ Math => Basic Math
a2600	bobbygehtheim	bobbyisgoinghome	lb-alias	# Bobby geht Heim => Bobby Is Going Home
a2600	casinopokerplus	casino	igdb,ra	# Casino ~ Poker Plus => Casino
a2600	combattankplus	combat	igdb,lb-alias,ra	# Combat ~ Tank-Plus => Combat
a2600	criminalpersuit	mysteriousthief	lb-alias	# Criminal Persuit => A Mysterious Thief
a2600	dancingplate	dishaster	lb-alias	# Dancing Plate => Dishaster
a2600	dodgeemdodgercars	dodgeem	lb-alias	# Dodge 'Em ~ Dodger Cars => Dodge 'Em
a2600	firespinner	spinningfireball	lb-alias	# Fire Spinner => Spinning Fireball
a2600	flagcapturecapture	flagcapture	igdb	# Flag Capture ~ Capture => Flag Capture
a2600	gogohomemonster	aliensreturn	lb-alias	# Go Go Home Monster => Aliens Return
a2600	hangmanspelling	hangman	lb-alias,ra	# Hangman - Spelling => Hangman
a2600	helldriver	racingcar	lb-alias	# Hell Driver => Racing Car
a2600	homerunbaseball	homerun	lb-alias	# Home Run - Baseball => Home Run
a2600	humancannonballcannonman	humancannonball	igdb,lb-alias	# Human Cannonball - Cannon Man => Human Cannonball
a2600	huntandscorememorymatch	huntandscore	lb-alias	# Hunt & Score - Memory Match => Hunt & Score
a2600	indy500race	indy500	igdb,lb-alias	# Indy 500 - Race => Indy 500
a2600	mazecrazegameofcopsnrobbersmazemaniagameofcopsnrobbers	mazecrazegameofcopsnrobbers	igdb,ra	# Maze Craze - A Game of Cops 'n Robbers - Maze Mania - A Game of Cops 'n Robbers => Maze Craze - A Game of Cops 'n Robbers
a2600	miniaturegolfarcadegolf	miniaturegolf	lb-alias	# Miniature Golf - Arcade Golf => Miniature Golf
a2600	omonstromarinho	seamonster	lb-alias	# O Monstro Marinho => Sea Monster
a2600	outlawgunslinger	outlaw	lb-alias	# Outlaw - Gunslinger => Outlaw
a2600	partymixbopbuggytugofwarwizardskeepdownonlinehandcar	partymix	lb-alias	# Party Mix - Bop a Buggy, Tug of War, Wizard's Keep, Down on the Line, Handcar => Party Mix
a2600	phantomufo	spiderfighter	lb-alias	# Phantom UFO => Spider Fighter
a2600	skindiver	seahuntscubadiver	lb-alias	# Skindiver => Sea Hunt ~ Scuba Diver
a2600	skyalien	assault	lb-alias	# Sky Alien => Assault
a2600	skydiverdarediver	skydiver	igdb	# Sky Diver - Dare Diver => Sky Diver
a2600	slotmachineslots	slotmachine	igdb	# Slot Machine - Slots => Slot Machine
a2600	slotracersmaze	slotracers	igdb	# Slot Racers - Maze => Slot Racers
a2600	spacewarspacecombat	spacewar	igdb	# Space War - Space Combat => Space War
a2600	squirreloesquilo	snailagainstsquirrel	lb-alias	# Squirrel ~ O Esquilo => Snail Against Squirrel
a2600	starshipouterspace	starship	igdb	# Star Ship - Outer Space => Star Ship
a2600	surroundchase	surround	igdb	# Surround - Chase => Surround
a2600	treasureislandduckshoot	treasureisland	igdb	# Treasure Island ~ Duck Shoot => Treasure Island
a2600	videocheckerscheckers	videocheckers	igdb,lb-alias	# Video Checkers - Checkers => Video Checkers
a2600	videopinballarcadepinball	videopinball	ra	# Video Pinball - Arcade Pinball => Video Pinball
a2600	walkerschusselderpolizistenschreck	walker	igdb,lb-alias	# Walker ~ Schussel Der Polizistenschreck => Walker
a2600	warringwormsworm	warringworms	igdb	# Warring Worms - The Worm => Warring Worms
a2600	xmission	raumpatrouille	lb-alias	# X'Mission => Raumpatrouille
arcade	dariusgaidensilverhawkextraversion	dariusgaidensilverhawk	igdb	# Darius Gaiden - Silver Hawk Extra Version => Darius Gaiden - Silver Hawk
arcade	puzzlebobble2	puzzlebobble2bustmoveagain	lb-alias,ra	# Puzzle Bobble 2 => Puzzle Bobble 2 / Bust-A-Move Again
arcade	worldwars	bermudatriangle	lb-alias	# World Wars => Bermuda Triangle
cdi	aliceaupaysdesmerveilles	aliceinwonderland	lb-alias	# Alice Au Pays Des Merveilles => Alice in Wonderland
cdi	asterixdiegrossereise	asterixcaesarschallenge	lb-alias	# Asterix - Die Grosse Reise => Asterix - Caesar's Challenge
cdi	asterixeldesafiodecesar	asterixcaesarschallenge	lb-alias	# Asterix - El Desafio De Cesar => Asterix - Caesar's Challenge
cdi	asterixledefidecesar	asterixcaesarschallenge	lb-alias	# Asterix - Le Defi De Cesar => Asterix - Caesar's Challenge
cdi	bijdeberenstainberenthuisthuisenbijjou	berenstainbearsontheirownandyouonyourown	lb-alias	# Bij De Berenstain Beren, Thuis - Thuis En Bij Jou => Berenstain Bears, the - On Their Own and You on Your Own
cdi	linkdegezichtenvanhetkwaad	linkfacesofevil	lb-alias	# Link - De Gezichten Van Het Kwaad => Link - The Faces of Evil
cdi	linkdiefratzendesboesen	linkfacesofevil	lb-alias	# Link - Die Fratzen Des Boesen => Link - The Faces of Evil
cdi	maddog2letresorperdu	maddogiilostgold	lb-alias	# Mad Dog 2 - Le Tresor Perdu => Mad Dog II - The Lost Gold
cdi	richardscarrysallerbestebuurtdisc	richardscarrysbestneighborhooddiscever	lb-alias	# Richard Scarry's Allerbeste Buurt Disc! => Richard Scarry's Best Neighborhood Disc Ever!
cdi	richardscarryswunderbarstegeschichtenausschaffenau	richardscarrysbestneighborhooddiscever	lb-alias	# Richard Scarry's Wunderbarste Geschichten Aus Schaffenau => Richard Scarry's Best Neighborhood Disc Ever!
cdi	sandyscircusavontuur	sandyscircusadventure	lb-alias	# Sandy's Circus Avontuur => Sandy's Circus Adventure
cdi	sandyszirkusabenteuer	sandyscircusadventure	lb-alias	# Sandy's Zirkus Abenteuer => Sandy's Circus Adventure
cdi	scotlandyardinteractif	scotlandyardinteractive	lb-alias	# Scotland Yard - Interactif => Scotland Yard - Interactive
cdi	storymaschinegalaxis	storymachinestardreams	lb-alias	# Story Maschine - Galaxis => Story Machine - Star Dreams
cdi	timandbaeraufdemflughafen	timandbearatairport	lb-alias	# Tim & Baer Auf Dem Flughafen => Tim & Bear at the Airport
cdi	timandbaerbeimfilm	timandbearatmovies	lb-alias	# Tim & Baer - Beim Film => Tim & Bear at the Movies
cdi	timettedaucinema	timandbearatmovies	lb-alias	# Tim Et Ted Au Cinema => Tim & Bear at the Movies
cdi	timettedlaeroport	timandbearatairport	lb-alias	# Tim Et Ted a L'aeroport => Tim & Bear at the Airport
cdi	verhalentoverdoosmagischevertellingen	storymachinemagictales	lb-alias	# Verhalen Toverdoos - Magische Vertellingen => Story Machine - Magic Tales
cdi	wiedasrhinozeroszuseinerhautkam	howrhinocerosgothisskin	lb-alias	# Wie Das Rhinozeros Zu Seiner Haut Kam => How the Rhinoceros Got His Skin
cdi	zeldaderzauberstabvongamelon	zeldawandofgamelon	lb-alias	# Zelda - Der Zauberstab Von Gamelon => Zelda - The Wand of Gamelon
cdi	zeldadetoverstafvangamelon	zeldawandofgamelon	lb-alias	# Zelda - De Toverstaf Van Gamelon => Zelda - The Wand of Gamelon
cdi	zombiedinosdelaplanetezeltoide	zombiedinosfromplanetzeltoid	lb-alias	# Zombie Dinos De La Planete Zeltoide => Zombie Dinos from Planet Zeltoid
cdi	zombiedinosvandeplaneetzeltoid	zombiedinosfromplanetzeltoid	lb-alias	# Zombie Dinos Van De Planeet Zeltoid => Zombie Dinos from Planet Zeltoid
cdi	zombiedinosvomplanetenzeltoid	zombiedinosfromplanetzeltoid	lb-alias	# Zombie Dinos Vom Planeten Zeltoid => Zombie Dinos from Planet Zeltoid
gc	ribbitkingplus	ribbitking	lb-alias,ra	# Ribbit King Plus! => Ribbit King
genesis	007shitouduel	jamesbond007duel	lb-alias	# 007 Shitou - The Duel => James Bond 007 - The Duel
genesis	2020nensuperbaseball	superbaseball2020	lb-alias	# 2020 Nen Super Baseball => Super Baseball 2020
genesis	airmanagementoozoranikakeru	aerobiz	lb-alias	# Air Management - Oozora ni Kakeru => Aerobiz
genesis	alexkiddcheongongmaseong	alexkiddinenchantedcastle	lb-alias,ra	# Alex Kidd - Cheongong Maseong => Alex Kidd in the Enchanted Castle
genesis	alexkiddtenkuumajou	alexkiddinenchantedcastle	lb-alias	# Alex Kidd - Tenkuu Majou => Alex Kidd in the Enchanted Castle
genesis	anotherworld	outofthisworld	lb-alias	# Another World => Out of this World
genesis	atptour	atptourchampionshiptennis	igdb,lb-alias	# ATP Tour => ATP Tour Championship Tennis
genesis	bareknuckleiishitouenorequiemstreetsofrageii	streetsofrage2	ra	# Bare Knuckle II - Shitou e no Requiem ~ Streets of Rage II => Streets of Rage 2
genesis	beastwarriors	beastwrestler	lb-alias	# Beast Warriors => Beast Wrestler
genesis	boogiewoogiebowling	championshipbowling	lb-alias	# Boogie Woogie Bowling => Championship Bowling
genesis	caesarnoyabou	warriorofrome	lb-alias	# Caesar no Yabou => Warrior of Rome
genesis	caesarnoyabouii	warriorofromeii	lb-alias	# Caesar no Yabou II => Warrior of Rome II
genesis	captainlang	highseashavoc	lb-alias	# Captain Lang => High Seas Havoc
genesis	castleofillusionfushiginooshirodaibouken	castleofillusionstarringmickeymouse	lb-alias,ra	# Castle of Illusion - Fushigi no Oshiro Daibouken => Castle of Illusion Starring Mickey Mouse
genesis	castlevanianewgeneration	castlevaniabloodlines	lb-alias	# Castlevania - The New Generation => Castlevania - Bloodlines
genesis	chameleonkid	kidchameleon	lb-alias	# Chameleon Kid => Kid Chameleon
genesis	chelnov	atomicrunner	lb-alias	# Chelnov => Atomic Runner
genesis	choutouryuuretsudendinoland	dinoland	lb-alias	# Chou Touryuu Retsuden Dino Land => Dino Land
genesis	chuckrockii	chuckrockiisonofchuck	igdb	# Chuck Rock II => Chuck Rock II - Son of Chuck
genesis	columnsiiitaiketsucolumnsworld	columnsiii	lb-alias	# Columns III - Taiketsu! Columns World => Columns III
genesis	crudebuster	twocrudedudes	lb-alias	# Crude Buster => Two Crude Dudes
genesis	cryingaseimeisensou	biohazardbattle	lb-alias	# Crying - Aseimei Sensou => Bio Hazard Battle
genesis	dahna	dahnamegamitanjou	igdb,lb-alias	# Dahna => Dahna - Megami Tanjou
genesis	daimakaimura	ghoulsnghosts	lb-alias	# Dai-Makaimura => Ghouls'n Ghosts
genesis	davidrobinsonbasketball	davidrobinsonssupremecourt	lb-alias	# David Robinson Basketball => David Robinson's Supreme Court
genesis	daviscuptennis	daviscuptennisdaviscupworldtour	igdb	# Davis Cup Tennis => Davis Cup Tennis ~ Davis Cup World Tour
genesis	devilcrashmd	dragonsfury	lb-alias	# Devil Crash MD => Dragon's Fury
genesis	dongguritechijakjeon	drrobotniksmeanbeanmachine	lb-alias	# Dong Gu Ri Te Chi Jak Jeon => Dr. Robotnik's Mean Bean Machine
genesis	dragonballzlappeldudestin	dragonballzbuyuuretsuden	lb-alias,ra	# Dragon Ball Z - L'Appel du Destin => Dragon Ball Z - Buyuu Retsuden
genesis	dreamteamusa	teamusabasketball	lb-alias	# Dream Team USA => Team USA Basketball
genesis	dynabrothers2segachannelspecial	dynabrothers2	lb-alias	# Dyna Brothers 2 - Sega Channel Special => Dyna Brothers 2
genesis	eahockey	nhlhockey	lb-alias	# EA Hockey => NHL Hockey
genesis	europeanclubsoccer	worldtrophysoccer	lb-alias	# European Club Soccer => World Trophy Soccer
genesis	exiletokinohazamahe	exile	igdb,lb-alias	# Exile - Toki no Hazama he => Exile
genesis	exranza	rangerx	lb-alias	# Ex-Ranza => Ranger X
genesis	f117stealthoperationnightstorm	f117nightstorm	lb-alias	# F-117 Stealth - Operation - Night Storm => F-117 Night Storm
genesis	fatman	slaughtersport	lb-alias	# Fatman => Slaughter Sport
genesis	finalblow	jamesbusterdouglasknockoutboxing	lb-alias	# Final Blow => James 'Buster' Douglas Knockout Boxing
genesis	garoudensetsu2aratanarutatakai	fatalfury2	lb-alias	# Garou Densetsu 2 - Aratanaru Tatakai => Fatal Fury 2
genesis	garoudensetsushukumeinotatakai	fatalfury	lb-alias	# Garou Densetsu - Shukumei no Tatakai => Fatal Fury
genesis	generalchaosdaikonsen	generalchaos	lb-alias	# General Chaos Daikonsen => General Chaos
genesis	hyperdunk	doubledribbleplayoffedition	lb-alias	# Hyper Dunk => Double Dribble - The Playoff Edition
genesis	hyperdunkplayoffedition	doubledribbleplayoffedition	lb-alias	# Hyper Dunk - The Playoff Edition => Double Dribble - The Playoff Edition
genesis	jamespondii	jamespondiicodenamerobocod	lb-alias	# James Pond II => James Pond II - Codename - Robocod
genesis	jashindraxos	riskywoods	lb-alias	# Jashin Draxos => Risky Woods
genesis	jleaguechampionsoccer	worldtrophysoccer	lb-alias	# J. League Champion Soccer => World Trophy Soccer
genesis	junglestrikeuketsugaretakyouki	junglestrike	lb-alias	# Jungle Strike - Uketsugareta Kyouki => Jungle Strike
genesis	juusoukiheileynos	targetearth	lb-alias	# Juusou Kihei Leynos => Target Earth
genesis	kageki	kagekifistsofsteel	igdb,lb-alias	# Ka-Ge-Ki => Ka-Ge-Ki - Fists of Steel
genesis	kickboxing	bestofbestchampionshipkarate	lb-alias	# The Kick Boxing => Best of the Best - Championship Karate
genesis	killinggameshow	fatalrewind	lb-alias	# The Killing Game Show => Fatal Rewind
genesis	kingsalmon	kingsalmonbigcatch	igdb,lb-alias	# King Salmon => King Salmon - The Big Catch
genesis	kuugaoperationcodevaportrail	vaportrail	lb-alias	# Kuuga - Operation Code 'Vapor Trail' => Vapor Trail
genesis	landstalkerdieschatzevonkonignolo	landstalker	lb-alias,ra	# Landstalker - Die Schatze von Konig Nolo => Landstalker
genesis	landstalkerkouteinozaihou	landstalker	igdb,lb-alias,ra	# Landstalker - Koutei no Zaihou => Landstalker
genesis	landstalkerletresorduroinole	landstalker	igdb,lb-alias,ra	# Landstalker - Le Tresor du Roi Nole => Landstalker
genesis	landstalkertreasuresofkingnole	landstalker	lb-alias,ra	# Landstalker - The Treasures of King Nole => Landstalker
genesis	legendedethorla	beyondoasis	lb-alias	# Legende de Thor, La => Beyond Oasis
genesis	maourenjishi	mysticalfighter	lb-alias	# Maou Renjishi => Mystical Fighter
genesis	mazinsaga	mazinsagamutantfighter	igdb,lb-alias,ra	# Mazin Saga => Mazin Saga - Mutant Fighter
