# Ground truth extracted from the LRPS2 core's own compiled-in patch table
# (pcsx2_libretro.dll .rdata '[PATCH] [<title> (<region>)]: ... patch applied.' strings).
# These are the ONLY games for which pcsx2_widescreen_hint / pcsx2_nointerlacing_hint do anything.
# Regenerate after a core update; see docs/arcade-cheats.md.
kind	title	region
nointerlacing	Ace Combat 04 - Shattered Skies	NTSC-U
nointerlacing	Ace Combat 5 - The Unsung War	NTSC-U
nointerlacing	Ace Combat Zero - The Belkan War	NTSC-U
nointerlacing	Aeon Flux	NTSC-U
nointerlacing	Ape Escape 2	NTSC-U
nointerlacing	Capcom Vs. SNK 2	NTSC-U
nointerlacing	Cold Winter	NTSC-U
nointerlacing	Drakengard	NTSC-U
nointerlacing	Drakengard 2	NTSC-U
nointerlacing	Enthusia - Professional Racing	NTSC-U
nointerlacing	Eternal Poison	NTSC-U
nointerlacing	God Hand	NTSC-U
nointerlacing	Harry Potter and the Sorcerer's Stone	NTSC-U
nointerlacing	Kinetica	NTSC-U
nointerlacing	MotoGP 3	NTSC-U
nointerlacing	Resident Evil: Code Veronica X	NTSC-U
nointerlacing	Resident Evil: Dead Aim	NTSC-U
nointerlacing	Resident Evil: Dead Aim	PAL
nointerlacing	Sega Rally 2006	NTSC-J
nointerlacing	Tales of Legendia	NTSC-U
nointerlacing	Urban Reign	NTSC-U
nointerlacing	Virtua Fighter 10th Anniversary	NTSC-J
nointerlacing	Virtua Fighter 4: Evolution	NTSC-U
nointerlacing	Whiplash	NTSC-U
widescreen	24: The Game	NTSC-U
widescreen	7 Blades	NTSC-J
widescreen	7 Blades	PAL
widescreen	Ace Combat Zero: The Belkan War	NTSC-U
widescreen	Aeon Flux	NTSC-U
widescreen	Aggressive Inline	NTSC-U
widescreen	Aggressive Inline	PAL
widescreen	Alias	PAL
widescreen	Amplitude	NTSC-U
widescreen	Amplitude	PAL
widescreen	Ape Escape 2	NTSC-U
widescreen	Ape Escape 3	NTSC-U
widescreen	Armored Core 2	NTSC-J
widescreen	Armored Core 2	NTSC-U
widescreen	Armored Core 2	PAL
widescreen	Armored Core 3	NTSC-J
widescreen	Armored Core 3	NTSC-U
widescreen	Auto Modellista	NTSC-U
widescreen	BMX XXX	NTSC-U
widescreen	BMX XXX	PAL
widescreen	Battle Gear 3	NTSC-J
widescreen	Beat Down: Fists of Vengeance	NTSC-U
widescreen	Blood Omen 2: The Legacy of Kain	NTSC-U
widescreen	Bloody Roar 3	NTSC-U
widescreen	Bloody Roar 4	NTSC-J
widescreen	Bloody Roar 4	NTSC-U
widescreen	Bouncer, The	NTSC-U
widescreen	Breath of Fire: Dragon Quarter	NTSC-U
widescreen	Breath of Fire: Dragon Quarter	PAL
widescreen	Britney's Dance Beat	NTSC-U
widescreen	Britney's Dance Beat	PAL
widescreen	Bujingai - The Forsaken City	NTSC-U
widescreen	Burnout Revenge	NTSC-J
