# JoJo's Bizarre Adventure - Part 3 - Stardust Crusaders (S102439) - 10 volumes, 0 loose chapter files.
#
# Read out of `S57289 JoJo's Bizarre Adventure`, which carried five serialisations at once, each restarting
# its volume numbering at v01. Splitting the shelf was the whole point; the ranges are a separate question.
#
# These rips carry NO chapter token on their pages, unlike Parts 5 and 6, so the chapter ladder cannot be
# read from the archive. Every volume is refused until its printed contents page is read. Nothing is at
# risk in the meantime: not one loose chapter of this part is held, so no range here could hide a file.
N 102439 split out of the five-part shelf; refused pending a per-volume contents read - the rips carry no chapter token

u 39737 the archive names no chapter on its pages and the book's printed contents page has not been read; no loose chapter of this part is held, so the refusal costs nothing
u 39738 the archive names no chapter on its pages and the book's printed contents page has not been read; no loose chapter of this part is held, so the refusal costs nothing
u 39739 the archive names no chapter on its pages and the book's printed contents page has not been read; no loose chapter of this part is held, so the refusal costs nothing
u 39740 the archive names no chapter on its pages and the book's printed contents page has not been read; no loose chapter of this part is held, so the refusal costs nothing
u 39741 the archive names no chapter on its pages and the book's printed contents page has not been read; no loose chapter of this part is held, so the refusal costs nothing
u 39742 the archive names no chapter on its pages and the book's printed contents page has not been read; no loose chapter of this part is held, so the refusal costs nothing
u 39743 the archive names no chapter on its pages and the book's printed contents page has not been read; no loose chapter of this part is held, so the refusal costs nothing
u 39744 the archive names no chapter on its pages and the book's printed contents page has not been read; no loose chapter of this part is held, so the refusal costs nothing
u 39745 the archive names no chapter on its pages and the book's printed contents page has not been read; no loose chapter of this part is held, so the refusal costs nothing
u 119008 the archive names no chapter on its pages and the book's printed contents page has not been read; no loose chapter of this part is held, so the refusal costs nothing
