# Lone Wolf and Cub (S10882) — 56 volumes; 28 state their own chapters.
#
# Every page inside these archives is named with the chapter it belongs to, so each
# volume states its contents exactly. The ranges below are CHAPTER numbers read from
# the archives themselves, and they form a ladder: c1-c142 over 28 volumes.
# Volumes whose rip names no chapter are refused: a volume number is not a chapter
# number and must not stand in for one (PLAN.md §4.2).

N 10882 chapter ranges read from each archive's own page names; the ladder tiles (c1-c142 over 28 volumes)
u 42651 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42652 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42653 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42654 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42655 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42656 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42657 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42658 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42659 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42660 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42661 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42662 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42663 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42664 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42665 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42666 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42667 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42668 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42669 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42670 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42671 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42672 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42673 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42674 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42675 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
