# March Comes in Like a Lion / 3月のライオン (S11289) — the complete seventeen-volume run in THREE rips.
# No loose issues on the shelf.
#
#   v01-v03  1r0n's DENPA Books digital rip. Every page is named
#            `March Comes in Like a Lion - c001 (v01) - p000 [DENPA Books] [Digital] [1r0n].png`
#            — the chapter and the volume, on every page.
#   v04-v16  a scanlation whose pages are `3gatsuNN_cNNN_NNN.png` — again chapter-per-page, with the
#            volume in the prefix, plus a `_extra_` set at the back of some volumes.
#   v17      an untranslated Japanese tankobon scan with `chap01`..`chap15` FOLDERS.
#
# TWO TRAPS ON THIS SHELF, both checked rather than assumed:
#
#   * `c00` / `c000` IS FRONT MATTER. v08-v16 each open with one, 6-8 pages long. It is not chapter
#     zero: v07's last chapter is 73 and v08's first numbered chapter is 74, so nothing is missing
#     between them for a chapter 0 to be.
#   * `chap01`..`chap15` in v17 is a WITHIN-VOLUME ORDINAL, the March-specific case PLAN.md names. The
#     book itself settles it — v17 prints an English CONTENTS page (archive index p5):
#
#         3月のライオン 17 contents — Chapter 180 Path ~ Path ~ ③ 7 / Chapter 181 ... ④ 23 /
#         ... / Chapter 194 Akari's Ginza Story 2 ~ Beyond the Pressure... 180
#
#     with the translator's note underneath: "THE CHAPTER NUMBERS WERE ALSO ALL SHIFTED BACK SO THEY
#     START AT 180 TO CONTINUE FROM 179 WHERE THE LAST VOLUME ENDED." So v17 is Chapter 180-194 and the
#     fifteen folders are its fifteen chapters counted from one.
#
# THE SHELF IS MISSING CHAPTER 153, and that is read, not inferred. v14's last chapter file is
# `3gatsu14_c152_*` and v15's first is `3gatsu15_c154_*`; opening v15's first story page (archive index
# p8) shows the printed divider `Chapter 154 — On the Night the Stars Fall Upon ①`. Neither book holds a
# 153, and neither claims one. Both are claimed only to what they hold, which leaves 153 in no volume —
# the safe direction (PLAN.md §2).
#
# Everything else tiles exactly: 1-10, 11-21, 22-32, 33-42, 43-53, 54-63, 64-73, 74-83, 84-94, 95-104,
# 105-114, 115-126, 127-139, 140-152, [153 absent], 154-166, 167-179, 180-194.

N 11289 three rips of one run share this shelf and all three state their chapters: v01-v03 by page token `cNNN (vNN)`, v04-v16 by page token `3gatsuNN_cNNN_`, v17 by its own printed English contents page. `c000` in v04-v16 is FRONT MATTER, not chapter zero (v07 ends 73, v08's first numbered chapter is 74). v17's `chap01`-`chap15` folders are a within-volume ordinal; its contents page names Chapter 180-194 and its translator's note says the numbers were shifted "to continue from 179 where the last volume ended"
F 43652 label-ambiguous | chapter 153 is on no volume of this shelf: v14's last chapter file is c152 and v15's first is c154, whose printed divider reads `Chapter 154 - On the Night the Stars Fall Upon (1)`. Both books are claimed only to what they hold, so 153 sits in no range
S 43638 1 10 0.97 | March Comes in Like a Lion v01 | chapter: the DENPA rip names the chapter on every page and this volume holds ten of them, c001-c010, all tagged (v01)
S 43639 11 21 0.97 | March Comes in Like a Lion v02 | chapter: the DENPA rip names the chapter on every page and this volume holds eleven of them, c011-c021, all tagged (v02)
S 43640 22 32 0.97 | March Comes in Like a Lion v03 | chapter: the DENPA rip names the chapter on every page and this volume holds eleven of them, c022-c032, all tagged (v03)
S 43641 33 42 0.97 | March Comes in Like a Lion v04 | chapter: the archive's page names are `3gatsu04_cNNN_` and the chapters present are exactly 33-42
S 43642 43 53 0.97 | March Comes in Like a Lion v05 | chapter: the archive's page names give exactly chapters 43-53, eleven of them
S 43643 54 63 0.97 | March Comes in Like a Lion v06 | chapter: the archive's page names give exactly chapters 54-63
S 43644 64 73 0.97 | March Comes in Like a Lion v07 | chapter: the archive's page names give exactly chapters 64-73
S 43645 74 83 0.97 | March Comes in Like a Lion v08 | chapter: the archive's page names give chapters 74-83 plus a six-page `c00` front-matter set, which is not a chapter zero — v07 ends at 73 and this volume opens at 74
S 43646 84 94 0.97 | March Comes in Like a Lion v09 | chapter: the archive's page names give chapters 84-94 plus the `c00` front matter
S 43647 95 104 0.97 | March Comes in Like a Lion v10 | chapter: the archive's page names give chapters 95-104 plus the `c00` front matter
S 43648 105 114 0.97 | March Comes in Like a Lion v11 | chapter: the archive's page names give chapters 105-114 plus the `c00` front matter
S 43649 115 126 0.97 | March Comes in Like a Lion v12 | chapter: the archive's page names give chapters 115-126, twelve of them, plus the `c00` front matter
S 43650 127 139 0.97 | March Comes in Like a Lion v13 | chapter: the archive's page names give chapters 127-139, thirteen of them, plus the `c00` front matter
S 43651 140 152 0.97 | March Comes in Like a Lion v14 | chapter: the archive's page names give chapters 140-152 plus the `c000` front matter and a five-page `_extra_` set; the volume ends at 152 and does not reach 153
S 43652 154 166 0.97 | March Comes in Like a Lion v15 | chapter: the archive's page names give chapters 154-166, and the book's own printed divider on its first story page (p8) reads `Chapter 154 - On the Night the Stars Fall Upon (1)` — the volume opens at 154, not 153
S 43653 167 179 0.97 | March Comes in Like a Lion v16 | chapter: the archive's page names give chapters 167-179 plus the `c000` front matter and a twenty-page `_extra_` set
S 43654 180 194 0.95 | March Comes in Like a Lion v17 (Hi Wa Mata Noboru) | chapter: the book's own printed contents page (p5) lists Chapter 180 `Path ~ Path ~ (3)` through Chapter 194 `Akari's Ginza Story 2`, with a translator's note that the numbers were shifted to start at 180 and continue from 179; the archive's `chap01`-`chap15` folders are that same fifteen counted from one
