# Mobile Suit Gundam Thunderbolt (S12241) — the 21-volume Viz edition of Yasuo Ohtagaki's series,
# digital rips. No loose issues on the shelf.
#
# The archives are flat and name no chapter, so every volume was opened. Thunderbolt states its contents
# TWO ways and both were used:
#
#   * A printed CONTENTS page — `MOBILE SUIT GUNDAM THUNDERBOLT 2 / CHAPTER 10 ...005... / CHAPTER 11
#     ...029... / ... / CHAPTER 19 ...221...` — carried by v01-v12, v19 and v21, at p4 or p5. v04's is in
#     Japanese numerals (第29話 through 第37話) and says the same thing.
#   * Where a volume prints no contents page (v13-v18 and v20), every chapter's opening art page carries
#     a badge reading `MOBILE SUIT GUNDAM THUNDERBOLT | CHAPTER 106`. That badge gives each of those
#     volumes its FIRST chapter exactly; its last is the chapter before the next volume's first. Those
#     six ranges are therefore read at the start and closed at the neighbour, and they are marked at a
#     slightly lower confidence for that reason.
#
# The two kinds of evidence agree wherever they meet: v12's contents page ends at CHAPTER 105 and v13's
# first badge reads CHAPTER 106; v18's first badge reads 149 and v19's contents page opens at 158, so
# v18 holds 149-157. The ladder tiles CHAPTER 1 to CHAPTER 181 with no gap, no overlap and no inversion.
#
# v05 also carries two unnumbered `Side Story - Sean, the Desert Rat` parts after CHAPTER 43; they are
# not chapters of the run and do not extend its range.

N 12241 the archives name no chapter, so all twenty-one volumes were opened. Thirteen print a CONTENTS page listing their chapters; the other eight state the chapter on each chapter's opening art page as a `THUNDERBOLT | CHAPTER N` badge, which fixes their first chapter and lets the next volume's first close them. The ladder tiles CHAPTER 1-181
S 46382 1 9 0.97 | Mobile Suit Gundam Thunderbolt v01 | the book's own contents page (p4) lists CHAPTER 1 through CHAPTER 9 with their page numbers
S 46383 10 19 0.97 | Mobile Suit Gundam Thunderbolt v02 | the book's own contents page (p4) lists CHAPTER 10 through CHAPTER 19
S 46384 20 28 0.97 | Mobile Suit Gundam Thunderbolt v03 | the book's own contents page (p4) lists CHAPTER 20 through CHAPTER 28
S 46385 29 37 0.97 | Mobile Suit Gundam Thunderbolt v04 | the book's own contents page (p5) lists its chapters in Japanese numerals, 第29話 through 第37話, and its first chapter page carries the badge CHAPTER 29
S 46386 38 43 0.97 | Mobile Suit Gundam Thunderbolt v05 | the book's own contents page (p5) lists CHAPTER 38 through CHAPTER 43, followed by two unnumbered Side Story - Sean, the Desert Rat parts that do not extend the range
S 46387 44 52 0.97 | Mobile Suit Gundam Thunderbolt v06 | the book's own contents page (p4) lists CHAPTER 44 through CHAPTER 52
S 46388 53 61 0.97 | Mobile Suit Gundam Thunderbolt v07 | the book's own contents page (p4) lists CHAPTER 53 through CHAPTER 61
S 46389 62 70 0.97 | Mobile Suit Gundam Thunderbolt v08 | the book's own contents page (p5) lists CHAPTER 62 through CHAPTER 70
S 46390 71 79 0.97 | Mobile Suit Gundam Thunderbolt v09 | the book's own contents page (p5) lists CHAPTER 71 through CHAPTER 79
S 46391 80 88 0.97 | Mobile Suit Gundam Thunderbolt v10 | the book's own contents page (p5) lists CHAPTER 80 through CHAPTER 88
S 46392 89 97 0.97 | Mobile Suit Gundam Thunderbolt v11 | the book's own contents page (p4) lists CHAPTER 89 through CHAPTER 97
S 46393 98 105 0.97 | Mobile Suit Gundam Thunderbolt v12 | the book's own contents page (p4) lists CHAPTER 98 through CHAPTER 105, and v13's first chapter badge reads CHAPTER 106
S 46394 106 114 0.9 | Mobile Suit Gundam Thunderbolt v13 | this volume prints no contents page; its first chapter's art page carries the badge THUNDERBOLT CHAPTER 106, and v14's first badge reads CHAPTER 115, so it holds 106-114
S 46395 115 123 0.9 | Mobile Suit Gundam Thunderbolt v14 | no contents page; its first chapter badge reads CHAPTER 115 and v15's reads CHAPTER 124
S 46396 124 132 0.9 | Mobile Suit Gundam Thunderbolt v15 | no contents page; its first chapter badge reads CHAPTER 124 and v16's reads CHAPTER 133
S 46397 133 140 0.9 | Mobile Suit Gundam Thunderbolt v16 | no contents page; its first chapter badge reads CHAPTER 133 and v17's reads CHAPTER 141
S 46398 141 148 0.9 | Mobile Suit Gundam Thunderbolt v17 | no contents page; its first chapter badge reads CHAPTER 141 and v18's reads CHAPTER 149
S 46399 149 157 0.9 | Mobile Suit Gundam Thunderbolt v18 | no contents page; its first chapter badge reads CHAPTER 149 and v19's contents page opens at CHAPTER 158
S 46400 158 165 0.97 | Mobile Suit Gundam Thunderbolt v19 | the book's own contents page (p5), headed THE TERRARIUM ON THE MOON, lists CHAPTER 158 through CHAPTER 165
S 46401 166 173 0.9 | Mobile Suit Gundam Thunderbolt v20 | no contents page; its first chapter badge reads CHAPTER 166 and v21's contents page opens at CHAPTER 174
S 46402 174 181 0.97 | Mobile Suit Gundam Thunderbolt v21 | the book's own contents page (p5), headed GLOWING UNIVERSE, lists CHAPTER 174 through CHAPTER 181
