# My Love Story!! (S12585) — 13 volumes; 6 state their own chapters.
#
# Every page inside these archives is named with the chapter it belongs to, so each
# volume states its contents exactly. The ranges below are CHAPTER numbers read from
# the archives themselves, and they form a ladder: c28-c50 over 6 volumes.
# Volumes whose rip names no chapter are refused: a volume number is not a chapter
# number and must not stand in for one (PLAN.md §4.2).
#
# (this shelf also received judgements re-homed from 12 other decision file(s) when fold_by_folder moved their files here)

N 12585 chapter ranges read from each archive's own page names; the ladder tiles (c28-c50 over 6 volumes)
u 41751 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41752 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41753 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41754 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41755 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41756 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41757 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 41758 28 31 0.97 | My Love Story!! v08 | the archive names the chapter on every page and this volume holds 4 of them, c28-c31
S 41759 32 34 0.97 | My Love Story!! v09 | the archive names the chapter on every page and this volume holds 3 of them, c32-c34
S 41760 35 38 0.97 | My Love Story!! v10 | the archive names the chapter on every page and this volume holds 4 of them, c35-c38
S 41761 39 42 0.97 | My Love Story!! v11 | the archive names the chapter on every page and this volume holds 4 of them, c39-c42
S 41762 43 46 0.97 | My Love Story!! v12 | the archive names the chapter on every page and this volume holds 4 of them, c43-c46
S 41763 47 50 0.97 | My Love Story!! v13 | the archive names the chapter on every page and this volume holds 4 of them, c47-c50
