# Strangers in Paradise (S16935) — Terry Moore's trade line, Vol. 01-19 (Vol. 07 is stored as issue #7, not
# flagged). No single issue of any SiP series is held.
#
# Read for the containment gap, 2026-09-25: fourteen of eighteen flagged volumes had no source claim.
# Strangers in Paradise ran as THREE series — v1 (1993) #1-3, v2 (1994) #1-13 and v3 (1996) #1-90 — and these
# volumes draw on all three: GCD gives Vol. 02 v2 #1-9, Vol. 03 v2 #10-13, Vol. 14 v3 #61-63, while LOCG's
# #3-3 and #18-19 are mislinks. On one shelf those numberings overlap from #1, so no range can say which series'
# issue it means; and with no issue file held, a range could only ever mis-nest something added later.

N 16935 the SiP trades collect three separate series (v1 #1-3, v2 #1-13, v3 #1-90) whose numbers overlap from #1; this shelf holds no issue at all, only the collected line
u 4792 Strangers in Paradise Vol. 01 - The Collected Strangers in Paradise (98pp): collects Strangers in Paradise across its three overlapping numberings (v1 / v2 / v3), and this shelf holds no issue files; no range can name which series' numbers it means
u 4793 Strangers in Paradise Vol. 02 - I Dream of You (189pp): collects Strangers in Paradise across its three overlapping numberings (v1 / v2 / v3), and this shelf holds no issue files; no range can name which series' numbers it means
u 4794 Strangers in Paradise Vol. 03 - It's a Good Life (86pp): collects Strangers in Paradise across its three overlapping numberings (v1 / v2 / v3), and this shelf holds no issue files; no range can name which series' numbers it means
u 4795 Strangers in Paradise Vol. 04 - Love Me Tender (116pp): collects Strangers in Paradise across its three overlapping numberings (v1 / v2 / v3), and this shelf holds no issue files; no range can name which series' numbers it means
u 4796 Strangers in Paradise Vol. 05 - Immortal Enemies (155pp): collects Strangers in Paradise across its three overlapping numberings (v1 / v2 / v3), and this shelf holds no issue files; no range can name which series' numbers it means
u 4797 Strangers in Paradise Vol. 06 - High School (85pp): collects Strangers in Paradise across its three overlapping numberings (v1 / v2 / v3), and this shelf holds no issue files; no range can name which series' numbers it means
u 4799 Strangers in Paradise Vol. 08 - My Other Life (126pp): collects Strangers in Paradise across its three overlapping numberings (v1 / v2 / v3), and this shelf holds no issue files; no range can name which series' numbers it means
u 4800 Strangers in Paradise Vol. 09 - Child of Rage (147pp): collects Strangers in Paradise across its three overlapping numberings (v1 / v2 / v3), and this shelf holds no issue files; no range can name which series' numbers it means
u 4801 Strangers in Paradise Vol. 10 - Tropic of Desire (104pp): collects Strangers in Paradise across its three overlapping numberings (v1 / v2 / v3), and this shelf holds no issue files; no range can name which series' numbers it means
u 4802 Strangers in Paradise Vol. 11 - Brave New World (85pp): collects Strangers in Paradise across its three overlapping numberings (v1 / v2 / v3), and this shelf holds no issue files; no range can name which series' numbers it means
u 4803 Strangers in Paradise Vol. 12 - Heart in Hand (113pp): collects Strangers in Paradise across its three overlapping numberings (v1 / v2 / v3), and this shelf holds no issue files; no range can name which series' numbers it means
u 4804 Strangers in Paradise Vol. 13 - Flower to Flame (136pp): collects Strangers in Paradise across its three overlapping numberings (v1 / v2 / v3), and this shelf holds no issue files; no range can name which series' numbers it means
u 4805 Strangers in Paradise Vol. 14 - David's Story (77pp): collects Strangers in Paradise across its three overlapping numberings (v1 / v2 / v3), and this shelf holds no issue files; no range can name which series' numbers it means
u 4806 Strangers in Paradise Vol. 15 - Tomorrow Now (122pp): collects Strangers in Paradise across its three overlapping numberings (v1 / v2 / v3), and this shelf holds no issue files; no range can name which series' numbers it means
u 4807 Strangers in Paradise Vol. 16 - Molly & Poo (81pp): collects Strangers in Paradise across its three overlapping numberings (v1 / v2 / v3), and this shelf holds no issue files; no range can name which series' numbers it means
u 4808 Strangers in Paradise Vol. 17 - Tattoo (141pp): collects Strangers in Paradise across its three overlapping numberings (v1 / v2 / v3), and this shelf holds no issue files; no range can name which series' numbers it means
u 4809 Strangers in Paradise Vol. 18 - Love & Lies (137pp): collects Strangers in Paradise across its three overlapping numberings (v1 / v2 / v3), and this shelf holds no issue files; no range can name which series' numbers it means
u 4810 Strangers in Paradise Vol. 19 - Ever After (178pp): collects Strangers in Paradise across its three overlapping numberings (v1 / v2 / v3), and this shelf holds no issue files; no range can name which series' numbers it means
F 4798 issue-numbers-wrong | "Strangers in Paradise Vol. 07 - Sanctuary" (57pp) is a volume of the collected line, stored as issue #7 with IsCollection=0 (§14.12)
