# Superman: The Man of Steel (S17327) — 9 collected editions, 9 issue files.
#
# The 2020 "Superman: The Man of Steel Vol. NN" line does not collect one series: it reprints the
# post-Crisis Byrne era across Superman, Action Comics, Adventures of Superman and the Man of Steel
# mini together, so its contents have no range in any single title's numbering. That is what produced
# LOCG's #9-686 on Vol. 02 — the min-max of a contents list spanning several titles — and ComicVine's
# #99-103, which is Action Comics'.
# The shelf's own files are Man of Steel v1 (1991) annuals and event one-shots, a different thing again.



# the remaining 9 editions: the volume reprints across several Superman titles at once, so it has no range in this shelf's numbering

N 17327 the 2020 "Man of Steel Vol. NN" line reprints across Superman, Action Comics and Adventures of Superman, so no range in one title's numbering describes it; LOCG's #9-686 is that contents list reduced to min-max
F 72824 provider-disagrees | LOCG's #9-686 is a multi-title contents list reduced to min-max, and ComicVine's #99-103 is Action Comics' numbering
u 72823 the volume reprints across several Superman titles at once, so it has no range in this shelf's numbering
u 72824 the volume reprints across several Superman titles at once, so it has no range in this shelf's numbering
u 72825 the volume reprints across several Superman titles at once, so it has no range in this shelf's numbering
u 72826 the volume reprints across several Superman titles at once, so it has no range in this shelf's numbering
u 72827 the volume reprints across several Superman titles at once, so it has no range in this shelf's numbering
u 72828 the volume reprints across several Superman titles at once, so it has no range in this shelf's numbering
u 72829 the volume reprints across several Superman titles at once, so it has no range in this shelf's numbering
u 72830 the volume reprints across several Superman titles at once, so it has no range in this shelf's numbering
u 72831 the volume reprints across several Superman titles at once, so it has no range in this shelf's numbering
