# Smurfs (S19635) — Papercutz's The Smurfs graphic novels, Vol. 00-26 (+ FCBD 2013 in Extras).
#
# Read for the containment gap, 2026-09-25: ten volumes carry IsCollection=1 and no source claimed a range.
# The coordinate is the VOLUME: each file is one Papercutz album (49-66pp), numbered by its own volume;
# seventeen of its siblings are stored as issues #0-20 and ten as collections, with no difference between them
# except the flag. No file on the shelf reprints another file on it.

N 19635 an album series of 27 single volumes; the IsCollection flag splits them 17 / 10 at random, and no volume contains another
u 109351 The Smurfs Vol. 02 - The Smurfs and the Magic Flute (66pp): a single Papercutz Smurfs album, not a container of this shelf's numbered volumes; album N never contains issue N
u 109352 The Smurfs Vol. 03 - The Smurf King (65pp): a single Papercutz Smurfs album, not a container of this shelf's numbered volumes; album N never contains issue N
u 109353 The Smurfs Vol. 04 - The Smurfette (65pp): a single Papercutz Smurfs album, not a container of this shelf's numbered volumes; album N never contains issue N
u 109354 The Smurfs Vol. 05 - The Smurfs and the Egg (65pp): a single Papercutz Smurfs album, not a container of this shelf's numbered volumes; album N never contains issue N
u 109370 The Smurfs Vol. 21 - The Wild Smurf (65pp): a single Papercutz Smurfs album, not a container of this shelf's numbered volumes; album N never contains issue N
u 109371 The Smurfs Vol. 22 - The Smurf Menace (66pp): a single Papercutz Smurfs album, not a container of this shelf's numbered volumes; album N never contains issue N
u 109372 The Smurfs Vol. 23 - Can't Smurf Progress (65pp): a single Papercutz Smurfs album, not a container of this shelf's numbered volumes; album N never contains issue N
u 109373 The Smurfs Vol. 24 - The Smurf Reporter (65pp): a single Papercutz Smurfs album, not a container of this shelf's numbered volumes; album N never contains issue N
u 109374 The Smurfs Vol. 25 - The Gambling Smurfs (66pp): a single Papercutz Smurfs album, not a container of this shelf's numbered volumes; album N never contains issue N
u 109375 The Smurfs Vol. 26 - Smurfs Salad (66pp): a single Papercutz Smurfs album, not a container of this shelf's numbered volumes; album N never contains issue N
