# Tokyo Ghoul (S20287) — 14 volumes; 6 state their own chapters.
#
# Every page inside these archives is named with the chapter it belongs to, so each
# volume states its contents exactly. The ranges below are CHAPTER numbers read from
# the archives themselves, and they form a ladder: c80-c143 over 6 volumes.
# Volumes whose rip names no chapter are refused: a volume number is not a chapter
# number and must not stand in for one (PLAN.md §4.2).
#
# (this shelf also received judgements re-homed from 13 other decision file(s) when fold_by_folder moved their files here)

N 20287 chapter ranges read from each archive's own page names; the ladder tiles (c80-c143 over 6 volumes)
u 42696 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42697 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42698 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42699 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42700 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42701 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42702 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42703 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 42704 80 89 0.97 | Tokyo Ghoul v09 | the archive names the chapter on every page and this volume holds 10 of them, c80-c89
S 42705 90 100 0.97 | Tokyo Ghoul v10 | the archive names the chapter on every page and this volume holds 11 of them, c90-c100
S 42706 101 111 0.97 | Tokyo Ghoul v11 | the archive names the chapter on every page and this volume holds 11 of them, c101-c111
S 42707 112 121 0.97 | Tokyo Ghoul v12 | the archive names the chapter on every page and this volume holds 10 of them, c112-c121
S 42708 122 132 0.97 | Tokyo Ghoul v13 | the archive names the chapter on every page and this volume holds 11 of them, c122-c132
S 42709 133 143 0.97 | Tokyo Ghoul v14 | the archive names the chapter on every page and this volume holds 11 of them, c133-c143
