# Young Justice (S22701) — 15 collected editions over three runs and three collection lines.
#
# Young Justice v1 (1998), v2 (2011) and v3 (2019) share this Series id, and three lines sit over them:
# "Book NN" (2017-2022) over the 1998 run, "Vol. NN" (2011-2012) over the 2011 run, and "Vol. NN"
# (2019-2020) over the 2019 run. So 76573, 76577, 76552, 77940 and 76546 are five different Vol./Book 01.
# Items 76554 and 76572 are the same file, "Young Justice Book 03 (2018)", filed twice.
# LOCG's #1-77 on Book 05 and #44-101 on Book 06 each reach 14 files; #3-3 on the 2019 Vol. 01 is the
# ordinal shape.



# the remaining 15 editions: three runs number from #1 on this shelf and three collection lines reuse the ordinals; no range identifies which run's issues a book holds

N 22701 Young Justice v1 (1998), v2 (2011) and v3 (2019) share this Series id with three collection lines over them; five different books are a "Vol. 01" or "Book 01"
F 76554 duplicate-edition | items 76554 and 76572 are the same file, "Young Justice Book 03 (2018)"
# MOVED (series rebuild, retired by retire_moved_lines.py): item 76546 now sits on S104027, whose file decides it
# u 76546 three runs number from #1 on this shelf and three collection lines reuse the ordinals; no range identifies which run's issues a book holds
u 76554 three runs number from #1 on this shelf and three collection lines reuse the ordinals; no range identifies which run's issues a book holds
u 76555 three runs number from #1 on this shelf and three collection lines reuse the ordinals; no range identifies which run's issues a book holds
u 76556 three runs number from #1 on this shelf and three collection lines reuse the ordinals; no range identifies which run's issues a book holds
u 76572 three runs number from #1 on this shelf and three collection lines reuse the ordinals; no range identifies which run's issues a book holds

# ADDENDUM (identity pass, wave 5, 2026-09-16): the identity reading attributed the shelf(s) below to the run this shelf IS, and the resolve merged their collected
# editions in. The coverage contract says every collected edition on a shelf is decided exactly once, so they are refused here until read.
u 76552 arrived by the wave-5 identity merge from S94744; no range read from the book
u 76553 arrived by the wave-5 identity merge from S94744; no range read from the book
u 76557 arrived by the wave-5 identity merge from S94744; no range read from the book
