# YuYu Hakusho (S22739) — the complete 19-volume Viz Shonen Jump edition, digital rips. No loose issues
# on the shelf.
#
# The archives are flat and name no chapter, so every volume was opened and its own printed CONTENTS
# page read. Viz numbers the chapters plainly — `Chapter 74 An Unexpected Defeat!!` — and each volume
# lists them with page numbers. The contents page is p4 in v01 and p6 in every other volume, behind the
# title page, a Story So Far spread and a character page.
#
# The ladder tiles across all nineteen volumes with no overlap and no inversion, but it is NOT perfectly
# continuous, and the two breaks were read rather than smoothed over:
#
#   v03 / v04  v03's contents ends `Chapter 26 The Cursed Forest ... 170` and v04's OPENS with a
#              different `Chapter 26 Mortal Maneuvers in the Dark ... 7`. One of the two is misprinted.
#              v05 then opens at Chapter 36 while v04's contents ends at 34, so v04 holds nine chapters
#              that are either 26-34 or 27-35. Only the chapters BOTH readings agree on are claimed:
#              27-34. Under-claiming costs space; claiming 26 twice, or claiming a 35 the book may not
#              hold, costs files (§2).
#   v07 / v08  v07 ends at Chapter 63 (plus an unnumbered Special Bonus Episode, `YuYu Hakusho Tales:
#              Two Shots`) and v08 opens at Chapter 65. Chapter 64 is named by no volume on this shelf,
#              so it is left unclaimed rather than swept into either neighbour.
#
# Everything else runs straight: 1-8, 9-17, 18-26, [27-34], 36-45, 46-55, 56-63, 65-73, 74-82, 83-92,
# 93-101, 102-110, 111-119, 120-129, 130-139, 140-149, 150-159, 160-168, 169-176.

N 22739 the archives name no chapter, so all nineteen volumes were opened and their own printed contents pages read (p4 in v01, p6 in the rest). The ladder tiles Chapter 1-176. Two breaks in the books' own numbering: v03 and v04 both print a Chapter 26 with different titles while v05 opens at 36, so v04 is claimed only at 27-34; and no volume names Chapter 64, which sits between v07's 63 and v08's 65
F 45720 issue-numbers-wrong | v04's printed contents opens at `Chapter 26 Mortal Maneuvers in the Dark` while v03's contents already ends at `Chapter 26 The Cursed Forest`, and v05 opens at Chapter 36 — so v04's nine chapters are either 26-34 or 27-35 and one contents page is misprinted; only the overlap 27-34 is claimed
F 45724 issue-numbers-wrong | Chapter 64 is named by no volume on this shelf: v07's contents ends at Chapter 63 (plus an unnumbered bonus episode) and v08's opens at Chapter 65
S 45717 1 8 0.97 | YuYu Hakusho v01 | the book's own contents page (p4) lists Chapter 1 Goodbye, Material World! through Chapter 8 The Temporary Resurrection (Part 1)
S 45718 9 17 0.97 | YuYu Hakusho v02 | the book's own contents page (p6) lists Chapter 9 The Temporary Resurrection (Part 2) through Chapter 17 The Golden Awakening!!
S 45719 18 26 0.97 | YuYu Hakusho v03 | the book's own contents page (p6) lists Chapter 18 The New Mission through Chapter 26 The Cursed Forest
S 45720 27 34 0.85 | YuYu Hakusho v04 | the book's own contents page (p6) lists nine chapters, printed as Chapter 26 Mortal Maneuvers in the Dark through Chapter 34 Genbu Is... The Very Rock! — but v03 already ends at a different Chapter 26 and v05 opens at 36, so only the chapters both readings agree on are claimed
S 45721 36 45 0.97 | YuYu Hakusho v05 | the book's own contents page (p6) lists Chapter 36 Byakko's Battle Roar!! through Chapter 45 Battle at Hell Housing Development!!
S 45722 46 55 0.97 | YuYu Hakusho v06 | the book's own contents page (p6) lists Chapter 46 Springtime for Kuwabara!! through Chapter 55 The Secret of Devil Yo-Yos!!
S 45723 56 63 0.97 | YuYu Hakusho v07 | the book's own contents page (p6) lists Chapter 56 Blood-Stained Flowers!! through Chapter 63 The Despicable Blood-Saver Node, plus an unnumbered Special Bonus Episode
S 45724 65 73 0.97 | YuYu Hakusho v08 | the book's own contents page (p6) lists Chapter 65 Open Your Eyes!! through Chapter 73 Surpass the Reigun!
S 45725 74 82 0.97 | YuYu Hakusho v09 | the book's own contents page (p6) lists Chapter 74 An Unexpected Defeat!! through Chapter 82 When the Magic Box Opens!!
S 45726 83 92 0.97 | YuYu Hakusho v10 | the book's own contents page (p6) lists Chapter 83 The Fox Demon Awakens!! through Chapter 92 Unforgivable!!
S 45727 93 101 0.97 | YuYu Hakusho v11 | the book's own contents page (p6) lists Chapter 93 The Day Before the Storm!! through Chapter 101 Kuwabara Snaps!!
S 45728 102 110 0.97 | YuYu Hakusho v12 | the book's own contents page (p6) lists Chapter 102 The Elder Toguro at His Peak!! through Chapter 110 The Crucial Difference!!
S 45729 111 119 0.97 | YuYu Hakusho v13 | the book's own contents page (p6) lists Chapter 111 Full Power One Last Time!! through Chapter 119 The Executors of a Dying Wish!!
S 45730 120 129 0.97 | YuYu Hakusho v14 | the book's own contents page (p6) lists Chapter 120 Into the Lion's Den...!! through Chapter 129 Aura Lightning Kickboxing!!
S 45731 130 139 0.97 | YuYu Hakusho v15 | the book's own contents page (p6) lists Chapter 130 Super Street Fighting!! through Chapter 139 His True Identity?!
S 45732 140 149 0.97 | YuYu Hakusho v16 | the book's own contents page (p6) lists Chapter 140 The Factors for Fascination!! through Chapter 149 Moment of Awakening!!
S 45733 150 159 0.97 | YuYu Hakusho v17 | the book's own contents page (p6) lists Chapter 150 Mano a mano, Again!! through Chapter 159 A Reunion with Dad!!
S 45734 160 168 0.97 | YuYu Hakusho v18 | the book's own contents page (p6) lists Chapter 160 How They Spent Their Year: Hiei, Part 1 through Chapter 168 Tournament Prelims
S 45735 169 176 0.97 | YuYu Hakusho v19 | the book's own contents page (p6) lists Chapter 169 The Emotions of Round One through Chapter 176 And Then..., the last chapters of the run
