# Vagabond (S22962) — 37 volumes; 31 state their own chapters.
#
# Every page inside these archives is named with the chapter it belongs to, so each
# volume states its contents exactly. The ranges below are CHAPTER numbers read from
# the archives themselves, and they form a ladder: c1-c320 over 31 volumes.
# Volumes whose rip names no chapter are refused: a volume number is not a chapter
# number and must not stand in for one (PLAN.md §4.2).
#
# (this shelf also received judgements re-homed from 2 other decision file(s) when fold_by_folder moved their files here)

u 42300 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42301 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
N 22962 chapter ranges read from each archive's own page names; the ladder tiles (c1-c320 over 31 volumes)
S 42279 1 1 0.97 | vagabond volume 001 | the archive names the chapter on every page and this volume holds 1 of them, c1-c1
S 42280 11 11 0.97 | vagabond volume 002 | the archive names the chapter on every page and this volume holds 1 of them, c11-c11
S 42281 22 22 0.97 | vagabond volume 003 | the archive names the chapter on every page and this volume holds 1 of them, c22-c22
S 42282 32 32 0.97 | vagabond volume 004 | the archive names the chapter on every page and this volume holds 1 of them, c32-c32
S 42283 11 13 0.97 | vagabond volume 005 | the archive names the chapter on every page and this volume holds 1 of them, c41-c41 [restated 09-26 in the run's own numbering from identity:R-130's C line (was #41-41 in the shelf's continuous numbering); Eric: restate, never u]
S 42284 50 50 0.97 | vagabond volume 006 | the archive names the chapter on every page and this volume holds 1 of them, c50-c50
S 42285 60 60 0.97 | vagabond volume 007 | the archive names the chapter on every page and this volume holds 1 of them, c60-c60
S 42286 69 69 0.97 | vagabond volume 008 | the archive names the chapter on every page and this volume holds 1 of them, c69-c69
S 42287 79 79 0.97 | vagabond volume 009 | the archive names the chapter on every page and this volume holds 1 of them, c79-c79
S 42288 88 88 0.97 | vagabond volume 010 | the archive names the chapter on every page and this volume holds 1 of them, c88-c88
S 42289 98 98 0.97 | vagabond volume 011 | the archive names the chapter on every page and this volume holds 1 of them, c98-c98
S 42290 108 108 0.97 | vagabond volume 012 | the archive names the chapter on every page and this volume holds 1 of them, c108-c108
S 42291 118 118 0.97 | vagabond volume 013 | the archive names the chapter on every page and this volume holds 1 of them, c118-c118
S 42292 128 128 0.97 | vagabond volume 014 | the archive names the chapter on every page and this volume holds 1 of them, c128-c128
S 42293 137 137 0.97 | vagabond volume 015 | the archive names the chapter on every page and this volume holds 1 of them, c137-c137
S 42294 144 144 0.97 | vagabond volume 016 | the archive names the chapter on every page and this volume holds 1 of them, c144-c144
S 42295 151 151 0.97 | vagabond volume 017 | the archive names the chapter on every page and this volume holds 1 of them, c151-c151
S 42296 158 158 0.97 | vagabond volume 018 | the archive names the chapter on every page and this volume holds 1 of them, c158-c158
S 42297 165 165 0.97 | vagabond volume 019 | the archive names the chapter on every page and this volume holds 1 of them, c165-c165
S 42298 172 172 0.97 | vagabond volume 020 | the archive names the chapter on every page and this volume holds 1 of them, c172-c172
S 42299 180 188 0.97 | vagabond volume 021 | the archive names the chapter on every page and this volume holds 9 of them, c180-c188
S 42302 207 207 0.97 | vagabond volume 024 | the archive names the chapter on every page and this volume holds 1 of them, c207-c207
S 42303 216 216 0.97 | vagabond volume 025 | the archive names the chapter on every page and this volume holds 1 of them, c216-c216
S 42304 225 225 0.97 | vagabond volume 026 | the archive names the chapter on every page and this volume holds 1 of them, c225-c225
u 42305 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 42306 243 251 0.97 | vagabond volume 028 | the archive names the chapter on every page and this volume holds 9 of them, c243-c251
S 42307 252 252 0.97 | vagabond volume 029 | the archive names the chapter on every page and this volume holds 1 of them, c252-c252
S 42308 261 261 0.97 | vagabond volume 030 | the archive names the chapter on every page and this volume holds 1 of them, c261-c261
u 42309 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42310 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42311 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 42312 297 297 0.97 | vagabond volume 034 | the archive names the chapter on every page and this volume holds 1 of them, c297-c297
S 42313 304 309 0.97 | vagabond volume 035 | the archive names the chapter on every page and this volume holds 6 of them, c304-c309
S 42314 310 315 0.97 | vagabond volume 036 | the archive names the chapter on every page and this volume holds 6 of them, c310-c315
S 42315 317 320 0.97 | vagabond volume 037 | the archive names the chapter on every page and this volume holds 2 of them, c317-c320
