# Billy Bat (S23093) — 20 volumes; 11 state their own chapters.
#
# Every page inside these archives is named with the chapter it belongs to, so each
# volume states its contents exactly. The ranges below are CHAPTER numbers read from
# the archives themselves, and they form a ladder: c19-c150 over 11 volumes.
# Volumes whose rip names no chapter are refused: a volume number is not a chapter
# number and must not stand in for one (PLAN.md §4.2).

N 23093 chapter ranges read from each archive's own page names; the ladder tiles (c19-c150 over 11 volumes)
u 45987 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 45988 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 46001 19 19 0.97 | Billy Bat v03 c19-27 | the archive names the chapter on every page and this volume holds 1 of them, c19-c19
S 46002 28 33 0.97 | Billy Bat v04 c28-37 | the archive names the chapter on every page and this volume holds 2 of them, c28-c33
u 46003 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 46004 46 46 0.97 | Billy Bat v06 c46-53 | the archive names the chapter on every page and this volume holds 1 of them, c46-c46
S 46005 54 54 0.97 | Billy Bat v07 c54-61 | the archive names the chapter on every page and this volume holds 1 of them, c54-c54
S 46006 62 62 0.97 | Billy Bat v08 c62-69 | the archive names the chapter on every page and this volume holds 1 of them, c62-c62
u 46007 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 46008 78 78 0.97 | Billy Bat v10 c78-85 | the archive names the chapter on every page and this volume holds 1 of them, c78-c78
S 46009 86 86 0.97 | Billy Bat v11 c86-94 | the archive names the chapter on every page and this volume holds 1 of them, c86-c86
S 46010 94 101 0.97 | Billy Bat v12 c94-101 | the archive names the chapter on every page and this volume holds 8 of them, c94-c101
u 46011 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 46012 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 46013 118 125 0.97 | Billy Bat v15 c118-125 | the archive names the chapter on every page and this volume holds 8 of them, c118-c125
S 46014 126 133 0.97 | Billy Bat v16 c126-133 | the archive names the chapter on every page and this volume holds 8 of them, c126-c133
u 46015 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 46016 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 46017 150 150 0.97 | Billy Bat v19 c150-157 | the archive names the chapter on every page and this volume holds 1 of them, c150-c150
u 46018 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
