# Black Cat (S2669) — 27 volumes; 20 state their own chapters.
#
# Every page inside these archives is named with the chapter it belongs to, so each
# volume states its contents exactly. The ranges below are CHAPTER numbers read from
# the archives themselves, and they form a ladder: c1-c185 over 20 volumes.
# Volumes whose rip names no chapter are refused: a volume number is not a chapter
# number and must not stand in for one (PLAN.md §4.2).
#
# (this shelf also received judgements re-homed from 20 other decision file(s) when fold_by_folder moved their files here)

N 2669 chapter ranges read from each archive's own page names; the ladder tiles (c1-c185 over 20 volumes)
u 53547 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 53548 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 53549 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 53550 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 53551 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 53552 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 53993 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 43049 1 8 0.97 | Black Cat v01 | the archive names the chapter on every page and this volume holds 8 of them, c1-c8
S 43050 9 18 0.97 | Black Cat v02 | the archive names the chapter on every page and this volume holds 10 of them, c9-c18
S 43051 19 28 0.97 | Black Cat v03 | the archive names the chapter on every page and this volume holds 10 of them, c19-c28
S 43052 29 38 0.97 | Black Cat v04 | the archive names the chapter on every page and this volume holds 10 of them, c29-c38
S 43053 39 47 0.97 | Black Cat v05 | the archive names the chapter on every page and this volume holds 9 of them, c39-c47
S 43054 48 57 0.97 | Black Cat v06 | the archive names the chapter on every page and this volume holds 10 of them, c48-c57
S 43055 58 67 0.97 | Black Cat v07 | the archive names the chapter on every page and this volume holds 10 of them, c58-c67
S 43056 68 75 0.97 | Black Cat v08 | the archive names the chapter on every page and this volume holds 8 of them, c68-c75
S 43057 76 84 0.97 | Black Cat v09 | the archive names the chapter on every page and this volume holds 9 of them, c76-c84
S 43058 85 93 0.97 | Black Cat v10 | the archive names the chapter on every page and this volume holds 9 of them, c85-c93
S 43059 94 103 0.97 | Black Cat v11 | the archive names the chapter on every page and this volume holds 9 of them, c94-c103
S 43060 104 113 0.97 | Black Cat v12 | the archive names the chapter on every page and this volume holds 10 of them, c104-c113
S 43061 114 122 0.97 | Black Cat v13 | the archive names the chapter on every page and this volume holds 9 of them, c114-c122
S 43062 123 131 0.97 | Black Cat v14 | the archive names the chapter on every page and this volume holds 9 of them, c123-c131
S 43063 132 140 0.97 | Black Cat v15 | the archive names the chapter on every page and this volume holds 9 of them, c132-c140
S 43064 141 149 0.97 | Black Cat v16 | the archive names the chapter on every page and this volume holds 9 of them, c141-c149
S 43065 150 158 0.97 | Black Cat v17 | the archive names the chapter on every page and this volume holds 9 of them, c150-c158
S 43066 159 167 0.97 | Black Cat v18 | the archive names the chapter on every page and this volume holds 9 of them, c159-c167
S 43067 168 175 0.97 | Black Cat v19 | the archive names the chapter on every page and this volume holds 8 of them, c168-c175
S 43068 176 185 0.97 | Black Cat v20 | the archive names the chapter on every page and this volume holds 10 of them, c176-c185
