# Blue Exorcist (S3020) — 28 volumes; 13 state their own chapters.
#
# Every page inside these archives is named with the chapter it belongs to, so each
# volume states its contents exactly. The ranges below are CHAPTER numbers read from
# the archives themselves, and they form a ladder: c68-c135 over 13 volumes.
# Volumes whose rip names no chapter are refused: a volume number is not a chapter
# number and must not stand in for one (PLAN.md §4.2).
#
# (this shelf also received judgements re-homed from 27 other decision file(s) when fold_by_folder moved their files here)

N 3020 chapter ranges read from each archive's own page names; the ladder tiles (c68-c135 over 13 volumes)
u 42524 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42525 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42526 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42527 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42528 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42529 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42530 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42531 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42532 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42533 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42534 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42535 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42536 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42537 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42538 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 42539 68 73 0.97 | Blue Exorcist v16 | the archive names the chapter on every page and this volume holds 6 of them, c68-c73
S 42540 74 78 0.97 | Blue Exorcist v17 | the archive names the chapter on every page and this volume holds 5 of them, c74-c78
S 42541 79 83 0.97 | Blue Exorcist v18 | the archive names the chapter on every page and this volume holds 5 of them, c79-c83
S 42542 84 88 0.97 | Blue Exorcist v19 | the archive names the chapter on every page and this volume holds 5 of them, c84-c88
S 42543 89 93 0.97 | Blue Exorcist v20 | the archive names the chapter on every page and this volume holds 5 of them, c89-c93
S 42544 94 98 0.97 | Blue Exorcist v21 | the archive names the chapter on every page and this volume holds 5 of them, c94-c98
S 42545 99 103 0.97 | Blue Exorcist v22 | the archive names the chapter on every page and this volume holds 5 of them, c99-c103
S 42546 104 108 0.97 | Blue Exorcist v23 | the archive names the chapter on every page and this volume holds 5 of them, c104-c108
S 42547 109 114 0.97 | Blue Exorcist v24 | the archive names the chapter on every page and this volume holds 6 of them, c109-c114
S 42548 115 120 0.97 | Blue Exorcist v25 | the archive names the chapter on every page and this volume holds 6 of them, c115-c120
S 42549 121 125 0.97 | Blue Exorcist v26 | the archive names the chapter on every page and this volume holds 5 of them, c121-c125
S 42550 126 130 0.97 | Blue Exorcist v27 | the archive names the chapter on every page and this volume holds 5 of them, c126-c130
S 42551 131 135 0.97 | Blue Exorcist v28 | the archive names the chapter on every page and this volume holds 5 of them, c131-c135
