# Boruto: Naruto Next Generations (S3118) — 12 volumes; 3 state their own chapters.
#
# Every page inside these archives is named with the chapter it belongs to, so each
# volume states its contents exactly. The ranges below are CHAPTER numbers read from
# the archives themselves, and they form a ladder: c24-c35 over 3 volumes.
# Volumes whose rip names no chapter are refused: a volume number is not a chapter
# number and must not stand in for one (PLAN.md §4.2).
#
# (this shelf also received judgements re-homed from 11 other decision file(s) when fold_by_folder moved their files here)

N 3118 chapter ranges read from each archive's own page names; the ladder tiles (c24-c35 over 3 volumes)
u 44187 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 44188 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 44189 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 44190 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 44191 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 44192 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 44193 24 27 0.97 | Boruto - Naruto Next Generations v07 | the archive names the chapter on every page and this volume holds 4 of them, c24-c27
S 44194 28 31 0.97 | Boruto - Naruto Next Generations v08 | the archive names the chapter on every page and this volume holds 4 of them, c28-c31
S 44195 32 35 0.97 | Boruto - Naruto Next Generations v09 | the archive names the chapter on every page and this volume holds 4 of them, c32-c35
u 44196 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 44197 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 44198 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
