# Crazy Magazine (S3306) — Marvel's black-and-white humour magazine, v1 (1973), #1-94 plus a Super Special.
#
# Read for the containment gap, 2026-09-25: fifteen issues carry IsCollection=1 and no source claimed a range.
# They are ordinary magazine issues: each file is named 'CRAZY Magazine v1 0NN' with its own place in the
# unbroken #1-94 ladder, and their 69-85pp is within a magazine issue's range (the neighbours run 42-54pp;
# the thicker rips carry more covers and inserts). None reprints other issues.

N 3306 fifteen single magazine issues (#30, 37, 42, 49, 52, 55, 58, 64, 67, 73, 76, 82, 91-93) are wrongly flagged IsCollection=1 (§14.6); each sits in its own slot of the #1-94 ladder and is not a collection
u 98602 CRAZY Magazine v1 030 (82pp): not a collected edition — a single issue of Crazy Magazine, its own #30 in the unbroken #1-94 ladder, wrongly flagged IsCollection=1
u 98609 CRAZY Magazine v1 037 (81pp): not a collected edition — a single issue of Crazy Magazine, its own #37 in the unbroken #1-94 ladder, wrongly flagged IsCollection=1
u 98614 CRAZY Magazine v1 042 (84pp): not a collected edition — a single issue of Crazy Magazine, its own #42 in the unbroken #1-94 ladder, wrongly flagged IsCollection=1
u 98621 CRAZY Magazine v1 049 (84pp): not a collected edition — a single issue of Crazy Magazine, its own #49 in the unbroken #1-94 ladder, wrongly flagged IsCollection=1
u 98624 CRAZY Magazine v1 052 (82pp): not a collected edition — a single issue of Crazy Magazine, its own #52 in the unbroken #1-94 ladder, wrongly flagged IsCollection=1
u 98627 CRAZY Magazine v1 055 (85pp): not a collected edition — a single issue of Crazy Magazine, its own #55 in the unbroken #1-94 ladder, wrongly flagged IsCollection=1
u 98630 CRAZY Magazine v1 058 (79pp): not a collected edition — a single issue of Crazy Magazine, its own #58 in the unbroken #1-94 ladder, wrongly flagged IsCollection=1
u 98636 CRAZY Magazine v1 064 (82pp): not a collected edition — a single issue of Crazy Magazine, its own #64 in the unbroken #1-94 ladder, wrongly flagged IsCollection=1
u 98639 CRAZY Magazine v1 067 (84pp): not a collected edition — a single issue of Crazy Magazine, its own #67 in the unbroken #1-94 ladder, wrongly flagged IsCollection=1
u 98645 CRAZY Magazine v1 073 (85pp): not a collected edition — a single issue of Crazy Magazine, its own #73 in the unbroken #1-94 ladder, wrongly flagged IsCollection=1
u 98648 CRAZY Magazine v1 076 (84pp): not a collected edition — a single issue of Crazy Magazine, its own #76 in the unbroken #1-94 ladder, wrongly flagged IsCollection=1
u 98654 CRAZY Magazine v1 082 (84pp): not a collected edition — a single issue of Crazy Magazine, its own #82 in the unbroken #1-94 ladder, wrongly flagged IsCollection=1
u 98663 CRAZY Magazine v1 091 (85pp): not a collected edition — a single issue of Crazy Magazine, its own #91 in the unbroken #1-94 ladder, wrongly flagged IsCollection=1
u 98664 CRAZY Magazine v1 092 (69pp): not a collected edition — a single issue of Crazy Magazine, its own #92 in the unbroken #1-94 ladder, wrongly flagged IsCollection=1
u 98665 CRAZY Magazine v1 093 (69pp): not a collected edition — a single issue of Crazy Magazine, its own #93 in the unbroken #1-94 ladder, wrongly flagged IsCollection=1
