# Case Closed (S3646) — 102 volumes; 35 state their own chapters.
#
# Every page inside these archives is named with the chapter it belongs to, so each
# volume states its contents exactly. The ranges below are CHAPTER numbers read from
# the archives themselves, and they form a ladder: c631-c1091 over 35 volumes.
# Volumes whose rip names no chapter are refused: a volume number is not a chapter
# number and must not stand in for one (PLAN.md §4.2).

N 3646 chapter ranges read from each archive's own page names; the ladder tiles (c631-c1091 over 35 volumes)
u 41825 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41826 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41827 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41828 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41829 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41830 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41831 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41832 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 41833 840 850 0.97 | Case Closed v080 | the archive names the chapter on every page and this volume holds 11 of them, c840-c850
S 41834 851 861 0.97 | Case Closed v081 | the archive names the chapter on every page and this volume holds 11 of them, c851-c861
S 41835 862 872 0.97 | Case Closed v082 | the archive names the chapter on every page and this volume holds 11 of them, c862-c872
S 41836 873 882 0.97 | Case Closed v083 | the archive names the chapter on every page and this volume holds 10 of them, c873-c882
S 41837 883 893 0.97 | Case Closed v084 | the archive names the chapter on every page and this volume holds 11 of them, c883-c893
S 41838 894 904 0.97 | Case Closed v085 | the archive names the chapter on every page and this volume holds 11 of them, c894-c904
S 41839 905 915 0.97 | Case Closed v086 | the archive names the chapter on every page and this volume holds 11 of them, c905-c915
S 41840 916 926 0.97 | Case Closed v087 | the archive names the chapter on every page and this volume holds 11 of them, c916-c926
S 41841 927 937 0.97 | Case Closed v088 | the archive names the chapter on every page and this volume holds 11 of them, c927-c937
S 41842 938 948 0.97 | Case Closed v089 | the archive names the chapter on every page and this volume holds 11 of them, c938-c948
u 41843 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 41844 949 959 0.97 | Case Closed v090 | the archive names the chapter on every page and this volume holds 11 of them, c949-c959
u 41845 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 41924 1059 1069 0.97 | Case Closed v100 | the archive names the chapter on every page and this volume holds 11 of them, c1059-c1069
S 41925 1070 1080 0.97 | Case Closed v101 | the archive names the chapter on every page and this volume holds 11 of them, c1070-c1080
S 41926 1081 1091 0.97 | Case Closed v102 | the archive names the chapter on every page and this volume holds 11 of them, c1081-c1091
u 41846 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41847 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41848 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
