# Deadpool Classic (S5111) — Marvel's Deadpool Classic line, Vol. 01-23 (2008-2019); no issue files on the shelf.
#
# Read for the containment gap, 2026-09-25 (G-004): Vol. 14's judged #1-4 was contradicted by GCD's notes ("Marvel Digital Holiday Special #2").
# Every volume reprints OTHER runs, and each run numbers from #1: Circle Chase, Deadpool (1997), Agent X, Merc with a Mouth, Deadpool
# Corps, Deadpool Team-Up (#883-900), Suicide Kings, Fear Itself: Deadpool, the Killogy minis ... The judged ranges (identity R-146/R-148,
# "the largest run in the book") are each true of the run they name, but on this shelf they share one number space: #1-4 is claimed by
# Vols. 01, 14, 16, 17, 18 and 19 at once, #1-5 by Vols. 20-22. None of them is this shelf's numbering, and the shelf holds no issue to
# nest, so every volume is refused. The contradiction for Vol. 14 is REFUSED, not corrected: GCD's note names only one extra story; the
# roll-up is Suicide Kings #1-4 plus Games of Death, X-Men Origins: Deadpool, Deadpool #1000 and Team-Up #900 — a mixed book.

N 5111 an anthology line: each volume reprints one or more other runs, all numbered from #1; the prior judged ranges overlapped each other on this shelf (#1-4 six times) and are retracted; the identity C lines stay true of their own runs
u 78515 Vol. 01 reprints Deadpool: The Circle Chase #1-4, Deadpool (1994) #1-4, Deadpool (1997) #1 and New Mutants #98 (GCD 863461); no numbering of this shelf
u 78516 Vol. 02 reprints Deadpool (1997) #2-8 and Daredevil/Deadpool '97 (GCD 863462); another run's numbering
u 78517 Vol. 03 reprints Deadpool (1997) #9-17 and Amazing Spider-Man #47 (GCD 863463); another run's numbering
u 78518 Vol. 04 reprints Deadpool (1997) #18-25, #0, Deadpool/Death '98 (GCD 863464); another run's numbering
u 78519 Vol. 05 reprints Deadpool (1997) #26-33, Baby's First Deadpool Book, Deadpool Team-Up '98 (GCD 863465); another run's numbering
u 78520 Vol. 06 reprints Deadpool (1997) #34-45 and Black Panther #23 (GCD 1098939); another run's numbering
u 78521 Vol. 07 reprints Deadpool (1997) #46-56 and X-Men Unlimited #28 (GCD 1098940); another run's numbering
u 78522 Vol. 08 reprints Deadpool (1997) #57-64 (GCD 1098941); another run's numbering
u 78523 Vol. 09 reprints Deadpool (1997) #65-69 and Agent X #1-6 (GCD 1170918); two other runs
u 78524 Vol. 10 reprints Agent X #7-15 and Fight Man #1 (GCD 1340867); another run's numbering
u 78525 Vol. 11 reprints Deadpool: Merc with a Mouth #1-13 and Lady Deadpool #1 (GCD 1370218); another run's numbering
u 78526 Vol. 12 reprints Deadpool Corps #1-12, Prelude to Deadpool Corps #1-5, Deadpool Family #1 (GCD 1422493); other runs
u 78527 Vol. 13 reprints Deadpool Team-Up (2009) #883-899 and Deadpool Team-Up '98 (GCD 1422494); another run's numbering
u 78528 Vol. 14 - Suicide Kings reprints Deadpool: Suicide Kings #1-4, Games of Death #1, X-Men Origins: Deadpool, Deadpool #1000, Team-Up #900 and the Digital Holiday Special story (GCD 1503738); a mixed book in other runs' numbering; the contradicted judged #1-4 is retracted
u 78529 Vol. 15 - All The Rest reprints Fear Itself: Deadpool #1-3 and a dozen one-shots and annuals (GCD 1540386); other runs
u 78530 Vol. 16 - Killogy reprints Deadpool Kills the Marvel Universe, Deadpool Kills Deadpool and Deadpool Killustrated, each #1-4 (GCD 1578429); three runs, one number space
u 78531 Vol. 17 - Headcanon reprints Wade Wilson's War, Deadpool Pulp, Night of and Return of the Living Deadpool, each #1-4 (GCD 1746281); four runs
u 78532 Vol. 18 - Deadpool vs. Marvel reprints Deadpool vs Thanos, vs Carnage, vs X-Force (#1-4), Hawkeye vs Deadpool #0-4, Annual (GCD 1722627); five runs
u 78533 Vol. 19 - Make War, Not Love reprints Deadpool's Secret Secret Wars, Mrs. Deadpool, Deadpool's Art of War (#1-4) and the Bi-Annual (GCD 1737126); four runs
u 78534 Vol. 20 - Ultimate Deadpool reprints 5 Ronin #1-5, Exiles, Ultimate Spider-Man #91-94 and one-shots (GCD 1769736); many runs
u 78535 Vol. 21 - DvX reprints Deadpool v Gambit #1-5, Deadpool & Cable: Split Second #1-3, Deadpool: Too Soon #1-4 and Gwenpool specials (GCD 1776105); many runs
u 78536 Vol. 22 - Murder Most Fowl reprints Deadpool Kills the Marvel Universe Again, Deadpool vs. The Punisher and Deadpool the Duck, each #1-5 (GCD 1808318); three runs
u 78537 Vol. 23 - Mercs for Money reprints Deadpool & the Mercs for Money (2016) #1-5 and (2016 series) #1-8, and Deadpool: Back in Black #1-5 (GCD 1928489); three runs
