# Dragon Ball Z (S5816) — the complete 26-volume Viz Shonen Jump edition, AnHeroGold-Empire digital
# rips, 149-240 images each. No loose issues on the shelf.
#
# The archives are flat and name no chapter, so every one of these twenty-six books was opened and its
# own printed CONTENTS page read. Viz numbers Dragon Ball Z's chapters "Tale N" and the contents page of
# each volume lists them with their page numbers:
#
#     DRAGON BALL Z 2 — Tale 11 A Warrior in Hell ... 7 / Tale 12 Gohan and Piccolo ... 22 / ...
#                       Tale 22 Heroes in Terror ... 162 / Title Page Gallery ... 176
#
# The contents page sits at p4 in v01 (whose front matter is one page shorter) and at p6 in every other
# volume. The Tale numbering runs straight through the shelf — it does not restart per volume — and the
# twenty-six ranges tile exactly, 1 to 325, with no gap, no overlap and no inversion.
#
# Two things read that are worth recording:
#
#   * Each volume's title page also states its place in the ORIGINAL Japanese numbering: v01 reads
#     `Vol. 1 / DB: 17 of 42`, v02 `DB: 18 of 42`, v03 `DB: 19 of 42`. So this shelf is the back half of
#     the 42-volume Dragon Ball run, and the sixteen volumes on S5801 `Dragon Ball` are its front half.
#     The two shelves are separate Series, and each carries its OWN Tale numbering starting at 1, so the
#     chapter coordinate used here is this shelf's and does not reach across to S5801.
#   * v20's contents page is misprinted: its header reads `DRAGON BALL Z 19`, the same as v19's. It is
#     v20 all the same — its tales are 227-238, which follow v19's 215-226 — and the mistake is in the
#     book, not in the rip or the file name.

N 5816 the archives name no chapter, so all twenty-six volumes were opened and their own printed contents pages read (p4 in v01, p6 in the rest). Viz's `Tale N` numbering runs continuously and the ladder tiles exactly, Tale 1 to Tale 325. Each title page also states the volume's place in the original run (`DB: 17 of 42` .. `DB: 42 of 42`), which makes S5801 Dragon Ball the front half of the same 42-volume work
F 41640 label-ambiguous | v20's own printed contents page is headed `DRAGON BALL Z 19`, duplicating v19's header; the book is v20 (its tales, 227-238, follow v19's 215-226) and the misprint is in the published volume
S 41621 1 10 0.97 | Dragon Ball Z v01 | the book's own contents page (p4) lists Tale 1 The Mysterious Warrior From Space through Tale 10 The Needs of the Many...; its title page also states DB: 17 of 42
S 41622 11 22 0.97 | Dragon Ball Z v02 | the book's own contents page (p6) lists Tale 11 A Warrior in Hell through Tale 22 Heroes in Terror; its title page states DB: 18 of 42
S 41623 23 34 0.97 | Dragon Ball Z v03 | the book's own contents page (p6) lists Tale 23 Hope Runs Out through Tale 34 Mano a Maniac!!; its title page states DB: 19 of 42
S 41624 35 46 0.97 | Dragon Ball Z v04 | the book's own contents page (p6) lists Tale 35 The Decisive Battle at Last! through Tale 46 Monkey in the Moon
S 41625 47 58 0.97 | Dragon Ball Z v05 | the book's own contents page (p6) lists Tale 47 Goku's Request through Tale 58 Namekian Fear
S 41626 59 70 0.97 | Dragon Ball Z v06 | the book's own contents page (p6) lists Tale 59 Showdown! through Tale 70 The Great Elder's House
S 41627 71 82 0.97 | Dragon Ball Z v07 | the book's own contents page (p6) lists Tale 71 The Dragon Balls Change Hands through Tale 82 Vegeta vs. Reacoom, Part 2
S 41628 83 94 0.97 | Dragon Ball Z v08 | the book's own contents page (p6) lists Tale 83 Freeza Victorious?!! through Tale 94 Goku or Ginyu?!
S 41629 95 106 0.97 | Dragon Ball Z v09 | the book's own contents page (p6) lists Tale 95 Ginyu's Mistake! through Tale 106 Freeza vs. Piccolo
S 41630 107 119 0.97 | Dragon Ball Z v10 | the book's own contents page (p6) lists Tale 107 Freeza vs. Piccolo, Part 2 through Tale 119 Kaio-ken times 20!!!, thirteen chapters
S 41631 120 131 0.97 | Dragon Ball Z v11 | the book's own contents page (p6) lists Tale 120 The Great Genki-Dama through Tale 131 Son Goku Quits
S 41632 132 143 0.97 | Dragon Ball Z v12 | the book's own contents page (p6) lists Tale 132 Son Goku's Choice through Tale 143 The Gathering of the Warriors
S 41633 144 155 0.97 | Dragon Ball Z v13 | the book's own contents page (p6) lists Tale 144 Slaughter in South City through Tale 155 The Androids Awake!
S 41634 156 167 0.97 | Dragon Ball Z v14 | the book's own contents page (p6) lists Tale 156 #17, #18...#16? through Tale 167 Cell
S 41635 168 179 0.97 | Dragon Ball Z v15 | the book's own contents page (p6) lists Tale 168 Ginger Town Showdown through Tale 179 The New Cell
S 41636 180 191 0.97 | Dragon Ball Z v16 | the book's own contents page (p6) lists Tale 180 Goku Meets Cell through Tale 191 Trunks Steps In
