# Judge Dredd: The Complete Case Files (S66465) — Rebellion's chronological reprint of Dredd from 2000 AD progs and
# the Megazine. 44 collected editions (v01-v40, v14.5, and second rips of v02/v04/v05) and 8 "issue" files.
#
# Read for the containment gap, 2026-09-25 (G-002). What the shelf's issue files actually ARE: every one of them is
# itself a Complete Case Files VOLUME, not a prog — "Judge Dredd - The Complete Case Files 12 ... 17" (1497-1502,
# 0pp unreadable rips, stored as #12-17) and "The Complete Case Files 01 (2006)" / "03 (2006)" (106368, 340pp,
# stored #1; 106370, 242pp, stored #3). So this shelf's only numbering is the VOLUME ordinal, while the case files
# collect 2000 AD progs (and Megazine issues), a numbering that lives on the 2000 AD / Judge Dredd shelves, not here.
# A range in prog numbers would count nothing on this shelf, and a range #N-N in volume ordinals is the §6.2 / §14.5
# ORDINAL shape: it would nest one rip of a book under another rip of the same book. Every edition is refused.

N 66465 no prog files on this shelf: its 8 "issues" are other rips of Case Files volumes (v01, v03, v12-v17) stored under their volume ordinals; the books collect 2000 AD progs, a numbering this shelf does not hold
u 4415 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4416 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4417 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4418 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4419 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4420 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4421 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4422 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4423 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4424 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4425 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4426 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4427 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4428 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4429 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4430 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4431 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4432 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
