# The Phantom - The Complete Newspaper Dailies (S66495) - and the same book line is ALSO filed on
# six one-book shelves, S19349 through S19354, each named after the years its volume covers. Both
# halves are refused for the same reason and the split is noted.
#
# Every volume is `The Phantom - The Complete Newspaper Dailies vNN - <year> - <year>`. Lee Falk's
# daily strip has no issue numbering at all; the years are the identifier (§14.10).

N 66495 the volume reprints the daily strip for the years named in its title; a daily strip carries no issue number, so there is no coordinate a range could be written in
u 114539 a newspaper-strip reprint keyed by the YEARS it reprints and by nothing else; the strip is the unit and it carries no issue, volume or chapter number, so there is no coordinate a range could be written in (PLAN.md §14.10)
u 114546 a newspaper-strip reprint keyed by the YEARS it reprints and by nothing else; the strip is the unit and it carries no issue, volume or chapter number, so there is no coordinate a range could be written in (PLAN.md §14.10)

# ADDENDUM (identity pass, wave 11, 2026-09-17): the identity reading attributed the shelf(s) below to the run this shelf IS, and the resolve merged their collected
# editions in. The coverage contract says every collected edition on a shelf is decided exactly once, so they are refused here until read.
u 114540 arrived by the wave-11 identity merge from S19349; no range read from the book
u 114541 arrived by the wave-11 identity merge from S19350; no range read from the book
u 114542 arrived by the wave-11 identity merge from S19351; no range read from the book
u 114543 arrived by the wave-11 identity merge from S19352; no range read from the book
u 114544 arrived by the wave-11 identity merge from S19353; no range read from the book
u 114545 arrived by the wave-11 identity merge from S19354; no range read from the book
