# 20th Century Boys (S67) — 23 volumes; 21 state their own chapters.
#
# Every page inside these archives is named with the chapter it belongs to, so each
# volume states its contents exactly. The ranges below are CHAPTER numbers read from
# the archives themselves, and they form a ladder: c1-c236 over 21 volumes.
# Volumes whose rip names no chapter are refused: a volume number is not a chapter
# number and must not stand in for one (PLAN.md §4.2).

N 67 chapter ranges read from each archive's own page names; the ladder tiles (c1-c236 over 21 volumes)
u 45986 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 40768 1 10 0.97 | 20th Century Boys - Volume 01 | the archive names the chapter on every page and this volume holds 10 of them, c1-c10
S 40769 11 21 0.97 | 20th Century Boys - Volume 02 | the archive names the chapter on every page and this volume holds 11 of them, c11-c21
S 40770 22 32 0.97 | 20th Century Boys - Volume 03 | the archive names the chapter on every page and this volume holds 11 of them, c22-c32
S 40771 33 43 0.97 | 20th Century Boys - Volume 04 | the archive names the chapter on every page and this volume holds 11 of them, c33-c43
S 40772 44 54 0.97 | 20th Century Boys - Volume 05 | the archive names the chapter on every page and this volume holds 11 of them, c44-c54
S 40773 55 65 0.97 | 20th Century Boys - Volume 06 | the archive names the chapter on every page and this volume holds 11 of them, c55-c65
S 40774 66 76 0.97 | 20th Century Boys - Volume 07 | the archive names the chapter on every page and this volume holds 11 of them, c66-c76
S 40775 77 87 0.97 | 20th Century Boys - Volume 08 | the archive names the chapter on every page and this volume holds 11 of them, c77-c87
S 40776 88 98 0.97 | 20th Century Boys - Volume 09 | the archive names the chapter on every page and this volume holds 11 of them, c88-c98
S 40777 99 109 0.97 | 20th Century Boys - Volume 10 | the archive names the chapter on every page and this volume holds 11 of them, c99-c109
S 40778 110 121 0.97 | 20th Century Boys - Volume 11 | the archive names the chapter on every page and this volume holds 12 of them, c110-c121
S 40779 122 133 0.97 | 20th Century Boys - Volume 12 | the archive names the chapter on every page and this volume holds 12 of them, c122-c133
S 40780 134 145 0.97 | 20th Century Boys - Volume 13 | the archive names the chapter on every page and this volume holds 12 of them, c134-c145
S 40781 146 157 0.97 | 20th Century Boys - Volume 14 | the archive names the chapter on every page and this volume holds 12 of them, c146-c157
S 40782 158 170 0.97 | 20th Century Boys - Volume 15 | the archive names the chapter on every page and this volume holds 13 of them, c158-c170
S 40783 171 181 0.97 | 20th Century Boys - Volume 16 | the archive names the chapter on every page and this volume holds 11 of them, c171-c181
S 40784 182 192 0.97 | 20th Century Boys - Volume 17 | the archive names the chapter on every page and this volume holds 11 of them, c182-c192
S 40785 193 203 0.97 | 20th Century Boys - Volume 18 | the archive names the chapter on every page and this volume holds 11 of them, c193-c203
S 40786 204 214 0.97 | 20th Century Boys - Volume 19 | the archive names the chapter on every page and this volume holds 11 of them, c204-c214
S 40787 215 225 0.97 | 20th Century Boys - Volume 20 | the archive names the chapter on every page and this volume holds 11 of them, c215-c225
S 40788 226 236 0.97 | 20th Century Boys - Volume 21 | the archive names the chapter on every page and this volume holds 11 of them, c226-c236
u 40789 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
