# Fist of the North Star (S6752) — TWO editions of the same run share this shelf, and that is why the
# manga sweep could not make it tile:
#
#   * 44563-44575  the Viz hardcover `Omnibus Edition` v01-v13 (2021-2024), 275-308 images each. Flat
#     archives, but every one prints a CONTENTS page at p2 listing its chapters by number and title.
#   * 44576-44585  a 1987-89 scanlation of the original tankobon, v18-v27, 169-195 images each. These
#     archives file every page into a per-chapter FOLDER that states both coordinates at once:
#     `Vol.18 Ch.153 All To Heaven! [by Spamdini]` .. `Vol.27 Ch.245 Farewell To Those I Love...`.
#
# Three unnumbered extras (an Anniversary Special, Ryuken Gaiden and the Pilot) sit beside them and are
# not collections.
#
# THE TWO EDITIONS USE THE SAME CHAPTER NUMBERS, and that is proven by their own chapter TITLES where
# they overlap, not assumed:
#
#     Viz v12 ch.153 `ALL TO THE HEAVENS!`      scanlation v18 Ch.153 `All To Heaven!`
#     Viz v12 ch.155 `REUNION IN HELL!`         scanlation v18 Ch.155 `Reunion In Hell!`
#     Viz v12 ch.157 `WIPE AWAY THEIR BLOOD!`   scanlation v18 Ch.157 `Wipe Away Their Blood!`
#     Viz v12 ch.159 `TEARS OF A WARRIOR!`      scanlation v18 Ch.159 `Tears Of A Warrior!`
#     Viz v13 ch.161 `DANGEROUS PREY!`          scanlation v18 Ch.161 `A Dangerous Prey!`
#
# Nine consecutive chapters match title for title across the two rips. So one chapter coordinate covers
# the whole shelf, and both ladders are written in it:
#
#     Viz          1-13, 14-27, 28-40, 41-54, 55-67, 68-80, 81-94, 95-108, 109-122, 123-136,
#                  137-146, 147-160, 161-174
#     scanlation   153-161, 162-170, 171-179, 180-188, 189-197, 198-206, 207-215, 216-225,
#                  226-235, 236-245
#
# Each edition tiles internally with no gap or overlap. They overlap EACH OTHER at chapters 153-174,
# which is real — the library holds those chapters twice, in two editions — and is flagged rather than
# hidden, because a de-duplication reading these ranges will see one edition inside the other.

N 6752 two editions of one run on one shelf: the Viz Omnibus v01-v13 (contents page at p2 of each) and a 1987-89 scanlation of tankobon v18-v27 (per-chapter folders naming `Vol.NN Ch.NNN <title>`). Their chapter numbering is the SAME - nine consecutive chapters match title for title where they overlap - so both ladders are written in one coordinate, and they genuinely overlap at chapters 153-174
F 44575 duplicate-edition | the Viz Omnibus v13 (chapters 161-174) and the 1987 scanlation volumes v18-v20 (chapters 153-179) are two editions of the same chapters; the overlap 153-174 is real duplication of content, not a wrong range
F 44576 duplicate-edition | this 1987 scanlation volume holds chapters 153-161, which the Viz Omnibus v12 and v13 also hold; both ranges are correct and the shelf simply carries the chapters twice
S 44563 1 13 0.97 | Fist of the North Star v01 (Omnibus Edition) | the book's own contents page (p2) lists Chapter 1 A Cry From the Heart through Chapter 13 Mad Sarge
S 44564 14 27 0.97 | Fist of the North Star v02 (Omnibus Edition) | the book's own contents page (p2) lists Chapter 14 The Ultimate Assassin through Chapter 27 Two Malefics!
S 44565 28 40 0.97 | Fist of the North Star v03 (Omnibus Edition) | the book's own contents page (p2) lists Chapter 28 Men Who Have Seen Tears!! through Chapter 40 Young Sacrifice!!
S 44566 41 54 0.97 | Fist of the North Star v04 (Omnibus Edition) | the book's own contents page (p2) lists Chapter 41 Shifu's Prophecy!! through Chapter 54 Open the Gate of Death!!
S 44567 55 67 0.97 | Fist of the North Star v05 (Omnibus Edition) | the book's own contents page (p2) lists Chapter 55 Sorrowful Gamble! through Chapter 67 A Warning From the Dead!
S 44568 68 80 0.97 | Fist of the North Star v06 (Omnibus Edition) | the book's own contents page (p2) lists Chapter 68 Fate That Calls For Blood! through Chapter 80 When Nanto Rokuseiken Falls
S 44569 81 94 0.97 | Fist of the North Star v07 (Omnibus Edition) | the book's own contents page (p2) lists Chapter 81 The Waterfowl Flies No More! through Chapter 94 Because of Love!
S 44570 95 108 0.97 | Fist of the North Star v08 (Omnibus Edition) | the book's own contents page (p2) lists Chapter 95 Grave Marker of Love! through Chapter 108 Tears of the Tenro!
S 44571 109 122 0.97 | Fist of the North Star v09 (Omnibus Edition) | the book's own contents page (p2) lists Chapter 109 The Celestial Crown's Messenger! through Chapter 122 Distant Desire!
S 44572 123 136 0.97 | Fist of the North Star v10 (Omnibus Edition) | the book's own contents page (p2) lists Chapter 123 The Time Has Come! through Chapter 136 Farewell, My Greatest Rival!
S 44573 137 146 0.97 | Fist of the North Star v11 (Omnibus Edition) | the book's own contents page (p2) opens with an unnumbered SPECIAL EPISODE `He Who Rides Me` and then lists Chapter 137 The Cry of the Young Wolf! through Chapter 146 The Golden Assassin!
S 44574 147 160 0.97 | Fist of the North Star v12 (Omnibus Edition) | the book's own contents page (p2) lists Chapter 147 Nanto Rises! through Chapter 160 The Eternal Soul of a Father!!
S 44575 161 174 0.97 | Fist of the North Star v13 (Omnibus Edition) | the book's own contents page (p2) lists Chapter 161 Dangerous Prey! through Chapter 174 The Legend of Fate!
S 44576 153 161 0.97 | Fist of the North Star v18 | the archive files every page into a per-chapter folder naming both coordinates: Vol.18 Ch.153 All To Heaven! through Vol.18 Ch.161 A Dangerous Prey!
