# Fly Me to the Moon (S6846) — Viz's release of Tonikaku Kawaii, v01-v24, LuCaZ digital rips, ~195
# images each. No loose issues on the shelf.
#
# Every page carries its chapter and its volume: `Fly Me to the Moon - c128 (v14) - p003 [dig] [VIZ
# Media] [LuCaZ].jpg`. For nineteen of the twenty-four volumes the tokens are plain, contiguous and tile
# with their neighbours, and those are ranged below.
#
# THE FIVE THAT ARE NOT, and why each was handled the way it was — all of it read from the archives'
# own tokens and the bracketed labels beside them:
#
#   v15  tokens c140x1, c140x2, c141 .. c147, c147x1. There is no plain c140: the two `140x` blocks are
#        extras, and their labels are the manga's own gag chapter titles ("Chapter 104 (B)", "Chapter
#        XXX"). The contiguous run this book actually holds is c141-c147, so that is what is claimed;
#        an extra hung off 140 does not make the volume start there.
#   v16  REFUSED. Its rip tokens are c147x2-c147x5 and c148-c148x6 — i.e. 147 and 148 with extras — but
#        the labels on those same pages read `Chapter 137` x10, `Chapter 138` x8, `Chapter 139` x18,
#        `Chapter 140` x18 and `Part 2 - Chapter 1` .. `Part 2 - Chapter 4`. The archive is stating TWO
#        numbering systems at once and they cross: the book prints 137-140 where the rip counts 148.
#        This is §6.3 — a range cannot be judged while the numbering under it is in dispute — so it gets
#        an explicit refusal and a flag rather than a guess.
#   v18  c159 .. c167 contiguous, then c167.5, then c169 (and c169x1). There is no c168 anywhere in the
#        volume. A span is one range and cannot state the hole, so only the contiguous run c159-c167 is
#        claimed; c169 is inside the book and simply goes unclaimed. Under-claiming costs space, never
#        files (§2).
#   v22  c199 .. c207 contiguous, then c209 — no c208.
#   v23  c208, then c210 .. c214, c216, c217 (its pages labelled `Chapters 215`), c218 and two extras.
#        So c208 sits in v23 while c209 sits in v22: the two volumes are inverted at that one boundary.
#        v22 is claimed at its contiguous run 199-207 and v23 at its contiguous run 210-218; the two
#        crossed chapters are left unclaimed rather than swept into either range.
#
# The ladder that results is strictly ascending with no overlap anywhere:
#   1-8, 9-18, 19-28, 29-38, 39-48, 49-58, 59-69, 70-79, 80-89, 90-99, 100-109, 110-118, 119-127,
#   128-136, 141-147, [v16 refused], 149-158, 159-167, 170-178, 179-187, 188-198, 199-207, 210-218,
#   219-229.

N 6846 the LuCaZ rip names the chapter on every page and nineteen volumes tile exactly; from v15 the rip's running count and the book's PRINTED chapter numbers diverge — v16's pages are tagged c147x2-c148x6 while their own labels read Chapter 137-140 — and v22/v23 are inverted at c208/c209. The four affected volumes are claimed only at their contiguous runs, and v16 is refused outright
F 44602 issue-numbers-wrong | v16's page names carry rip tokens c147x2-c148x6 while the labels on the same pages read Chapter 137, 138, 139, 140 and Part 2 - Chapter 1 to 4: two numbering systems on one book, crossing each other, so no range can be judged until it is settled which the shelf uses
F 44608 issue-numbers-wrong | v22 holds c199-c207 and then c209; v23 holds c208. The two volumes are inverted at that boundary, so c208 and c209 are left out of both ranges
S 44587 1 8 0.97 | Fly Me to the Moon v01 | the archive names the chapter on every page: c001 through c008, contiguous, 195 images
S 44588 9 18 0.97 | Fly Me to the Moon v02 | the archive names the chapter on every page: c009 through c018, contiguous
S 44589 19 28 0.97 | Fly Me to the Moon v03 | the archive names the chapter on every page: c019 through c028, contiguous
S 44590 29 38 0.97 | Fly Me to the Moon v04 | the archive names the chapter on every page: c029 through c038, contiguous
S 44591 39 48 0.97 | Fly Me to the Moon v05 | the archive names the chapter on every page: c039 through c048, contiguous
S 44592 49 58 0.97 | Fly Me to the Moon v06 | the archive names the chapter on every page: c049 through c058, contiguous
S 44593 59 69 0.97 | Fly Me to the Moon v07 | the archive names the chapter on every page: c059 through c069, contiguous, eleven chapters
S 44594 70 79 0.97 | Fly Me to the Moon v08 | the archive names the chapter on every page: c070 through c079, contiguous
S 44595 80 89 0.97 | Fly Me to the Moon v09 | the archive names the chapter on every page: c080 through c089, contiguous
S 44596 90 99 0.97 | Fly Me to the Moon v10 | the archive names the chapter on every page: c090 through c099, contiguous
S 44597 100 109 0.97 | Fly Me to the Moon v11 | the archive names the chapter on every page: c100 through c109, contiguous
S 44598 110 118 0.97 | Fly Me to the Moon v12 | the archive names the chapter on every page: c110 through c118, contiguous
S 44599 119 127 0.97 | Fly Me to the Moon v13 | the archive names the chapter on every page: c119 through c127, contiguous
S 44600 128 136 0.97 | Fly Me to the Moon v14 | the archive names the chapter on every page: c128 through c136 contiguous, plus two extra blocks hung off 136 (c136x1, c136x2, labelled Chapter 136.5) which do not extend the range
S 44601 141 147 0.9 | Fly Me to the Moon v15 | the archive's contiguous run is c141 through c147; the volume also opens with two extra blocks tagged c140x1 and c140x2 whose own labels are gag chapter titles (Chapter 104 (B), Chapter XXX), and there is no plain c140, so the range starts at 141
S 44603 149 158 0.97 | Fly Me to the Moon v17 | the archive names the chapter on every page: c149 through c158, contiguous, with one extra block c151x1 inside it
S 44604 159 167 0.9 | Fly Me to the Moon v18 | the archive's contiguous run is c159 through c167 (plus c167.5); the volume also holds c169, but there is no c168 anywhere in it, so only the contiguous run is claimed and c169 is deliberately left unclaimed
S 44605 170 178 0.97 | Fly Me to the Moon v19 | the archive names the chapter on every page: c170 through c178, contiguous
S 44606 179 187 0.97 | Fly Me to the Moon v20 | the archive names the chapter on every page: c179 through c187, contiguous
S 44607 188 198 0.97 | Fly Me to the Moon v21 | the archive names the chapter on every page: c188 through c198, contiguous, eleven chapters
S 44608 199 207 0.9 | Fly Me to the Moon v22 | the archive's contiguous run is c199 through c207; the volume also holds c209 while c208 sits in v23, so the two crossed chapters are left out of both ranges
S 44609 210 218 0.9 | Fly Me to the Moon v23 | the archive's run here is c210 through c218 — c215 appears as the label `Chapters 215` on the block tagged c217 — plus two extras hung off 218; the volume also opens with c208, which belongs before v22's c209 and is left unclaimed
