# All-New X-Men (S747) — All-New X-Men v1 (2013, #1-41): the issue files (the run folder plus the X-Men Complete Chronology copies),
# the seven 2013-2015 trades, two rips of The Trial of Jean Grey, and the four 2020 "Collection" books.
#
# Read for the containment gap, 2026-09-25 (G-004): Collection Book 02 had no source claim.
# Every book's range here is read off its own back cover (the trades) or its credits page (the Collection books, p2, which head each
# credit block with the issues it covers). Two stored ranges were wrong: Vol. 04's #16-21 took in Battle of the Atom's #16-17, and
# item 84240 (a second Trial of Jean Grey rip) carried One Down's #25-30.

S 84236 1 5 0.97 | All-New X-Men Vol. 01 - Yesterday's X-Men | back cover p-2: 'Collecting All-New X-Men #1-5'
S 84237 6 10 0.9 | All-New X-Men Vol. 02 - Here to Stay | LOCG and GCD both #6-10; tiles between Vol. 01 #1-5 and Vol. 03 #11-15; Collection Book 01 prints #1-10 across Vols. 01-02
S 84238 11 15 0.9 | All-New X-Men Vol. 03 - Out of Their Depth | GCD row 1207349 reprints All-New X-Men (2013) #11-15; tiles
S 84239 18 21 0.97 | All-New X-Men Vol. 04 - All-Different | back cover p-2: 'Collecting All-New X-Men #18-21 ... Plus: X-Men: Gold #1'; CORRECTED from #16-21 — #16-17 are Battle of the Atom chapters, not in this book
S 80299 22 24 0.9 | Guardians of the Galaxy / All-New X-Men - The Trial of Jean Grey | GCD row 2617589 reprints All-New X-Men (2013) #22-24 and GotG #12-13; Collection Book 03's credits head 'ALL-NEW X-MEN #22-24' after GotG #11-13
S 84240 22 24 0.9 | Guardians of the Galaxy / All-New X-Men - The Trial of Jean Grey (second rip) | the same book as 80299 (GCD row 2617589); CORRECTED from #25-30, which is One Down's range
F 84240 duplicate-edition | a second rip of The Trial of Jean Grey (item 80299), filed as "05" in the reading-order folder and stored as IssueNo 5
S 84241 25 30 0.9 | All-New X-Men Vol. 05 - One Down | GCD title match #25-30; Collection Book 03's credits print #25, #26-29 and #30 after the Trial; tiles
S 84242 31 36 0.9 | All-New X-Men Vol. 06 - The Ultimate Adventure | GCD row 1330586 reprints #31-36; Collection Book 04's first credit block is '#31-36'
S 84243 37 41 0.9 | All-New X-Men Vol. 07 - The Utopians | GCD row 1435715 reprints #37-41; Collection Book 04 credits '#37', '#38-39', '#40-41'
S 84244 1 10 0.95 | All-New X-Men Collection Book 01 | credits p2: 'IMMONEN penciler, #1-5 & #9-10', 'MARQUEZ artist, #6-8'; 212pp / 10
S 84245 11 15 0.95 | All-New X-Men Collection Book 02 | credits p2: blocks 'ISSUES #11-14 & #18', 'ISSUE #15', 'ISSUES #19-21', and X-MEN GOLD #1; #16-17 (Battle of the Atom) are absent, so the range stops at #15 and #18-21 stay with Vol. 04
S 84246 22 30 0.95 | All-New X-Men Collection Book 03 | credits p2: 'GUARDIANS OF THE GALAXY #11-13', 'ALL-NEW X-MEN #22-24 & #26-29', '#25', '#30'
S 84247 31 41 0.95 | All-New X-Men Collection Book 04 | credits p2: '#31-36', '#37', '#38-39', '#40-41'
