# Girl Genius (S7579) - Volumes 01-13 of the Foglios' webcomic, 81-174pp each. Girl Genius ran as
# printed issues only for its first few years and this rip is the WEBCOMIC ('(Webcomic) (Helga
# Phugly)' in every filename): the pages inside are dated web updates. No numbered base unit is on
# this shelf, and the volume ordinal is not a coordinate the pages are numbered in.

N 7579 a webcomic volume: the pages inside are dated web updates, not numbered issues, and the shelf holds no numbered base units, so there is no coordinate for a range
u 114109 a webcomic collection: the pages inside are dated web updates, not numbered issues, and the shelf holds no numbered base units, so there is no coordinate for a range
u 114110 a webcomic collection: the pages inside are dated web updates, not numbered issues, and the shelf holds no numbered base units, so there is no coordinate for a range
u 114111 a webcomic collection: the pages inside are dated web updates, not numbered issues, and the shelf holds no numbered base units, so there is no coordinate for a range
u 114112 a webcomic collection: the pages inside are dated web updates, not numbered issues, and the shelf holds no numbered base units, so there is no coordinate for a range
u 114113 a webcomic collection: the pages inside are dated web updates, not numbered issues, and the shelf holds no numbered base units, so there is no coordinate for a range
u 114114 a webcomic collection: the pages inside are dated web updates, not numbered issues, and the shelf holds no numbered base units, so there is no coordinate for a range
u 114115 a webcomic collection: the pages inside are dated web updates, not numbered issues, and the shelf holds no numbered base units, so there is no coordinate for a range
u 114116 a webcomic collection: the pages inside are dated web updates, not numbered issues, and the shelf holds no numbered base units, so there is no coordinate for a range
u 114117 a webcomic collection: the pages inside are dated web updates, not numbered issues, and the shelf holds no numbered base units, so there is no coordinate for a range
u 114118 a webcomic collection: the pages inside are dated web updates, not numbered issues, and the shelf holds no numbered base units, so there is no coordinate for a range
u 114119 a webcomic collection: the pages inside are dated web updates, not numbered issues, and the shelf holds no numbered base units, so there is no coordinate for a range
u 114120 a webcomic collection: the pages inside are dated web updates, not numbered issues, and the shelf holds no numbered base units, so there is no coordinate for a range
u 114121 a webcomic collection: the pages inside are dated web updates, not numbered issues, and the shelf holds no numbered base units, so there is no coordinate for a range
