# Haikyu!! (S8266) — 45 volumes; 36 state their own chapters.
#
# Every page inside these archives is named with the chapter it belongs to, so each
# volume states its contents exactly. The ranges below are CHAPTER numbers read from
# the archives themselves, and they form a ladder: c81-c402 over 36 volumes.
# Volumes whose rip names no chapter are refused: a volume number is not a chapter
# number and must not stand in for one (PLAN.md §4.2).
#
# (this shelf also received judgements re-homed from 44 other decision file(s) when fold_by_folder moved their files here)

N 8266 chapter ranges read from each archive's own page names; the ladder tiles (c81-c402 over 36 volumes)
u 42042 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42043 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 42044 81 89 0.97 | Haikyu!! v10 | the archive names the chapter on every page and this volume holds 9 of them, c81-c89
S 42045 90 98 0.97 | Haikyu!! v11 | the archive names the chapter on every page and this volume holds 9 of them, c90-c98
S 42046 99 107 0.97 | Haikyu!! v12 | the archive names the chapter on every page and this volume holds 9 of them, c99-c107
S 42047 108 117 0.97 | Haikyu!! v13 | the archive names the chapter on every page and this volume holds 10 of them, c108-c117
S 42048 118 125 0.97 | Haikyu!! v14 | the archive names the chapter on every page and this volume holds 8 of them, c118-c125
S 42049 126 135 0.97 | Haikyu!! v15 | the archive names the chapter on every page and this volume holds 10 of them, c126-c135
S 42050 136 144 0.97 | Haikyu!! v16 | the archive names the chapter on every page and this volume holds 9 of them, c136-c144
S 42051 145 153 0.97 | Haikyu!! v17 | the archive names the chapter on every page and this volume holds 9 of them, c145-c153
S 42052 154 162 0.97 | Haikyu!! v18 | the archive names the chapter on every page and this volume holds 9 of them, c154-c162
S 42053 163 171 0.97 | Haikyu!! v19 | the archive names the chapter on every page and this volume holds 9 of them, c163-c171
S 42054 172 180 0.97 | Haikyu!! v20 | the archive names the chapter on every page and this volume holds 9 of them, c172-c180
S 42055 181 190 0.97 | Haikyu!! v21 | the archive names the chapter on every page and this volume holds 10 of them, c181-c190
S 42056 191 199 0.97 | Haikyu!! v22 | the archive names the chapter on every page and this volume holds 9 of them, c191-c199
S 42057 200 207 0.97 | Haikyu!! v23 | the archive names the chapter on every page and this volume holds 8 of them, c200-c207
S 42058 208 208 0.97 | Haikyu!! v24 | the archive names the chapter on every page and this volume holds 1 of them, c208-c208
S 42059 217 224 0.97 | Haikyu!! v25 | the archive names the chapter on every page and this volume holds 8 of them, c217-c224
S 42060 225 233 0.97 | Haikyu!! v26 | the archive names the chapter on every page and this volume holds 9 of them, c225-c233
S 42061 234 242 0.97 | Haikyu!! v27 | the archive names the chapter on every page and this volume holds 9 of them, c234-c242
S 42062 243 251 0.97 | Haikyu!! v28 | the archive names the chapter on every page and this volume holds 9 of them, c243-c251
S 42063 252 260 0.97 | Haikyu!! v29 | the archive names the chapter on every page and this volume holds 9 of them, c252-c260
u 42064 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 42065 261 269 0.97 | Haikyu!! v30 | the archive names the chapter on every page and this volume holds 9 of them, c261-c269
S 42066 270 270 0.97 | Haikyu!! v31 | the archive names the chapter on every page and this volume holds 1 of them, c270-c270
S 42067 279 287 0.97 | Haikyu!! v32 | the archive names the chapter on every page and this volume holds 9 of them, c279-c287
S 42068 288 296 0.97 | Haikyu!! v33 | the archive names the chapter on every page and this volume holds 9 of them, c288-c296
S 42069 297 305 0.97 | Haikyu!! v34 | the archive names the chapter on every page and this volume holds 9 of them, c297-c305
S 42070 306 314 0.97 | Haikyu!! v35 | the archive names the chapter on every page and this volume holds 9 of them, c306-c314
S 42071 315 322 0.97 | Haikyu!! v36 | the archive names the chapter on every page and this volume holds 8 of them, c315-c322
S 42072 323 331 0.97 | Haikyu!! v37 | the archive names the chapter on every page and this volume holds 9 of them, c323-c331
S 42073 332 340 0.97 | Haikyu!! v38 | the archive names the chapter on every page and this volume holds 9 of them, c332-c340
S 42074 341 349 0.97 | Haikyu!! v39 | the archive names the chapter on every page and this volume holds 9 of them, c341-c349
u 42075 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 42076 350 357 0.97 | Haikyu!! v40 | the archive names the chapter on every page and this volume holds 8 of them, c350-c357
S 42077 358 365 0.97 | Haikyu!! v41 | the archive names the chapter on every page and this volume holds 8 of them, c358-c365
S 42078 366 374 0.97 | Haikyu!! v42 | the archive names the chapter on every page and this volume holds 9 of them, c366-c374
S 42079 375 384 0.97 | Haikyu!! v43 | the archive names the chapter on every page and this volume holds 10 of them, c375-c384
S 42080 385 393 0.97 | Haikyu!! v44 | the archive names the chapter on every page and this volume holds 9 of them, c385-c393
S 42081 394 402 0.97 | Haikyu!! v45 | the archive names the chapter on every page and this volume holds 9 of them, c394-c402
u 42082 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42083 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42084 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42085 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42086 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
