# Hikaru no Go (S8901) — the complete 23-volume Viz Shonen Jump edition, digital rips. No loose issues
# on the shelf.
#
# The archives are flat and name no chapter, so every volume was opened and its own printed CONTENTS
# page read. Viz numbers Hikaru no Go's chapters "GAME N" and each volume lists them with page numbers:
#
#     CONTENTS 3 — GAME 17 Leave the Go Club! 7 / GAME 18 If Only You Weren't Here 29 / ...
#                  GAME 25 Preliminary Scrimmage 183
#
# The contents page is p4 in v01 (shorter front matter) and p6 in every other volume, behind the title
# page, a Character Introductions spread and a Story Thus Far page.
#
# TWO PLACES THE LADDER DOES NOT SIMPLY RUN, both read off the contents pages themselves:
#
#   v14  its last entry is `GAME 122 Bonus: Your Treat, Waya!` at p187 — and v15's FIRST entry is also
#        `GAME 122`, `Stupid Hikaru`, at p7. Two different chapters carry the same label; the one in v14
#        is a bonus. v14 is therefore claimed only at its contiguous run 114-121, and v15 keeps 122.
#        Under-claiming costs space; letting both books claim 122 would be an overlap.
#   v18  REFUSED. Its contents page lists `GAME 1 Akira Toya`, `GAME 2 Tetsuo Kaga`, `GAME 3 Asumi Nase`,
#        `GAME 4 Yuki Mitani`, `GAME 5 Atsushi Kurata`, `GAME 6 Fujiwara-no-Sai` — six side stories,
#        numbered from 1 in their own sequence. The main run passes straight over this volume: v17 ends
#        at GAME 148 and v19 opens at GAME 149. A range of 1-6 here would collide head-on with v01's
#        GAME 1-7, so it gets an explicit refusal and a flag.
#
# Everything else tiles exactly: 1-7, 8-16, 17-25, 26-34, 35-43, 44-51, 52-60, 61-69, 70-78, 79-87,
# 88-96, 97-104, 105-113, 114-121, 122-130, 131-139, 140-148, [v18 refused], 149-156, 157-165, 166-174,
# 175-183, 184-189.

N 8901 the archives name no chapter, so all twenty-three volumes were opened and their own printed contents pages read (p4 in v01, p6 in the rest). Viz's `GAME N` ladder tiles GAME 1-189 across twenty-two volumes. v18 is not part of it: it collects six SIDE STORIES numbered GAME 1-6 in their own sequence, and the main run runs straight past it (v17 ends 148, v19 opens 149)
F 40545 conflated-series | Hikaru no Go v18 is a side-story volume whose contents page numbers its six chapters GAME 1 to GAME 6 in a sequence of their own; those numbers collide with v01's GAME 1-7 and are not positions in the main ladder, which passes from v17's GAME 148 to v19's GAME 149
F 40541 label-ambiguous | v14's contents page ends with `GAME 122 Bonus: Your Treat, Waya!` while v15's opens with a different `GAME 122`, `Stupid Hikaru`; the label is used twice, so v14 is claimed only to GAME 121
S 40528 1 7 0.97 | Hikaru no Go v01 | the book's own contents page (p4) lists GAME 1 Descent of the Go Master through GAME 7 Three Problems of Life and Death
S 40529 8 16 0.97 | Hikaru no Go v02 | the book's own contents page (p6) lists GAME 8 Want Me to Lose? through GAME 16 Conspiracy on a Rainy Day
S 40530 17 25 0.97 | Hikaru no Go v03 | the book's own contents page (p6) lists GAME 17 Leave the Go Club! through GAME 25 Preliminary Scrimmage
S 40531 26 34 0.97 | Hikaru no Go v04 | the book's own contents page (p6) lists GAME 26 You Play Him through GAME 34 A Memorable Game
S 40532 35 43 0.97 | Hikaru no Go v05 | the book's own contents page (p6) lists GAME 35 Sai vs. Akira through GAME 43 Yet Another Step Forward
S 40533 44 51 0.97 | Hikaru no Go v06 | the book's own contents page (p6) lists GAME 44 The Insei Exam through GAME 51 An Old Haunt, plus an unnumbered special bonus
S 40534 52 60 0.97 | Hikaru no Go v07 | the book's own contents page (p6) lists GAME 52 Two Study Groups through GAME 60 The Pro Test Approaches!
S 40535 61 69 0.97 | Hikaru no Go v08 | the book's own contents page (p6) lists GAME 61 Kuwabara Hon'inbo through GAME 69 The Team, plus an unnumbered rehearsal bonus
S 40536 70 78 0.97 | Hikaru no Go v09 | the book's own contents page (p6) lists GAME 70 Training Is Fun!! through GAME 78 Winning Streak
S 40537 79 87 0.97 | Hikaru no Go v10 | the book's own contents page (p6) lists GAME 79 Hikaru vs. Tsubaki through GAME 87 Who Played Black?
S 40538 88 96 0.97 | Hikaru no Go v11 | the book's own contents page (p6) lists GAME 88 First to Make the Grade through GAME 96 Finally!
S 40539 97 104 0.97 | Hikaru no Go v12 | the book's own contents page (p6) lists GAME 97 The Awaiting Pros through GAME 104 Kurata 6-Dan
S 40540 105 113 0.97 | Hikaru no Go v13 | the book's own contents page (p6) lists GAME 105 First Professional Match through GAME 113 sai vs. toya koyo: Part II
S 40541 114 121 0.9 | Hikaru no Go v14 | the book's own contents page (p6) lists GAME 114 sai vs. toya koyo: Part III through GAME 121 Toya Koyo Retires!, and then a bonus also labelled GAME 122 — v15 opens with a different GAME 122, so only the contiguous run to 121 is claimed
S 40542 122 130 0.97 | Hikaru no Go v15 | the book's own contents page (p6) lists GAME 122 Stupid Hikaru through GAME 130 I Will Stop Playing
S 40543 131 139 0.97 | Hikaru no Go v16 | the book's own contents page (p6) lists GAME 131 Chinese Go Association through GAME 139 From This Game Forward
S 40544 140 148 0.97 | Hikaru no Go v17 | the book's own contents page (p6) lists GAME 140 A Vow through GAME 148 A Familiar Smile
S 40546 149 156 0.97 | Hikaru no Go v19 | the book's own contents page (p6) lists GAME 149 The Strongest Shodan through GAME 156 Hikaru vs. Kadowaki
S 40547 157 165 0.97 | Hikaru no Go v20 | the book's own contents page (p6) lists GAME 157 A Memory through GAME 165 Tengen on the Second Move
S 40548 166 174 0.97 | Hikaru no Go v21 | the book's own contents page (p6) lists GAME 166 Yashiro Loses! through GAME 174 Heading to the Hokuto Cup
S 40549 175 183 0.97 | Hikaru no Go v22 | the book's own contents page (p6) lists GAME 175 Suyong and Yong Ha through GAME 183 Ko Yong Ha's Question
S 40550 184 189 0.97 | Hikaru no Go v23 | the book's own contents page (p6) lists GAME 184 Japan vs. Korea: 1 through GAME 189 Calling Out to You, then two unnumbered BONUS STORIES
u 40545 v18 is a side-story volume: its own contents page numbers its six chapters GAME 1 Akira Toya through GAME 6 Fujiwara-no-Sai, a sequence of its own that restarts at 1 and would collide with v01's GAME 1-7. The main ladder runs past it from v17's GAME 148 to v19's GAME 149, so this book has no position in it
