# Detective Comics v1 (2016) (S94865) - 13 collected editions, 82 issue files.
#
# Four library folders (`06 v1.1 (2016)`, `07 v1.2 (2019)`, `07 v1.3 (2021)`, `10 v1.4 (2022)`) and one
# run: Detective Comics has numbered continuously since 1937, and these trades restart at "Vol. 01" four
# times inside #934-1080. Three different books here are labelled "Vol. 03" and three "Vol. 04"; only the
# ranges below tell them apart, which is exactly why the label can never order this shelf.
#
# Every range is read off the trade's own copyright page.

N 94865 four trade-numbering restarts inside one continuous run; six of the thirteen books share a Vol. label with another
S 61408 934 940 0.98 | Detective Comics Vol. 01 - Rise of the Batmen | issue: indicia p3: 'Originally published in single magazine form in DETECTIVE COMICS 934-940'
S 61409 943 949 0.98 | Detective Comics Vol. 02 - The Victim Syndicate | issue: indicia p3: 'Originally published in single magazine form in DETECTIVE COMICS 943-949'
S 61410 950 956 0.98 | Detective Comics Vol. 03 - League of Shadows | issue: indicia p3: 'Originally published in single magazine form in DETECTIVE COMICS 950-956'
S 61411 957 962 0.98 | Detective Comics Vol. 04 - Deus Ex Machina | issue: indicia p3: 'Originally published in single magazine form in DETECTIVE COMICS 957-962'
S 61412 963 968 0.98 | Detective Comics Vol. 05 - A Lonely Place of Living | issue: indicia p3: 'Originally published in single magazine form in DETECTIVE COMICS 963-968'
S 61413 969 974 0.97 | Detective Comics Vol. 06 - Fall of the Batmen | issue: indicia p3: 'Originally published in single magazine form in DETECTIVE COMICS 969-974, ANNUAL 1'
S 61414 975 981 0.98 | Detective Comics Vol. 07 - Batmen Eternal | issue: indicia p3: 'Originally published in single magazine form in DETECTIVE COMICS 975-981'
S 61425 1012 1019 0.98 | Detective Comics Vol. 04 - Cold Vengeance | issue: indicia p3: 'Originally published in single magazine form in Detective Comics 1012-1019'
S 61427 1028 1033 0.98 | Detective Comics Vol. 06 - Road to Ruin | issue: indicia p3: 'Originally published in single magazine form in Detective Comics 1028-1033'
S 61446 1044 1046 0.97 | Detective Comics Vol. 03 - Arkham Rising | issue: indicia p5: 'Originally published in single magazine form in Batman: Detective Comics 1044-1046 and Batman: Detective Comics 2021 Annual 1'
S 61449 1059 1061 0.98 | Detective Comics Vol. 04 - Riddle Me This | issue: indicia p5: 'Originally published in single magazine form in Detective Comics 1059-1061'
S 59124 1071 1075 0.98 | Detective Comics Vol. 03 - Gotham Nocturne Act II | issue: indicia p3: 'Originally published in single magazine form in Batman: Detective Comics 1071-1075'
S 59125 1076 1080 0.98 | Detective Comics Vol. 04 - Gotham Nocturne Intermezzo | issue: indicia p3: 'Originally published in single magazine form in Batman: Detective Comics 1076-1080'
S 61426 1020 1027 0.90 | Detective Comics Vol. 05 - The Joker War | complement: Vol. 04 ends at #1019 and Vol. 06 begins at #1028, both read off their own indicia, and 254pp over those eight issues is 32pp each
S 61444 1034 1039 0.98 | Detective Comics Vol. 01 - The Neighborhood | issue: indicia p5: 'Originally published in single magazine form in Detective Comics 1034-1039'

# ADDENDUM (identity pass, wave 88, 2026-09-23): the identity reading attributed the shelf(s) below to the run this shelf IS, and the resolve merged their collected
# editions in. The coverage contract says every collected edition on a shelf is decided exactly once, so they are refused here until read.
u 59123 arrived by the wave-88 identity merge from S2226; no range read from the book
