itemId,seriesId,series,flag,detail,file
80309,735,All-New Guardians of the Galaxy,arithmetic-odd,86 pp for six issues (14 pp each) - the file may be a partial scan,All-New Guardians of the Galaxy Vol. 01 - Communication Breakdown (2017) (Digital) (F) (Zone-Empire).cbr
117741,1527,Avengers Infinity,arithmetic-odd,1046 pp in a Series whose own run is a 4-issue mini,02 Avengers - Infinity (2014) (Digital HC) (Zone-Empire).cbr
109753,1773,Backtrack,arithmetic-odd,the Deluxe Edition (117 pp) is thinner than Vol. 01 (140 pp) alone,Backtrack Deluxe Edition (2025) (digital) (Son of Ultron-Empire).cbr
22564,4321,Creepy Archives,arithmetic-odd,vols 19-29 carry no provider span; their #88-145 blocks are tiled from vol 18 and the run's end,Creepy Archives Vol. 19 (2014) (Digital) (Bean-Empire).cbz
32824,2,'68,conflated-series,'68 volumes 2-4 are separate minis (Scars / Jungle Jim / Rule of War) all carrying gcd #1-4,'68 Vol 2 TPB - Scars (2013) (Digital) (DR & Quinch-Empire).cbr
32825,2,'68,conflated-series,identical gcd #1-4 repeated across every volume of the shelf,'68 Vol 3 TPB - Jungle Jim (2013) (Digital) (DR & Quinch-Empire).cbr
32826,2,'68,conflated-series,identical gcd #1-4 repeated across every volume of the shelf,'68 Vol 4 TPB - Rule of War (2014) (Digital) (DR & Quinch-Empire).cbr
31725,86,30 Days of Night,conflated-series,Series 86 merges several 30 Days of Night minis; held issues #1-12 contain duplicates,30 Days of Night Vol. 02 - Dark Days (2003) (Digital) (JK-Empire).cbr
118109,279,A-Force,conflated-series,A-Force v00 (2015 Warzones mini) and the 2016 A-Force share one Series,A-Force v00 - Warzones! (2016) (Digital) (F) (Kileko-Empire).cbz
72639,381,Action Comics,conflated-series,Action Comics holds 2017 / 2021 / 2022 / 2024 ladders of Vol. NN in one Series,Action Comics Vol. 01 - Warworld Rising (2022) (Digital) (EJGriffin-Empire).cbz
37903,452,Adventureman - The End and Everthing After,conflated-series,the same edition as item 36095 (Adventureman Vol. 01) under a second Series,Adventureman v01 - The End and Everthing After (2024) (Digital) (DR & Quinch-Empire).cbr
72989,468,Adventures of Superman,conflated-series,"cv offers ""Superman: The City of Tomorrow Volume 1"" #573-576 for a 2014 digital-first collection",Adventures of Superman v01 (2014) (Digital) (Zone-Empire).cbr
46211,557,Akame ga Kill!,conflated-series,Akame ga KILL! ZERO shares this Series with the parent title,Akame ga KILL! ZERO v01 (2016) (Digital) (Shadowcat-Empire).cbz
12855,567,Alabaster,conflated-series,three separate minis share one Series; gcd offers 18-32 and 1-5 in different numbering,Alabaster Vol. 02 - Grimmer Tales (2014) (digital) (Son of Ultron II-Empire).cbr
47992,626,Alien,conflated-series,"the 2021 and 2023 Alien runs share one Series, and gcd gives Icarus #1-6 in the relaunch numbering",Alien v03 - Icarus (2023) (Digital) (Kileko-Empire).cbz
12895,648,Aliens,conflated-series,Aliens holds 20 issue files numbered #1-6 from several different minis,Aliens Omnibus v01 (2007) (digital) (The Magicians-Empire).cbr
52363,790,Alpha Flight,conflated-series,"Alpha Flight holds the 1983, 1997, 2004 and 2011 runs plus three reprint ladders in one Series",Alpha Flight Vol. 01 - You Gotta Be Kiddin' Me (2004) (Digital) (Shadowcat-Empire).cbz
93932,4752,Amazing Spider-man #700 Final Issue  by Dan Slott,conflated-series,"Brand New Day, Superior Spider-Man, Amazing Spider-Man and Worldwide trades share one shelf ladder",Dan Slott Spider-Man Vol. 33 - Superior Spider-Man Vol. 01 - My Own Worst Enemy (2013) (Digital) (Zone-Empire).cbr
94792,855,Amazing Spider-Man: Renew Your Vows,conflated-series,"Renew Your Vows Vol. 00 is the 2015 Secret Wars mini, Vol. 01 the 2016 ongoing",Amazing Spider-Man - Renew Your Vows Vol. 00 - Warzones! (2016) (Digital) (Kileko-Empire).cbr
13623,945,American Gods,conflated-series,"three separately-numbered 9-issue minis share this Series, and each volume is held twice (13620/13623, 13621/13624, 13622/13625)",American Gods Vol. 01 - Shadows (2018) (digital) (Son of Ultron II-Empire).cbr
104702,946,American Jesus,conflated-series,American Jesus is three separately-numbered minis under one Series,American Jesus Book 02 - The New Messiah (2020) (Digital) (DR & Quinch-Empire).cbr
13014,1025,Angel And Faith Season Nine Library Edition Volume 3,conflated-series,"Season 9 Library Editions, Season 9 trades and Season 10 trades share one Series",Angel & Faith Season 9 - Library Edition Book 01 (2015) (digital) (Son of Ultron II-Empire).cbr
4647,1045,Animal Castle,conflated-series,"four 33-37 pp v2 issues and FCBD carry a collection format, and their #1-3 collide with the first run's numbering",Animal Castle v2 001 (2023) (digital) (Son of Ultron-Empire).cbr
112314,1049,Animal Man,conflated-series,"gcd's ""The Hunt"" #1-6 and ""Animal vs. Man"" #7-12 are New 52 numbering inside a Series whose held issues are the 1988 run",Animal Man Vol. 01 - The Hunt (2012) (Digital) (Zone-Empire).cbr
117918,1074,Annihilation,conflated-series,21 held issue files numbered #1-6 come from four different minis,Annihilation Omnibus (2022) (Digital-Empire).cbz
69308,1331,Arsenal,conflated-series,Red Hood/Arsenal trades sit in the Arsenal Series,Red Hood - Arsenal Vol. 01 - Open for Business (2016) (digital) (Son of Ultron-Empire).cbr
20843,1357,Ash and The Army of Darkness,conflated-series,three separately-numbered minis share this Series,Ash And The Army Of Darkness (TPB)(2014)(Digital)(TLK-EMPIRE-HD).cbr
30347,1469,Atomic Robo,conflated-series,every Atomic Robo volume is a separate mini restarting at #1 inside one Series,Atomic Robo Vol. 02 - ... and the Dogs of War (2015) (Digital) (DR & Quinch-Empire).cbr
53421,1604,Avengers: Forever,conflated-series,the 1998 Avengers Forever mini and the 2022 series share this Series,Avengers Forever Vol. 01 - The Lords of Earthly Vengeance (2022) (Digital-Empire).cbr
13469,1698,Axe Cop,conflated-series,Axe Cop volumes are separate minis restarting at #1 inside one Series,Axe Cop Vol. 04 - President of the World (2013) (digital) (The Magicians-Empire).cbr
14890,1715,B.P.R.D.,conflated-series,"every B.P.R.D. mini restarts at #1, and locg gives volume after volume a range starting at #1","B.P.R.D. Vol. 01 - Hollow Earth & Other Stories (2004, 2nd edition) (Digital) (Zone-Empire).cbr"
14908,1718,B.P.R.D. Hell on Earth,conflated-series,"two numbering systems (per-mini #1-5 and ongoing #105-119) inside one Series, plus a parallel hardcover ladder",B.P.R.D. Hell on Earth Vol. 01 - New World (2011) (digital) (Son of Ultron II-Empire).cbr
13457,1826,Barb Wire,conflated-series,the 1994 and 2015 Barb Wire runs share one Series,Barb Wire v1 Omnibus (2008) (digital) (Son of Ultron II-Empire).cbr
62333,2156,Batman and the Outsiders,conflated-series,two runs each contribute a Vol. 01 numbered from #1,Batman and the Outsiders Vol. 01 - Lesser Gods (2019) (digital) (Son of Ultron-Empire).cbr
62723,1928,Batman: Family,conflated-series,Death of the Family trades sit in the Batman: Family Series,Batman - Death of the Family Vol. 01 (2012) (Digital) (KMFA-Empire).cbr
43996,2323,Battle Royale,conflated-series,Battle Royale: Enforcers (a separate manga) sits in the Battle Royale Series,Battle Royale - Enforcers v01 (2024) (Digital) (LuCaZ).cbz
20904,2334,Battlestar Galactica,conflated-series,"several separately-numbered BSG series share one Series, each with a Vol. 01",Battlestar Galactica v01 (2007) (2 covers) (Digital) (DR & Quinch-Empire).cbr
20910,2478,Bettie Page,conflated-series,"the 2017 Bettie Page, Unbound and La Dolce Vita share one Series",Bettie Page - Unbound v01 (2020) (Digital) (DR & Quinch-Empire).cbr
9482,2543,Big Trouble in Little China,conflated-series,Big Trouble in Little China and Old Man Jack share one Series,Big Trouble in Little China Old Man Jack Vol. 01 (2018) (digital) (The Magicians-Empire).cbr
13899,2592,Billy the Kid's Old-Timey Oddities,conflated-series,three separately-numbered minis share this Series; gcd gives vol 3 #1-4,Billy the Kid's Old Timey Oddities Vol. 03 - ... and the Orm of Loch Ness (2013) (digital) (Son of Ultron-Empire).cbr
53547,2669,Black Cat,conflated-series,a manga volume ladder and a Marvel trade ladder both number from #1 in this Series,Black Cat Vol. 01 - Grand Theft Marvel (2020) (Digital) (Zone-Empire).cbr
34322,2988,Bloodstrike,conflated-series,"the 1993 run, the 2012 relaunch and the 2024 Battle Blood share one Series",Bloodstrike - Battle Blood Book 01 (2024) (Digital) (DR & Quinch-Empire).cbr
14308,3015,Blue Book,conflated-series,"two separately-numbered Blue Book minis share this Series, both with locg 1-5",Blue Book Vol. 02 - 1947 (2024) (digital) (Son of Ultron-Empire).cbr
21852,3042,Bob's Burgers,conflated-series,two trade ladders (Vol. NN and the named Medium Rare / Well Done books) share this Series,Bob's Burgers Vol. 01 (2015) (digital) (Minutemen-Slayer).cbr
12960,3137,Brain Boy,conflated-series,"two Brain Boy minis share this Series, both numbered from #1",Brain Boy Vol. 02 - The Men from G.E.S.T.A.L.T. (2014) (digital) (Son of Ultron-Empire).cbr
13341,3165,Briggs Land,conflated-series,"Briggs Land and Briggs Land: Lone Wolves share this Series, both numbered from #1",Briggs Land Vol. 02 - Lone Wolves (2018) (digital) (Son of Ultron-Empire).cbr
110836,3181,Britannia,conflated-series,"three Britannia minis share this Series, each numbered from #1",Britannia v02 - We Who Are About to Die (2017) (digital) (Son of Ultron-Empire).cbr
14329,3383,Canto,conflated-series,several separately-numbered Canto minis share this Series,Canto Vol. 02 - The Hollow Men (2024) (Digital-Empire).cbz
13733,3569,Captain Midnight,conflated-series,the 1940s Captain Midnight Archives and the 2013 Dark Horse series share one Series,Captain Midnight Archives v01 - Battles the Nazis (2013) (digital) (The Magicians-Empire).cbr
