# Containment gap: issue files stored with a bare issue number that makes them nest under a judged trade they are
# NOT in. Each carries an F issue-numbers-wrong line in its shelf's decision file (the admin Containment queue).
# apply_read_issue_numbers.py writes a bare IssueNo only, so annuals / point issues need a representation it lacks —
# an issue-number pass (or a split-lane move for another run's issues) must fix these before file de-dup trusts them.
# shelf	what	batch
S19212	New Teen Titans (1984) #38 (item 56096) on the 1980 shelf -> nests under Vol. 06 #35-40 (also revisit.txt)	G-001
S94613	Green Lantern v5 Annuals #1-4 stored as #1-4 -> under Vol. 01; #23.2 / #23.3 stored as #23 -> under Vol. 04	G-002
S8162	GotG #1.MU and the Hanes issue stored as #1 -> under Vol. 01	G-002
S790	Alpha Flight v2 (1997) #18-20 on the mixed shelf -> under Classic Vol. 02 / 03	G-002
S66130	Tomb of Dracula Complete Collection Vol. 03 0-page rip stored as #3 -> under both Vol. 01s	G-002
S66050	Red Star #7.5 stored as #5	G-002
S64158	Aquaman Annuals #1-5 (58679-58683) stored as #1-5 -> under Book 01 #0-8	G-003
S12283	Money Shot ColorUp! colouring book (112203) stored as #1 -> under Vol. 01	G-003
S16845	Steven Universe 2016 Special (10773) stored as #1 -> under Vol. 01	G-003
S19932	WicDiv The Funnies (35805) stored as #1 -> under Vol. 01 and Book 01	G-003
S9644	Irredeemable #1 Artist Edition variant nests under Vol. 01 (a variant, not a second #1 copy — N line)	G-003
S4508	DC Comics Bombshells Annual (63314) stored as #1 -> under Vol. 01 (chapter numbering)	G-004
S7509	Giant Days Holiday Special (9998) stored as #1 -> under Vol. 01	G-004
S1843	Barbaric Cover Gallery (112131) stored as #1 -> under Vol. 1	G-004
S100136	Superman v3 (2011): Director's Cut 72577, Villains Month 72578-72581, 18487 / 18450 / 18467 stored as run numbers -> under the judged trades	G-005
S17204	Superman: Son of Kal-El Annual 73986 stored as #1	G-005
S17289	Superman/Batman 75141 / 75991 (specials) stored as run numbers	G-005
S14272	Quasar 102379 stored as a run number	G-005
S19805	Totally Awesome Hulk #1.MU 101941 stored as #1; Echoes of Fear 103903	G-005
S36271	What If? Newer Fantastic Four 97509 stored as a run number	G-005
S64466	Cyclops (2011) #1 91710 on the 2014 shelf -> under its trade	G-005
S65617	Sentinel (2006) #1-5 (90336-90340) on the 2003 shelf -> under its trades — split-lane move (revisit.txt)	G-005
S99357	Power Girl Uncovered 69972 stored as #1	G-005
S17587	Tangled: Hair It Is 20420 — in that book per GCD, only its number is wrong	G-005
S14311	DC R.E.B.E.L.S. 16319 / 16332 on the Dark Horse Rebels shelf — split-lane move (revisit.txt)	G-005
