itemId,seriesId,flag,detail,source
16197,94612,span-retracted,"withdrew the model's own #?-?: a 21pp single issue (#21) is not a collected edition, so a collected-edition range of #1-6 is not a range for this file - it is either a provider mislink or a DIFFERENT coordinate (the digital-chapter mapping), and used as this file's ladder position it nests the file under books that do not contain it",line 200
16199,94612,span-retracted,"withdrew the model's own #?-?: a 20pp single issue (#22) is not a collected edition, so a collected-edition range of #1-6 is not a range for this file - it is either a provider mislink or a DIFFERENT coordinate (the digital-chapter mapping), and used as this file's ladder position it nests the file under books that do not contain it",line 201
16201,94612,span-retracted,"withdrew the model's own #?-?: a 23pp single issue (#23) is not a collected edition, so a collected-edition range of #1-6 is not a range for this file - it is either a provider mislink or a DIFFERENT coordinate (the digital-chapter mapping), and used as this file's ladder position it nests the file under books that do not contain it",line 202
16216,94612,span-retracted,"withdrew the model's own #?-?: a 23pp single issue (#28) is not a collected edition, so a collected-edition range of #1-6 is not a range for this file - it is either a provider mislink or a DIFFERENT coordinate (the digital-chapter mapping), and used as this file's ladder position it nests the file under books that do not contain it",line 203
16287,94612,span-retracted,"withdrew the model's own #?-?: a 22pp single issue (#39) is not a collected edition, so a collected-edition range of #1-6 is not a range for this file - it is either a provider mislink or a DIFFERENT coordinate (the digital-chapter mapping), and used as this file's ladder position it nests the file under books that do not contain it",line 204
16288,94612,span-retracted,"withdrew the model's own #?-?: a 23pp single issue (#40) is not a collected edition, so a collected-edition range of #1-6 is not a range for this file - it is either a provider mislink or a DIFFERENT coordinate (the digital-chapter mapping), and used as this file's ladder position it nests the file under books that do not contain it",line 205
16289,94612,span-retracted,"withdrew the model's own #?-?: a 24pp single issue (#41) is not a collected edition, so a collected-edition range of #1-6 is not a range for this file - it is either a provider mislink or a DIFFERENT coordinate (the digital-chapter mapping), and used as this file's ladder position it nests the file under books that do not contain it",line 206
60815,95393,span-retracted,"withdrew the model's own #238-238: a 100pp giant (Batman #238) - PLAN 6.2 names this file as a genuine single-issue edition, but the stored span #14-324 is not its contents: it would nest 317 files of the Batman shelf",line 74
60831,95393,span-retracted,withdrew the model's own #254-254: a 100pp 100-Page Super Spectacular (Batman #254); the span #1-334 would nest 348 files of its own shelf,line 75
60834,95393,span-retracted,withdrew the model's own #257-257: a 100pp Super Spectacular (Batman #257); the span #22-385 would nest 368 files of its own shelf,line 78
60835,95393,span-retracted,withdrew the model's own #258-258: a 100pp Super Spectacular (Batman #258); the span #26-368 would nest 346 files of its own shelf,line 79
60836,95393,span-retracted,withdrew the model's own #259-259: a 100pp Super Spectacular (Batman #259); the span #29-222 would nest 195 files of its own shelf,line 80
60837,95393,span-retracted,withdrew the model's own #260-260: a 100pp Super Spectacular (Batman #260); the span #16-377 would nest 366 files of its own shelf,line 81
60838,95393,span-retracted,withdrew the model's own #261-261: a 100pp Super Spectacular (Batman #261); the span #27-345 would nest 321 files of its own shelf,line 82
73879,100571,span-retracted,withdrew the model's own #214-214: a 100pp 100-Page Super Spectacular (The Flash #214); the span #4-179 lies below this file's own number and would nest 70 files of its own shelf,line 142
29499,8533,span-retracted,withdrew the model's own #?-?: a 133pp Heavy Metal magazine issue (1999 v23 #9); the span #26-30 is a provider mislink in some other numbering,line 159
29537,8533,span-retracted,"withdrew the model's own #?-?: a 124pp Heavy Metal magazine issue (v27 #1); the span #1-57 is the volume-1 numbering the provider matched, not this issue's contents",line 160
29538,8533,span-retracted,withdrew the model's own #?-?: a 129pp Heavy Metal magazine issue (v27 #2); the span #1-12 would nest 12 files of that shelf under one magazine,line 161
29539,8533,span-retracted,withdrew the model's own #?-?: a 125pp Heavy Metal magazine issue (v27 #3); the span #1-13 would nest 12 files under one magazine,line 162
29593,8533,span-retracted,"withdrew the model's own #?-?: a 122pp Heavy Metal magazine issue (v33 #3); the span #1-13 is the provider's match on volume 1, not this issue's contents",line 163
29595,94623,span-retracted,withdrew the model's own #?-?: a 102pp Heavy Metal magazine issue (v1 #1); the span #1-57 would nest 11 files of its own shelf under the first issue,line 165
29596,94623,span-retracted,withdrew the model's own #?-?: a 101pp Heavy Metal magazine issue (v1 #2); the span #1-12 would nest 11 files of its own shelf,line 166
29597,94623,span-retracted,withdrew the model's own #?-?: a 101pp Heavy Metal magazine issue (v1 #3); the span #1-13 would nest 12 files of its own shelf,line 167
29608,94624,span-retracted,withdrew the model's own #?-?: a 95pp Heavy Metal magazine issue (v2 #1); the span #1-57 would nest 11 files of its own shelf,line 168
29609,94624,span-retracted,withdrew the model's own #?-?: a 96pp Heavy Metal magazine issue (v2 #2); the span #1-12 would nest 11 files of its own shelf,line 169
29610,94624,span-retracted,withdrew the model's own #?-?: a 96pp Heavy Metal magazine issue (v2 #3); the span #1-13 would nest 11 files of its own shelf,line 170
29620,94625,span-retracted,withdrew the model's own #?-?: a 103pp Heavy Metal magazine issue (v3 #1); the span #1-57 would nest 10 files of its own shelf,line 171
29621,94625,span-retracted,withdrew the model's own #?-?: a 90pp Heavy Metal magazine issue (v3 #2); the span #1-12 would nest 10 files of its own shelf,line 172
29622,94625,span-retracted,withdrew the model's own #?-?: a 98pp Heavy Metal magazine issue (v3 #3); the span #1-13 would nest 10 files of its own shelf,line 173
