itemId,seriesId,flag,detail,source
106160,68162,span-retracted,withdrew the model's own #?-?: a compilation of another series' issues; this Series holds no issues of its own for a range to name,line 3526
106161,68162,span-retracted,withdrew the model's own #?-?: a compilation of another series' issues; this Series holds no issues of its own for a range to name,line 3527
106162,68162,span-retracted,withdrew the model's own #?-?: a compilation of another series' issues; this Series holds no issues of its own for a range to name,line 3528
106163,68162,span-retracted,withdrew the model's own #?-?: a compilation of another series' issues; this Series holds no issues of its own for a range to name,line 3529
106164,68162,span-retracted,withdrew the model's own #?-?: a compilation of another series' issues; this Series holds no issues of its own for a range to name,line 3530
106165,68162,span-retracted,withdrew the model's own #?-?: a compilation of another series' issues; this Series holds no issues of its own for a range to name,line 3531
106166,68162,span-retracted,withdrew the model's own #?-?: a compilation of another series' issues; this Series holds no issues of its own for a range to name,line 3532
106167,68162,span-retracted,withdrew the model's own #?-?: a compilation of another series' issues; this Series holds no issues of its own for a range to name,line 3533
106168,68162,span-retracted,withdrew the model's own #?-?: a compilation of another series' issues; this Series holds no issues of its own for a range to name,line 3534
106169,68162,span-retracted,withdrew the model's own #?-?: a compilation of another series' issues; this Series holds no issues of its own for a range to name,line 3535
106170,68162,span-retracted,withdrew the model's own #?-?: a compilation of another series' issues; this Series holds no issues of its own for a range to name,line 3536
106171,68162,span-retracted,withdrew the model's own #?-?: a compilation of another series' issues; this Series holds no issues of its own for a range to name,line 3537
106172,68162,span-retracted,withdrew the model's own #?-?: a compilation of another series' issues; this Series holds no issues of its own for a range to name,line 3538
106173,68162,span-retracted,withdrew the model's own #?-?: a compilation of another series' issues; this Series holds no issues of its own for a range to name,line 3539
15088,8737,span-retracted,"withdrew the model's own #?-?: a base volume of this shelf: the ladder is in volume numbers, so a range here would only name itself, and the Hellboy miniseries issues it collects are not held anywhere in the library",line 3926
15089,8737,span-retracted,withdrew the model's own #?-?: a base volume of this shelf; see the note on 15088,line 3927
15090,8737,span-retracted,"withdrew the model's own #?-?: a base volume of this shelf, and a short-story collection at that; see the note on 15088",line 3928
15091,8737,span-retracted,withdrew the model's own #?-?: a base volume of this shelf; see the note on 15088,line 3929
15092,8737,span-retracted,withdrew the model's own #?-?: a base volume of this shelf; see the note on 15088,line 3930
15093,8737,span-retracted,withdrew the model's own #?-?: a base volume of this shelf; see the note on 15088,line 3931
15094,8737,span-retracted,"withdrew the model's own #?-?: a base volume of this shelf, and a short-story collection at that; see the note on 15088",line 3932
15095,8737,span-retracted,withdrew the model's own #?-?: a base volume of this shelf; see the note on 15088,line 3933
15096,8737,span-retracted,withdrew the model's own #?-?: a base volume of this shelf; see the note on 15088,line 3934
15097,8737,span-retracted,"withdrew the model's own #?-?: a base volume of this shelf, and a short-story collection at that; see the note on 15088",line 3935
15098,8737,span-retracted,"withdrew the model's own #?-?: a base volume of this shelf, and a short-story collection at that; see the note on 15088",line 3936
