Shelf,SeriesId,ItemId,Format
The Wicked + The Divine - The Funnies one-shot,,35805,6
Money Shot ColorUp! colouring book,,112203,5
Barbaric Cover Gallery,,112131,5
Power Girl Uncovered one-shot,,69972,6
What If - Newer Fantastic Four one-shot,,97509,6
High Republic Adventures - Echoes of Fear one-shot,,103903,6
Totally Awesome Hulk 1.MU Monsters Unleashed tie-in,,101941,5
Guardians of the Galaxy 1.MU Monsters Unleashed tie-in,,101939,5
Guardians of the Galaxy - Hi-Tech Heroes Presented by Hanes giveaway,,80303,5
Superman 001 Director's Cut,,72577,5
Tomb of Dracula Complete Collection Vol. 03 (a trade rip with 0 pages),,103498,1
