ItemId,Format,FormatRaw
23599,12,Magazine
23600,12,Magazine
23601,12,Magazine
23602,12,Magazine
23603,12,Magazine
23604,12,Magazine
23605,12,Magazine
23606,12,Magazine
23607,12,Magazine
23608,12,Magazine
23609,12,Magazine
23610,12,Magazine
23611,12,Magazine
23612,12,Magazine
23613,12,Magazine
23614,12,Magazine
23615,12,Magazine
23616,12,Magazine
23617,12,Magazine
23618,12,Magazine
23619,12,Magazine
23620,12,Magazine
23621,12,Magazine
23622,12,Magazine
23623,12,Magazine
23624,12,Magazine
23625,12,Magazine
23626,12,Magazine
23627,12,Magazine
23628,12,Magazine
23629,12,Magazine
23630,12,Magazine
23631,12,Magazine
23632,12,Magazine
23633,12,Magazine
23634,12,Magazine
23635,12,Magazine
23636,12,Magazine
23637,12,Magazine
23638,12,Magazine
23639,12,Magazine
23640,12,Magazine
23641,12,Magazine
23642,12,Magazine
23643,12,Magazine
23644,12,Magazine
23645,12,Magazine
23646,12,Magazine
23647,12,Magazine
23648,12,Magazine
23649,12,Magazine
23650,12,Magazine
23651,12,Magazine
23652,12,Magazine
23653,12,Magazine
23654,12,Magazine
23655,12,Magazine
23656,12,Magazine
23657,12,Magazine
23658,12,Magazine
23659,12,Magazine
23660,12,Magazine
23661,12,Magazine
23662,12,Magazine
23663,12,Magazine
23664,12,Magazine
23665,12,Magazine
23666,12,Magazine
23667,12,Magazine
23668,12,Magazine
23669,12,Magazine
23670,12,Magazine
23671,12,Magazine
23672,12,Magazine
23673,12,Magazine
23674,12,Magazine
23675,12,Magazine
23676,12,Magazine
23677,12,Magazine
23678,12,Magazine
23679,12,Magazine
23680,12,Magazine
23681,12,Magazine
23682,12,Magazine
23683,12,Magazine
23684,12,Magazine
23685,12,Magazine
23686,12,Magazine
23687,12,Magazine
23688,12,Magazine
23689,12,Magazine
23690,12,Magazine
23691,12,Magazine
23692,12,Magazine
23693,12,Magazine
23694,12,Magazine
23695,12,Magazine
23696,12,Magazine
23697,12,Magazine
23698,12,Magazine
23699,12,Magazine
23700,12,Magazine
23701,12,Magazine
23702,12,Magazine
23703,12,Magazine
23704,12,Magazine
23705,12,Magazine
23706,12,Magazine
23707,12,Magazine
23708,12,Magazine
23709,12,Magazine
23710,12,Magazine
23711,12,Magazine
23712,12,Magazine
23713,12,Magazine
23714,12,Magazine
23715,12,Magazine
23716,12,Magazine
23717,12,Magazine
23718,12,Magazine
23719,12,Magazine
23720,12,Magazine
23721,12,Magazine
23722,12,Magazine
23723,12,Magazine
23724,12,Magazine
23725,12,Magazine
23726,12,Magazine
23727,12,Magazine
23728,12,Magazine
23729,12,Magazine
23730,12,Magazine
23731,12,Magazine
23732,12,Magazine
23733,12,Magazine
23734,12,Magazine
23735,12,Magazine
23736,12,Magazine
23737,12,Magazine
23738,12,Magazine
23739,12,Magazine
23740,12,Magazine
23741,12,Magazine
23742,12,Magazine
23743,12,Magazine
23744,12,Magazine
23745,12,Magazine
23746,12,Magazine
23747,12,Magazine
23748,12,Magazine
23749,12,Magazine
23750,12,Magazine
23751,12,Magazine
23752,12,Magazine
23753,12,Magazine
23754,12,Magazine
23755,12,Magazine
23756,12,Magazine
24001,12,Magazine
24002,12,Magazine
24003,12,Magazine
24004,12,Magazine
24005,12,Magazine
24006,12,Magazine
24007,12,Magazine
24008,12,Magazine
24009,12,Magazine
24010,12,Magazine
24011,12,Magazine
24012,12,Magazine
24013,12,Magazine
24014,12,Magazine
24015,12,Magazine
24016,12,Magazine
24017,12,Magazine
24018,12,Magazine
24019,12,Magazine
24020,12,Magazine
24021,12,Magazine
24022,12,Magazine
24023,12,Magazine
24024,12,Magazine
