Shelf,SeriesId,ItemId,Format
Gold Digger,7700,,0
What If v3 (1997),101404,,0
Crazy Magazine,3306,,0
Star Trek TNG,16434,,0
Star Trek (1989),65715,,0
Magnus Robot Fighter,102026,,0
The Books of Magic v2 (1994),100364,,0
Star Trek,65714,,0
Solar: Man of the Atom,15854,,0
Turok Dinosaur Hunter,20524,,0
Love & Rockets v1 (1982),94657,,0
G.I. Joe ARAH v2 (2001),94770,,0
The Outsiders v3 (2003),100744,,0
Dark Shadows,4937,,0
Cyber Force v2 (1993),96216,,0
Sleepwalker,15771,,0
DC One Million,4564,,0
Teen Titans (2003),65856,,0
Green Lantern v4 (2005),94612,,0
Green Lantern Corps,7938,,0
The Darkness v2 (2002),94716,,0
Doc Savage v2 (1988),96485,,0
Sleeper,15764,,0
Fallen Angel,6430,,0
Alpha Flight v2 (1997),95037,,0
Plastic Man v2 (1966),94851,,0
What If v2 (1989),101403,,0
Shadowhawk v1 (1992),99728,,0
Grimm Fairy Tales v2 (2016),97366,,0
DC vs. Vampires,4631,,0
Doom Patrol v4 (2004),96548,,0
Punisher v03 (1995),99393,,0
X-Force,22176,,0
Ghost Rider v6 (2006),97144,,0
TMNT Color Classics,17705,,0
Shadowhawk v2 (2005),99729,,0
read as a run of numbered single issues,94692,,0
read as a run of numbered single issues,99356,,0
read as a run of numbered single issues,6284,,0
read as a run of numbered single issues,64185,,0
read as a run of numbered single issues,11267,,0
read as a run of numbered single issues,20497,,0
read as a run of numbered single issues,94658,,0
read as a run of numbered single issues,7108,,0
read as a run of numbered single issues,100040,,0
read as a run of numbered single issues,10712,,0
read as a run of numbered single issues,8877,,0
read as a run of numbered single issues,10550,,0
read as a run of numbered single issues,94645,,0
read as a run of numbered single issues,95542,,0
read as a run of numbered single issues,101298,,0
read as a run of numbered single issues,94586,,0
read as a run of numbered single issues,65354,,0
read as a run of numbered single issues,98565,,0
read as a run of numbered single issues,64739,,0
read as a run of numbered single issues,94672,,0
read as a run of numbered single issues,17167,,0
read as a run of numbered single issues,94763,,0
read as a run of numbered single issues,2903,,0
read as a run of numbered single issues,11548,,0
read as a run of numbered single issues,96969,,0
read as a run of numbered single issues,8941,,0
read as a run of numbered single issues,14285,,0
read as a run of numbered single issues,98042,,0
read as a run of numbered single issues,98043,,0
read as a run of numbered single issues,98044,,0
read as a run of numbered single issues,21724,,0
read as a run of numbered single issues,7131,,0
read as a run of numbered single issues,62,,0
read as a run of numbered single issues,4736,,0
read as a run of numbered single issues,66376,,0
read as a run of numbered single issues,8792,,0
read as a run of numbered single issues,11355,,0
read as a run of numbered single issues,64804,,0
read as a run of numbered single issues,13033,,0
read as a run of numbered single issues,65606,,0
read as a run of numbered single issues,98038,,0
read as a run of numbered single issues,47160,,0
read as a run of numbered single issues,95393,,0
read as a run of numbered single issues,95390,,0
read as a run of numbered single issues,66293,,0
read as a run of numbered single issues,11354,,0
read as a run of numbered single issues,97367,,0
read as a run of numbered single issues,101233,,0
read as a run of numbered single issues,100225,,0
read as a run of numbered single issues,100226,,0
read as a run of numbered single issues,64393,,0
read as a run of numbered single issues,99462,,0
read as a run of numbered single issues,3966,,0
read as a run of numbered single issues,94590,,0
read as a run of numbered single issues,18176,,0
read as a run of numbered single issues,96031,,0
read as a run of numbered single issues,100046,,0
read as a run of numbered single issues,19425,,0
read as a run of numbered single issues,13077,,0
read as a run of numbered single issues,101395,,0
read as a run of numbered single issues,3764,,0
read as a run of numbered single issues,13965,,0
read as a run of numbered single issues,2839,,0
read as a run of numbered single issues,95637,,0
read as a run of numbered single issues,98670,,0
read as a run of numbered single issues,5373,,0
read as a run of numbered single issues,5372,,0
