ItemId,SeriesId,FileName,WasIssueNo,GuessedIssueNo
17423,17136,04 Supergirl_06__2006_.cbr,2006,6
17424,17136,05 Supergirl_07__2006_.cbr,2006,7
17426,17136,07 Supergirl_08__2006_.cbr,2006,8
17427,17136,08 Supergirl_09__2006_.cbr,2006,9
18055,381,001 Action Comics 000 - November 2012.cbz,2012,0
18057,1881,003 Batman 000 - November 2012.cbr,2012,0
18067,12955,009 Nightwing 025 - January 2014.cbr,2014,25
18068,1868,010 Batgirl 025 - January 2014.cbr,2014,25
18070,14460,012 Red Hood and the Outlaws 025 - January 2014.cbr,2014,25
18071,2359,013 Batwoman 025 - January 2014.cbr,2014,25
18073,3683,015 Catwoman 025 - January 2014.cbr,2014,25
18075,7872,017 Green Arrow 025 - January 2014.cbr,2014,25
18084,2302,BatmanSuperman 001 - August 2013.cbr,2013,1
18085,2302,BatmanSuperman 002 - September 2013.cbr,2013,2
18086,2302,BatmanSuperman 003 - October 2013.cbr,2013,3
18101,22079,Worlds' Finest 000 - November 2012.cbr,2012,0
18103,22079,Worlds' Finest 002 - August 2012.cbr,2012,2
18104,22079,Worlds' Finest 003 - September 2012.cbr,2012,3
18105,22079,Worlds' Finest 004 - October 2012.cbr,2012,4
18106,22079,Worlds' Finest 005 - December 2012.cbr,2012,5
18110,22079,Worlds' Finest 009 - April 2013.cbr,2013,9
18111,381,Action Comics 001 - November 2011.cbz,2011,1
18112,381,Action Comics 002 - December 2011.cbz,2011,2
18113,381,Action Comics 003 - January 2012.cbz,2012,3
18114,381,Action Comics 004 - February 2012.cbz,2012,4
18115,381,Action Comics 005 - March 2012.cbz,2012,5
18116,381,Action Comics 006 - April 2012.cbz,2012,6
18117,381,Action Comics 007 - May 2012.cbz,2012,7
18118,381,Action Comics 008 - June 2012.cbz,2012,8
18120,10105,Justice League 001 - October 2011.cbr,2011,1
18121,10105,Justice League 002 - December 2011.cbr,2011,2
18122,10105,Justice League 003 - January 2012.cbr,2012,3
18123,10105,Justice League 004 - February 2012.cbr,2012,4
18124,10105,Justice League 005 - March 2012.cbr,2012,5
18125,10105,Justice League 006 - April 2012.cbr,2012,6
18126,381,Action Comics 009 - July 2012.cbr,2012,9
18129,381,Action Comics 012 - October 2012.cbz,2012,12
18130,381,Action Comics 013 - December 2012.cbz,2012,13
18131,381,Action Comics 014 - January 2013.cbz,2013,14
18132,381,Action Comics 015 - February 2013.cbz,2013,15
18133,381,Action Comics 016 - March 2013.cbz,2013,16
18134,381,Action Comics 017 - April 2013.cbz,2013,17
18136,21955,Wonder Woman 001 - November 2011.cbr,2011,1
18137,21955,Wonder Woman 002 - December 2011.cbr,2011,2
18138,21955,Wonder Woman 003 - January 2012.cbr,2012,3
18139,21955,Wonder Woman 004 - February 2012.cbr,2012,4
18140,21955,Wonder Woman 005 - March 2012.cbr,2012,5
18141,21955,Wonder Woman 006 - April 2012.cbr,2012,6
18142,21955,Wonder Woman 007 - May 2012.cbr,2012,7
18143,21955,Wonder Woman 008 - June 2012.cbr,2012,8
18144,21955,Wonder Woman 009 - July 2012.cbr,2012,9
18145,21955,Wonder Woman 010 - August 2012.cbr,2012,10
18146,21955,Wonder Woman 011 - September 2012.cbr,2012,11
18147,21955,Wonder Woman 012 - October 2012.cbr,2012,12
18149,21955,Wonder Woman 014 - January 2013.cbr,2013,14
18150,21955,Wonder Woman 015 - February 2013.cbr,2013,15
18151,21955,Wonder Woman 016 - March 2013.cbr,2013,16
18156,21955,Wonder Woman 021 - August 2013.cbr,2013,21
18157,21955,Wonder Woman 022 - September 2013.cbr,2013,22
18158,21955,Wonder Woman 023 - October 2013.cbr,2013,23
18159,1881,Batman 001 - November 2011.cbr,2011,1
18160,1881,Batman 002 - December 2011.cbr,2011,2
18161,1881,Batman 003 - January 2012.cbr,2012,3
18162,1881,Batman 004 - February 2012.cbr,2012,4
18163,1881,Batman 005 - March 2012.cbr,2012,5
18164,1881,Batman 006 - April 2012.cbr,2012,6
18166,2139,Batman and Robin 001 - November 2011.cbr,2011,1
18168,2139,Batman and Robin 003 - January 2012.cbr,2012,3
18169,2139,Batman and Robin 004 - February 2012.cbr,2012,4
18170,2139,Batman and Robin 005 - March 2012.cbr,2012,5
18171,2139,Batman and Robin 006 - April 2012.cbr,2012,6
18172,2139,Batman and Robin 007 - May 2012.cbr,2012,7
18173,2139,Batman and Robin 008 - June 2012.cbr,2012,8
18176,1868,Batgirl 003 - January 2012.cbr,2012,3
18177,1868,Batgirl 004 - February 2012.cbr,2012,4
18178,1868,Batgirl 005 - March 2012.cbr,2012,5
18179,1868,Batgirl 006 - April 2012.cbr,2012,6
18180,12955,Nightwing 001 - November 2011.cbr,2011,1
18181,12955,Nightwing 002 - December 2011.cbr,2011,2
18182,12955,Nightwing 003 - January 2012.cbz,2012,3
18183,12955,Nightwing 004 - February 2012.cbz,2012,4
18184,12955,Nightwing 005 - March 2012.cbz,2012,5
18185,12955,Nightwing 006 - April 2012.cbz,2012,6
18186,12955,Nightwing 007 - May 2012.cbz,2012,7
18187,2613,Birds of Prey 001 - November 2011.cbr,2011,1
18188,2613,Birds of Prey 002 - December 2011.cbr,2011,2
18192,2613,Birds of Prey 006 - April 2012.cbz,2012,6
18194,2613,Birds of Prey 008 - June 2012.cbr,2012,8
18195,2359,Batwoman 001 - November 2011.cbr,2011,1
18196,2359,Batwoman 002 - December 2011.cbr,2011,2
18197,2359,Batwoman 003 - January 2012.cbr,2012,3
18198,2359,Batwoman 004 - February 2012.cbr,2012,4
18200,2357,Batwing 001 - November 2011.cbr,2011,1
18202,2357,Batwing 003 - January 2012.cbr,2012,3
18203,2357,Batwing 004 - February 2012.cbr,2012,4
18204,2357,Batwing 005 - March 2012.cbr,2012,5
18205,2357,Batwing 006 - April 2012.cbr,2012,6
18206,2357,Batwing 007 - May 2012.cbr,2012,7
18208,14460,Red Hood and the Outlaws 001 - November 2011.cbr,2011,1
18209,14460,Red Hood and the Outlaws 002 - December 2011.cbr,2011,2
18211,14460,Red Hood and the Outlaws 004 - February 2012.cbr,2012,4
18213,14460,Red Hood and the Outlaws 006 - April 2012.cbr,2012,6
18214,14460,Red Hood and the Outlaws 007 - May 2012.cbr,2012,7
18215,14460,Red Hood and the Outlaws 008 - June 2012.cbr,2012,8
18216,10137,Justice League International 001 - November 2011.cbr,2011,1
18217,10137,Justice League International 002 - December 2011.cbr,2011,2
18218,10137,Justice League International 003 - January 2012.cbr,2012,3
18219,10137,Justice League International 004 - February 2012.cbr,2012,4
18220,10137,Justice League International 005 - March 2012.cbr,2012,5
18221,10137,Justice League International 006 - April 2012.cbr,2012,6
18224,3683,Catwoman 003 - January 2012.cbr,2012,3
18226,3683,Catwoman 005 - March 2012.cbr,2012,5
18227,3683,Catwoman 006 - April 2012.cbr,2012,6
18229,5409,Detective Comics 002 - December 2011.cbr,2011,2
18230,5409,Detective Comics 003 - January 2012.cbr,2012,3
18231,5409,Detective Comics 004 - February 2012.cbr,2012,4
18232,5409,Detective Comics 005 - March 2012.cbr,2012,5
18233,5409,Detective Comics 006 - April 2012.cbr,2012,6
18235,5409,Detective Comics 008 - June 2012.cbr,2012,8
18243,2359,Batwoman 006 - April 2012.cbr,2012,6
18249,2179,"Batman, Incorporated 001 - July 2012.cbr",2012,1
18250,2179,"Batman, Incorporated 002 - August 2012.cbr",2012,2
18251,2179,"Batman, Incorporated 003 - September 2012.cbr",2012,3
18252,2179,"Batman, Incorporated 004 - December 2012.cbr",2012,4
18253,2179,"Batman, Incorporated 005 - January 2013.cbr",2013,5
18255,1881,001 Batman 008 - June 2012.cbr,2012,8
18256,1881,002 Batman 009 - July 2012.cbr,2012,9
18257,5409,003 Detective Comics 009 - July 2012.cbr,2012,9
18259,2357,005 Batwing 009 - July 2012.cbr,2012,9
18260,2139,006 Batman and Robin 009 - July 2012.cbr,2012,9
18262,2613,008 Birds of Prey 009 - July 2012.cbr,2012,9
18267,1881,001 Batman 010 - August 2012.cbr,2012,10
18268,1881,002 Batman 011 - September 2012.cbr,2012,11
18269,1881,003 Batman 012 - October 2012.cbr,2012,12
18270,1881,004 Batman Annual 001 - July 2012.cbr,2012,1
18280,5409,001 Detective Comics 010 - August 2012.cbr,2012,10
18281,5409,002 Detective Comics 011 - September 2012.cbr,2012,11
18282,5409,003 Detective Comics 012 - October 2012.cbr,2012,12
18283,5409,004 Detective Comics Annual 001 - October 2012.cbr,2012,1
18284,5409,005 Detective Comics 013 - December 2012.cbr,2012,13
18285,5409,006 Detective Comics 014 - January 2013.cbr,2013,14
18286,2613,Birds of Prey 010 - August 2012.cbr,2012,10
18287,2613,Birds of Prey 011 - September 2012.cbr,2012,11
18288,2613,Birds of Prey 012 - October 2012.cbr,2012,12
18291,2021,Batman - The Dark Knight 002 - December 2011.cbr,2011,2
18293,2021,Batman - The Dark Knight 004 - February 2012.cbr,2012,4
18294,2021,Batman - The Dark Knight 005 - March 2012.cbr,2012,5
18295,2021,Batman - The Dark Knight 006 - April 2012.cbr,2012,6
18296,2021,Batman - The Dark Knight 007 - May 2012.cbr,2012,7
18297,2021,Batman - The Dark Knight 008 - June 2012.cbr,2012,8
18300,2021,002 Batman - The Dark Knight 011 - September 2012.cbr,2012,11
18301,2021,003 Batman - The Dark Knight 012 - October 2012.cbr,2012,12
18302,2021,004 Batman - The Dark Knight 000 - November 2012.cbr,2012,0
18303,2021,005 Batman - The Dark Knight 013 - December 2012.cbr,2012,13
18304,2021,006 Batman - The Dark Knight 014 - January 2013.cbr,2013,14
18306,3683,001 Catwoman 007 - May 2012.cbr,2012,7
18307,3683,002 Catwoman 008 - June 2012.cbr,2012,8
18308,3683,003 Catwoman 009 - July 2012.cbr,2012,9
18309,3683,004 Catwoman 010 - August 2012.cbr,2012,10
18310,3683,005 Catwoman 011 - September 2012.cbr,2012,11
18311,3683,006 Catwoman 012 - October 2012.cbr,2012,12
18312,3683,007 Catwoman 000 - November 2012.cbr,2012,0
18313,14460,001 Red Hood and the Outlaws 010 - August 2012.cbr,2012,10
18314,14460,002 Red Hood and the Outlaws 011 - September 2012.cbr,2012,11
18315,14460,003 Red Hood and the Outlaws 012 - October 2012.cbr,2012,12
18318,14460,006 Red Hood and the Outlaws 000 - November 2012.cbr,2012,0
18321,2302,BatmanSuperman 007 - March 2014.cbr,2014,7
18322,17136,001 Supergirl 001 - November 2011.cbr,2011,1
18323,17136,002 Supergirl 002 - December 2011.cbr,2011,2
18324,17136,003 Supergirl 003 - January 2012.cbr,2012,3
18325,17136,004 Supergirl 004 - February 2012.cbr,2012,4
18326,17136,005 Supergirl 005 - March 2012.cbr,2012,5
18327,17136,006 Supergirl 006 - April 2012.cbr,2012,6
18328,17136,007 Supergirl 007 - May 2012.cbr,2012,7
18329,17136,008Supergirl 000 - November 2012.cbr,2012,0
18330,17136,009 Supergirl 008 - June 2012.cbr,2012,8
18331,17136,010 Supergirl 009 - July 2012.cbr,2012,9
18332,17136,011 Supergirl 010 - August 2012.cbr,2012,10
18334,17121,Superboy 002 - December 2011.cbr,2011,2
18339,17167,001 Superman 001 - November 2011.cbr,2011,1
18340,17167,002 Superman 002 - December 2011.cbr,2011,2
18341,17167,003 Superman 003 - January 2012.cbr,2012,3
18342,17167,004 Superman 004 - February 2012.cbr,2012,4
18343,17167,005 Superman 005 - March 2012.cbr,2012,5
18344,17167,006 Superman 006 - April 2012.cbr,2012,6
18346,17121,008 Superboy 008 - June 2012.cbr,2012,8
18347,17167,010 Superman 009 - July 2012.cbr,2012,9
18348,17136,011 Supergirl 011 - September 2012.cbr,2012,11
18349,17121,012 Superboy 009 - July 2012.cbr,2012,9
18350,17121,013 Superboy 010 - August 2012.cbr,2012,10
18351,2359,Batwoman 012 - October 2012.cbr,2012,12
18353,2359,Batwoman 014 - January 2013.cbr,2013,14
18354,2359,Batwoman 015 - February 2013.cbr,2013,15
18355,2359,Batwoman 016 - March 2013.cbr,2013,16
18357,2357,001 Batwing 007 - May 2012.cbr,2012,7
18359,2357,003 Batwing 009 - July 2012.cbr,2012,9
18360,2357,004 Batwing 010 - August 2012.cbr,2012,10
18361,2357,005 Batwing 011 - September 2012.cbr,2012,11
18362,2357,006 Batwing 012 - October 2012.cbr,2012,12
18363,2357,007 Batwing 000 - November 2012.cbr,2012,0
18364,10105,Justice League 013 - December 2012.cbr,2012,13
18365,10105,Justice League 014 - January 2013.cbr,2013,14
18367,17167,Superman 008 - June 2012.cbr,2012,8
18368,17167,Superman 009 - July 2012.cbr,2012,9
18369,17167,Superman 010 - August 2012.cbr,2012,10
18372,17121,Superboy 012 - October 2012.cbr,2012,12
18373,17121,Superboy 013 - December 2012.cbr,2012,13
18374,10105,001 Justice League 015 - February 2013.cbr,2013,15
18375,1160,002 Aquaman 015 - February 2013.cbr,2013,15
18376,10105,003 Justice League 016 - March 2013.cbr,2013,16
18377,1160,004 Aquaman 016 - March 2013.cbr,2013,16
18378,10105,005 Justice League 017 - April 2013.cbr,2013,17
18382,3683,Catwoman 014 - January 2013.cbr,2013,14
18383,2139,001 Batman and Robin 010 - August 2012.cbr,2012,10
18384,2139,002 Batman and Robin 011 - September 2012.cbr,2012,11
18385,2139,003 Batman and Robin 012 - October 2012.cbr,2012,12
18386,2139,004 Batman and Robin 000 - November 2012.cbr,2012,0
18387,2139,Batman and Robin 013 - December 2012.cbr,2012,13
18388,2139,Batman and Robin 014 - January 2013.cbr,2013,14
18392,2139,Batman and Robin 015 - February 2013.cbr,2013,15
18393,2139,Batman and Robin 016 - March 2013.cbr,2013,16
18394,5409,Detective Comics 016 - March 2013.cbr,2013,16
18395,5409,Detective Comics 017 - April 2013.cbr,2013,17
18397,12955,Nightwing 016 - March 2013.cbr,2013,16
18399,17665,002 Teen Titans 015 - February 2013.cbr,2013,15
18402,1881,Batman 016 - March 2013.cbr,2013,16
18403,1881,Batman 017 - April 2013.cbr,2013,17
18404,17167,001 Superman Annual 001 - October 2012.cbr,2012,1
18405,17136,002 Supergirl 012 - October 2012.cbr,2012,12
