ItemId,IssueNo
6796,1
6797,2
6798,3
6799,4
6800,1
6801,2
6802,3
6803,4
14019,1
14193,1
14194,2
14195,3
14196,4
14941,1
15043,1
15044,2
15045,3
15046,4
29724,1
29725,2
29726,3
30516,2
35384,3
35385,4
35387,6
36031,1
36032,2
36033,3
36034,4
37778,1
37779,2
37780,3
47003,1
47004,2
47005,3
47010,1
47011,2
47012,3
47013,4
49190,1
53580,1
53581,2
53582,3
53583,4
54374,1
54375,2
54376,3
54377,4
54378,5
54379,6
62574,1
62575,2
62679,1
62680,2
62681,3
62682,4
62683,5
62684,6
62693,1
62694,2
62695,3
62696,4
62697,5
62698,6
62824,
62827,
62900,
64593,2
64594,3
64595,4
64596,5
64597,6
65531,1
65532,2
65533,3
65534,
66660,1
66661,2
66662,3
66663,4
66664,5
66665,6
67558,1
67559,2
67560,3
67561,4
67876,
68067,2
69948,
72691,
72692,
72693,
72694,
73419,
76662,1
77366,1
77367,2
77368,3
77369,4
77384,1
77385,2
77386,3
78208,1
78209,2
78210,3
78211,4
79082,1
79083,2
79084,3
79849,1
79850,2
79851,3
79852,4
79853,5
79854,6
79855,7
79856,8
79860,1
79861,2
79862,3
79863,4
79880,
79921,1
79922,2
79923,3
79924,4
79925,5
79926,6
79927,1
79928,2
79929,3
80001,4
80002,5
80003,6
82202,1
82203,2
82204,3
82205,4
82480,
82545,1
82546,2
82547,3
82548,4
82554,1
82555,2
82556,3
82571,1
82572,2
82573,1
82574,2
82575,3
82577,1
82578,2
82579,3
83582,
84217,1
84218,2
84219,3
84220,4
84278,1
84279,2
84280,3
84405,1
84406,2
84407,3
84408,4
84513,1
84514,2
84515,3
84516,4
84517,5
84518,6
84519,7
84520,8
84525,1
84526,2
84527,3
84528,4
84646,1
84647,2
84648,3
84649,4
84650,5
84651,1
84652,2
84653,3
84654,4
84655,5
84865,1
84866,2
84867,3
84868,4
84872,1
84873,2
84874,3
84875,4
84877,1
84878,2
84879,3
84880,4
86070,1
86071,2
86072,3
86073,4
86074,5
86075,1
86076,2
86082,1
86083,2
86084,3
86085,4
86093,1
86094,2
86095,3
86096,4
86098,2
86100,4
86111,1
86112,2
86113,3
86114,4
86378,1
86379,2
95576,1
95577,2
95671,1
95672,2
95754,1
95785,1
95786,2
95787,3
95788,4
96808,1
96809,2
96810,3
96811,4
96893,1
96894,2
96895,3
96896,4
97054,1
97055,2
97056,3
97057,4
97058,5
97059,6
97133,1
97134,2
97135,3
97136,4
97137,5
98062,1
98063,2
98064,3
98065,4
98083,1
98084,2
98085,3
98086,4
98087,5
98088,1
98089,2
98090,3
98449,1
98450,2
98459,1
98460,2
98461,3
98462,4
98463,5
98470,1
98471,2
98472,3
98982,1
98983,2
98984,3
98985,4
98986,5
98987,1
98988,2
98989,3
98990,4
98991,5
98992,6
99346,1
99347,2
99348,3
99349,4
99587,1
99588,2
99589,3
99590,4
99591,5
99592,1
99593,2
99594,3
99595,4
99596,5
99599,1
99600,2
99601,3
99602,4
99603,5
99604,6
99605,1
99606,2
99607,3
99608,4
99609,5
99610,6
99620,1
99621,2
99622,3
100639,1
100640,2
100641,3
100642,4
101642,1
101643,2
101644,3
101645,4
102026,1
102027,2
102028,3
102029,4
102321,1
102322,2
102323,3
102324,4
102325,5
102345,1
102346,2
102347,3
102348,4
102349,5
102544,1
102545,2
102546,3
102547,4
102548,5
102549,1
102550,2
102551,3
102552,4
102553,5
102554,6
102555,7
102556,8
102627,1
102628,2
102629,3
102630,4
102631,5
102678,1
102679,2
102680,3
102681,4
102682,5
102683,6
103460,2
103461,3
103462,4
103463,5
103538,1
103539,2
103540,3
103541,4
103542,5
103562,1
103563,2
103564,3
103565,4
103566,5
103567,6
103650,1
103651,2
103652,3
103653,4
104310,1
104311,2
104312,3
104313,4
104314,5
104315,6
104316,7
107210,1
107211,2
107283,1
107284,2
107285,3
107286,4
112675,1
112676,2
112677,3
112678,4
112679,5
112680,6
112787,1
112788,2
112876,1
112877,2
112878,3
112879,4
112880,5
112881,6
113157,1
113158,2
113159,3
113160,4
113161,5
113162,6
113163,7
113164,8
113426,1
113427,2
113428,3
113429,4
113430,5
113431,6
113432,1
113433,2
113434,3
113435,4
113438,1
113439,2
113440,3
115134,1
115135,2
115136,3
116528,1
116530,3
