ItemId,IssueNo
4926,1
4928,2
11269,58
11272,61
11294,83
15079,1
15080,2
16211,1
17017,616
17261,1
17262,2
17263,3
17264,4
17265,5
17870,1
17879,183
25379,1
25380,2
26043,2
26168,1
26508,1
26509,2
26510,3
26511,4
26512,5
29424,1
29425,2
56163,134
90240,1
91226,1
91227,2
91228,3
106976,11
106977,11
106979,12
106980,12
106981,12
106983,13
106984,13
106986,15
106987,16
106988,16
106997,25
106998,25
107000,28
107008,31
107010,33
107015,35
107031,5
107032,5
107033,5
107036,8
107037,8
113280,25
113281,26
113282,27
113283,28
113284,29
113572,4
113573,1
113574,3
113575,5
114885,1
114886,2
