ItemId,IssueNo
97519,41
97520,42
97521,43
97522,44
97523,45
97524,46
97525,47
97526,48
97527,49
97528,50
97529,51
97530,52
97531,53
97532,54
97535,57
97536,58
97537,59
97538,60
97539,61
97540,62
97541,63
97542,64
97543,65
97544,66
97547,69
97548,70
97549,71
97550,72
97551,73
97552,74
97553,75
97554,76
97555,77
97556,78
97557,79
97558,80
97559,81
97560,82
97561,83
97562,84
97563,85
97564,86
97565,87
97566,88
97567,89
97568,90
97569,91
97570,92
97571,93
97572,94
97573,95
97574,96
97575,97
97576,98
97577,99
97578,100
97579,101
97580,102
97581,103
97582,104
97583,106
97584,107
97585,108
97586,109
97587,110
97588,111
97589,112
97590,113
97591,114
4194,1
4195,2
98202,4
98212,14
98216,19
17886,686
17874,684
17876,685
17696,673
17697,674
17698,675
17673,655
17674,656
17675,657
17676,658
17677,663
17678,664
17679,665
17680,666
17871,701
17872,702
54018,479
54019,480
54020,481
54021,482
54022,483
54023,484
54024,485
54025,486
54026,487
54027,488
54028,488
54029,489
54030,490
54031,491
54034,494
54035,495
54039,499
54040,500
54042,502
54043,503
29324,5
29325,6
29326,10
29327,11
29328,12
29341,15
29342,16
29344,18
29357,36
29359,37
29360,40
29361,43
29364,49
29378,61
29382,64
29386,67
17623,1
17624,2
17625,3
17626,4
17627,5
17628,6
17629,7
17630,8
17631,9
17632,10
17633,11
17634,12
82458,1
82459,2
82460,3
82461,4
82462,5
82463,6
82464,7
82465,8
82466,9
82467,10
82474,17
82475,18
57975,1
57976,2
57977,3
57978,4
57979,5
57980,6
57981,7
57982,8
58001,9
58002,10
58003,11
58004,12
