ItemId,IssueNo
17423,6
17424,7
17426,8
17427,9
18055,0
18057,0
18067,25
18068,25
18070,25
18071,25
18073,25
18075,25
18084,1
18085,2
18086,3
18101,0
18103,2
18104,3
18105,4
18106,5
18110,9
18111,1
18112,2
18113,3
18114,4
18115,5
18116,6
18117,7
18118,8
18120,1
18121,2
18122,3
18123,4
18124,5
18125,6
18126,9
18129,12
18130,13
18131,14
18132,15
18133,16
18134,17
18136,1
18137,2
18138,3
18139,4
18140,5
18141,6
18142,7
18143,8
18144,9
18145,10
18146,11
18147,12
18149,14
18150,15
18151,16
18156,21
18157,22
18158,23
18159,1
18160,2
18161,3
18162,4
18163,5
18164,6
18166,1
18168,3
18169,4
18170,5
18171,6
18172,7
18173,8
18176,3
18177,4
18178,5
18179,6
18180,1
18181,2
18182,3
18183,4
18184,5
18185,6
18186,7
18187,1
18188,2
18192,6
18194,8
18195,1
18196,2
18197,3
18198,4
18200,1
18202,3
18203,4
18204,5
18205,6
18206,7
18208,1
18209,2
18211,4
18213,6
18214,7
18215,8
18216,1
18217,2
18218,3
18219,4
18220,5
18221,6
18224,3
18226,5
18227,6
18229,2
18230,3
18231,4
18232,5
18233,6
18235,8
18243,6
18249,1
18250,2
18251,3
18252,4
18253,5
18255,8
18256,9
18257,9
18259,9
18260,9
18262,9
18267,10
18268,11
18269,12
18270,1
18280,10
18281,11
18282,12
18283,1
18284,13
18285,14
18286,10
18287,11
18288,12
18291,2
18293,4
18294,5
18295,6
18296,7
18297,8
18300,11
18301,12
18302,0
18303,13
18304,14
18306,7
18307,8
18308,9
18309,10
18310,11
18311,12
18312,0
18313,10
18314,11
18315,12
18318,0
18321,7
18322,1
18323,2
18324,3
18325,4
18326,5
18327,6
18328,7
18329,0
18330,8
18331,9
18332,10
18334,2
18339,1
18340,2
18341,3
18342,4
18343,5
18344,6
18346,8
18347,9
18348,11
18349,9
18350,10
18351,12
18353,14
18354,15
18355,16
18357,7
18359,9
18360,10
18361,11
18362,12
18363,0
18364,13
18365,14
18367,8
18368,9
18369,10
18372,12
18373,13
18374,15
18375,15
18376,16
18377,16
18378,17
18382,14
18383,10
18384,11
18385,12
18386,0
18387,13
18388,14
18392,15
18393,16
18394,16
18395,17
18397,16
18399,15
18402,16
18403,17
18404,1
18405,12
18406,13
18409,21
18412,20
18420,15
18421,16
18423,18
18424,18
18428,18
18430,19
18431,0
18432,1
18433,2
18434,3
18435,4
18442,21
18443,22
18444,23
18449,23
18451,2
18463,23
18470,25
18471,25
18473,19
18477,6
18481,5
18485,23
18494,27
18495,28
18559,1
18560,19
18563,9
18564,21
18565,10
18567,27
18568,28
18570,26
18571,27
18578,30
18588,32
18598,23.1
18599,23.2
18600,24
18601,25
18602,26
18603,27
18604,28
18605,29
18606,30
18607,31
19908,23.1
19909,0
19910,11
19911,13
19912,14
19913,15
19914,15
19916,1
19917,17
19919,1
19920,17
19923,18
82417,1
82418,2
114962,2
114963,3
