S67         23 vols    22 state chapters  NO      volume order and chapter order disagree, first at 20th Centu 20th Century Boys
S68          6 vols     6 state chapters  NO      volume order and chapter order disagree, first at 20th Centu 20th Century Boys - The Perfect Edition
S70          2 vols     2 state chapters  LADDER  c1-c16 over 2 volumes                                        21st Century Boys
S152         3 vols     0 state chapters  NO      nothing ranged                                               7 Billion Needles
S165         1 vols     1 state chapters  LADDER  single volume                                                86--EIGHTY-SIX
S170        12 vols    12 state chapters  LADDER  c1-c86 over 12 volumes                                       A Bride's Story
S191         6 vols     6 state chapters  LADDER  c1-c32 over 6 volumes                                        A Galaxy Next Door
S236         8 vols     0 state chapters  NO      nothing ranged                                               A Side Character's Love Story
S238         7 vols     7 state chapters  LADDER  c1-c62 over 7 volumes                                        A Silent Voice
S271         6 vols     6 state chapters  LADDER  c1-c37 over 6 volumes                                        A Witch's Printing Office
S327         9 vols     9 state chapters  LADDER  c1-c54 over 9 volumes                                        Aposimz
S489         3 vols     0 state chapters  NO      nothing ranged                                               After Hours
S493         5 vols     5 state chapters  LADDER  c1-c82 over 5 volumes                                        After the Rain
S547        12 vols    12 state chapters  NO      v[40472] c113-119 overlaps v[40473] c119-119                 Aho-Girl
S555        17 vols    17 state chapters  LADDER  c1-c83 over 17 volumes                                       Ajin - Demi-Human
S557        23 vols     1 state chapters  LADDER  single volume                                                Akame ga Kill!
S559         3 vols     3 state chapters  LADDER  c1-c25 over 3 volumes                                        Akane-Banashi
S713         2 vols     0 state chapters  NO      nothing ranged                                               All You Need is Kill
S803         4 vols     0 state chapters  NO      nothing ranged                                               Alpi: The Soul Sender
S919         1 vols     1 state chapters  LADDER  single volume                                                Ambassador Magma
S1000        3 vols     0 state chapters  NO      nothing ranged                                               Andromeda Stories
S1103       18 vols    18 state chapters  LADDER  c1-c104 over 18 volumes                                      Anonymous Noise
S1137       13 vols    13 state chapters  LADDER  c0-c49 over 13 volumes                                       Ao Haru Ride
S1153        2 vols     0 state chapters  NO      nothing ranged                                               Appleseed
S1155        1 vols     0 state chapters  NO      nothing ranged                                               Appleseed - Prometheus Unbound
S1156        1 vols     0 state chapters  NO      nothing ranged                                               Appleseed - The Promethean Challenge
S1157        1 vols     1 state chapters  LADDER  single volume                                                Appleseed Alpha
S1287       12 vols     5 state chapters  NO      volume order and chapter order disagree, first at Aria Vol.0 Aria
S1337        2 vols     2 state chapters  LADDER  c1-c10 over 2 volumes                                        El Arte de Volar
S1349       19 vols     1 state chapters  LADDER  single volume                                                As The Gods Will: The Second Series
S1351        5 vols     5 state chapters  LADDER  c1-c21 over 5 volumes                                        As the Gods Will
S1352        6 vols     6 state chapters  LADDER  c1-c29 over 6 volumes                                        Ascendance of a Bookworm
S1361        3 vols     3 state chapters  LADDER  c1-c14 over 3 volumes                                        ASHIDAKA - The Iron Hero
S1391       21 vols    21 state chapters  LADDER  c1-c180 over 21 volumes                                      Assassination Classroom
S1428       22 vols     0 state chapters  NO      nothing ranged                                               Astro Boy
S1474       34 vols    34 state chapters  LADDER  c1-c139 over 34 volumes                                      Attack on Titan
S1475        5 vols     0 state chapters  NO      nothing ranged                                               Attack on Titan - Junior High
S1476        2 vols     2 state chapters  LADDER  c1-c10 over 2 volumes                                        Attack on Titan - Lost Girls
S1477        2 vols     0 state chapters  NO      nothing ranged                                               Attack on Titan - No Regrets
S1481       17 vols     0 state chapters  NO      nothing ranged                                               Attack on Titan: Before the Fall
S1727       22 vols    22 state chapters  LADDER  c1-c196 over 22 volumes                                      BEASTARS
S1728       34 vols     0 state chapters  NO      nothing ranged                                               BECK
S1730        5 vols     5 state chapters  LADDER  c1-c52 over 5 volumes                                        BL Metamorphosis
S1737        6 vols     6 state chapters  LADDER  c1-c65 over 6 volumes                                        BLAME! Master Edition
S1801       20 vols    20 state chapters  LADDER  c1-c176 over 20 volumes                                      Bakuman
