sid=14966 name=Saga
idx|tier|num|sfx|src|lvl|role|contains|span|label|spanSrc|pages|file|parent|readDate
1|0|1|-18|7|2|1|7|1-7|#1-18|5|505|Saga Book 1 (2014) (Saga 01-018) (digital-Empire).cbr|-|2012-03-01
2|0|1|0|1|0|0|1|1-1|-|1|1|Saga 01 (2012) (Image Firsts Variant Cover) (Chairmen-Novus-HD).cbz|34061|2012-03-01
3|0|2|0|1|0|0|1|2-2|-|1|1|Saga 02 (2012) (2nd Printing Variant Cover) (Chairmen-Novus-HD).cbz|34061|2012-04-01
4|0|3|0|1|0|0|1|3-3|-|1|1|Saga 03 (2012) (2nd Printing Variant Cover) (Chairmen-Novus-HD).cbz|34061|2012-05-01
5|0|4|0|1|0|0|1|4-4|-|1|1|Saga 04 (2012) (2nd Printing Variant Cover) (Chairmen-Novus-HD).cbz|34061|2012-06-01
6|0|5|0|1|0|0|1|5-5|-|1|1|Saga 05 (2012) (2nd Printing Variant Cover) (Chairmen-Novus-HD).cbz|34061|2012-07-01
7|0|6|0|1|0|0|1|6-6|-|1|1|Saga 06 (2012) (2nd Printing Variant Cover) (Chairmen-Novus-HD).cbz|34061|2012-08-01
8|0|7|0|1|0|0|1|7-7|-|1|1|Saga 07 (2012) (2nd Printing Variant Cover) (Chairmen-Novus-HD).cbz|34061|2012-11-01
9|0|19|-18|7|2|1|0|0-0|#19-36|5|462|Saga Book 2 (2017) (Digital) (Zone-Empire).cbr|-|2014-05-28
10|0|37|-18|7|2|1|6|8-13|#37-54|5|457|Saga Book 03 (2019) (Digital-Empire).cbz|-|2016-08-28
11|0|37|-6|7|1|1|0|0-0|#37-42|5|152|Saga Vol. 07 (2017) (Digital) (Zone-Empire).cbr|34060|2016-08-28
12|0|43|-6|7|1|1|0|0-0|#43-48|5|153|Saga Vol. 08 (2017) (Digital) (Zone-Empire).cbr|34060|2017-05-28
13|0|49|-6|7|1|1|6|8-13|#49-54|5|152|Saga Vol. 09 (2018) (Digital) (Zone-Empire).cbr|34060|2018-02-28
14|0|49|0|1|0|0|1|8-8|-|1|31|Saga 049 (2018) (Digital) (Zone-Empire).cbr|34082|2018-02-28
15|0|50|0|1|0|0|1|9-9|-|1|33|Saga 050 (2018) (Digital) (Zone-Empire).cbr|34082|2018-03-28
16|0|51|0|1|0|0|1|10-10|-|1|32|Saga 051 (2018) (Digital) (Zone-Empire).cbr|34082|2018-04-28
17|0|52|0|1|0|0|1|11-11|-|1|29|Saga 052 (2018) (digital) (Minutemen-Thoth).cbz|34082|2018-05-28
18|0|53|0|1|0|0|1|12-12|-|1|28|Saga 053 (2018) (digital) (Minutemen-Thoth).cbz|34082|2018-06-27
19|0|54|0|1|0|0|1|13-13|-|1|31|Saga 054 (2018) (Digital) (Zone-Empire).cbr|34082|2018-07-24
20|0|55|-6|7|1|1|0|0-0|#55-60|5|169|Saga Vol. 10 (2022) (Digital-Empire).cbz|-|2022-01-26
21|0|61|0|1|0|0|1|14-14|-|1|32|Saga 061 (2023) (Digital) (Zone-Empire).cbr|-|2023-01-23
22|0|62|0|1|0|0|1|15-15|-|1|32|Saga 062 (2023) (Digital) (Zone-Empire).cbr|-|2023-02-22
23|0|63|0|1|0|0|1|16-16|-|1|32|Saga 063 (2023) (Digital) (Zone-Empire).cbr|-|2023-04-06
24|0|64|0|1|0|0|1|17-17|-|1|32|Saga 064 (2023) (Digital) (Zone-Empire).cbr|-|2023-05-10
25|0|65|0|1|0|0|1|18-18|-|1|32|Saga 065 (2023) (Digital) (Zone-Empire).cbr|-|2023-06-22
26|0|66|0|1|0|0|1|19-19|-|1|31|Saga 066 (2023) (Digital) (Zone-Empire).cbr|-|2023-09-23
27|0|67|0|1|0|0|1|20-20|-|1|32|Saga 067 (2024) (Digital) (Zone-Empire).cbr|-|2024-07-28
28|0|68|0|1|0|0|1|21-21|-|1|32|Saga 068 (2024) (Digital) (Zone-Empire).cbr|-|2024-08-28
29|0|69|0|1|0|0|1|22-22|-|1|32|Saga 069 (2024) (Digital) (Zone-Empire).cbr|-|2024-09-25
30|0|70|0|1|0|0|1|23-23|-|1|32|Saga 070 (2024) (Digital) (Zone-Empire).cbr|-|2024-11-06
31|0|71|0|1|0|0|1|24-24|-|1|32|Saga 071 (2025) (Digital) (Zone-Empire).cbr|-|2025-01-02
sid=19910 name=The Walking Dead Compendium
idx|tier|num|sfx|src|lvl|role|contains|span|label|spanSrc|pages|file|parent|readDate
1|30|1|0|1|3|0|1|1-1|-|1|1064|The Walking Dead Compendium Book 01 (2011) (digital-Empire).cbr|-|2009-05-28
2|30|2|0|1|3|0|1|2-2|-|1|1040|The Walking Dead Compendium Book 02 (2013) (Digital) (Zone-Empire).cbr|-|2012-10-28
3|30|3|0|1|3|0|1|3-3|-|1|1058|The Walking Dead Compendium Book 03 (2015) (Digital) (Zone-Empire).cbr|-|2015-10-28
4|30|4|0|1|3|0|1|4-4|-|1|1204|The Walking Dead Compendium Book 04 (2019) (digital-Empire).cbz|-|2019-10-02
