
# --- repair pass: I lines for every collected edition (coordinator directive) ---
# shelf S747
I 80299 cv=454369 gcd=2617589 0.95 | same Guardians of the Galaxy/All-New X-Men: The Trial of Jean Grey record as item 84240
I 84236 cv=395410 gcd=- 0.9 | CV All-New X-Men: Yesterday's X-Men (2013) names our own "All-New X-Men Vol. 01 - Yesterday's X-Men"
I 84237 cv=407169 gcd=- 0.9 | CV All-New X-Men: Here To Stay (2013) names our own "All-New X-Men Vol. 02 - Here To Stay"
I 84238 cv=1040803 gcd=- 0.9 | CV All-New X-Men: Out of Their Depth (2013) names our own "All-New X-Men Vol. 03 - Out of Their Depth"
I 84239 cv=451940 gcd=- 0.9 | CV All-New X-Men: All-Different (2014) names our own "All-New X-Men Vol. 04 - All-Different"
I 84240 cv=454369 gcd=2617589 0.95 | CV Guardians of the Galaxy/All-New X-Men: The Trial of Jean Grey (2014) names our own "Guardians of the Galaxy-All-New X-Men - The Trial of Jean Grey"; GCD Guardians of the Galaxy / All-New X-Men: The Trial of Jean Grey (2014) names it too
I 84241 cv=465335 gcd=- 0.9 | CV All-New X-Men: One Down (2014) names our own "All-New X-Men Vol. 05 - One Down"
I 84242 cv=483056 gcd=- 0.9 | CV All-New X-Men: The Ultimate Adventure (2015) names our own "All-New X-Men Vol. 06 - The Ultimate Adventure"
I 84243 cv=495263 gcd=- 0.9 | CV All-New X-Men: The Utopians (2015) names our own "All-New X-Men Vol. 07 - The Utopians"
N 84244 no-record | probed "All-New X-Men Collection", "All-New X-Men Vol. 1 Collection"; no CV/GCD row for this digital-collection bundle
N 84245 no-record | same digital-collection bundle shape as Book 01
N 84246 no-record | same digital-collection bundle shape as Book 01
N 84247 no-record | same digital-collection bundle shape as Book 01
# shelf S754
I 84248 cv=528498 gcd=- 0.9 | CV All-New X-Men: Inevitable: Ghosts of Cyclops (2016) names our own "All-New X-Men - Inevitable Vol. 01 - Ghosts of Cyclops"
I 84249 cv=552999 gcd=- 0.9 | CV All-New X-Men: Inevitable: Apocalypse Wars (2016) names our own "All-New X-Men - Inevitable Vol. 02 - Apocalypse Wars"
I 84250 cv=582515 gcd=- 0.9 | CV All-New X-Men: Inevitable: Hell Hath So Much Fury (2017) names our own "All-New X-Men - Inevitable Vol. 03 - Hell Hath So Much Fury"
I 84251 cv=616183 gcd=- 0.9 | CV All-New X-Men: Inevitable: IvX (2017) names our own "All-New X-Men - Inevitable Vol. 04 - IvX"
# shelf S6305
I 85966 cv=878298 gcd=- 0.9 | CV 138154 "Excalibur by Tini Howard" (2021, count 2) Vol.1 is the "Collection Book" bundle's own record
