# A-035 — 40 tier-A shelves, fresh split-outs of `<Title> vN (<year>)` folders, mostly Marvel. Nearly every shelf is a
# clean single run whose stored CV volume and per-file GCD series agree on publisher, year and count (L-116: the
# folder's vN (year) decided every case). Residue that is a different comic (an annual, a Marvel Tales reprint
# one-shot, a deluxe edition that also collects the sequel mini) caps four shelves at 0.9. One mis-named file
# ("1 (2024)" = World's Finest #31, proven by its ComicVine Web id) and one misfiled Marvel Tales book.

S 2200 cv=141907 gcd=182645 0.9 | CV 141907 "Batman/Superman: World's Finest" (DC 2022, 51, cached #1-47) and GCD 182645 (DC 2022-?, ongoing, 51) agree; our ladder 1-35 sits inside; ComicInfo Volume "141907" on one file and Marika Web ids 1070225 / 1073816 / 1078253 / 1083606 are CV 141907's #31-34 issue ids; the 53 1pp variant covers cost nothing, but the 2024 Annual (GCD 208349) is a different comic — 0.9
N 2200 | item 75035 "1 (2024) (digital) (Marika-Empire).cbz" is a mis-named second rip of #31: its ComicInfo says Number 31 "Shadows Fall, Part 1" with Web 4000-1070225, the same CV issue as item 75051
I 75056 cv=986180 gcd=2618797 isbn=- 0.95 | Vol. 01 - The Devil Nezha 160pp = CV 149915 (World's Finest TPBs, 7) #1 issue 986180 and GCD 210358 #1 row 2618797 (164pp)
I 75057 cv=1015545 gcd=2648971 isbn=- 0.95 | Vol. 02 - Strange Visitor 174pp = CV 149915 #2 issue 1015545 and GCD 210358 #2 row 2648971 (180pp)
I 75058 cv=1053945 gcd=2651746 isbn=- 0.95 | Vol. 03 - Elementary 168pp = CV 149915 #3 issue 1053945 and GCD 210358 #3 row 2651746 (172pp)
I 75059 cv=1070065 gcd=2656603 isbn=- 0.95 | Vol. 04 - Return to Kingdom Come 138pp = CV 149915 #4 issue 1070065 and GCD 210358 #4 row 2656603 (148pp)
I 75036 cv=- gcd=2604483 isbn=- 0.95 | "Batman - Superman - World's Finest 2024 Annual" 48pp = GCD 208349 "Batman / Superman: World's Finest 2024 Annual" row 2604483 (48pp, 2024-03); no CV volume found by name
C 75056 cv=141907 gcd=182645 #1-5 0.95 | Vol. 01 collects Batman/Superman: World's Finest (DC 2022, 51, CV 141907 / GCD 182645) #1-5 per GCD row 2618797's notes
C 75057 cv=141907 gcd=182645 #6-11 0.95 | Vol. 02 collects Batman/Superman: World's Finest (DC 2022, CV 141907 / GCD 182645) #6-11 per GCD row 2648971's notes
C 75058 cv=141907 gcd=182645 #12-17 0.95 | Vol. 03 collects Batman/Superman: World's Finest (DC 2022, CV 141907 / GCD 182645) #12-17 per GCD row 2651746's notes
C 75059 cv=141907 gcd=182645 #20-24 0.95 | Vol. 04 collects Batman/Superman: World's Finest (DC 2022, CV 141907 / GCD 182645) #20-24 per GCD row 2656603's notes

S 14675 cv=113048 gcd=128777 0.9 | issues 001 and 02 (of 04) (2018) = CV 113048 "Rick and Morty vs. Dungeons & Dragons" (IDW 2018, 4) and GCD 128777 (IDW 2018-2019, 4), agreeing on publisher, year and count; the third book, the 2021 Oni Deluxe Edition (301pp), also collects the sequel mini Painscape, a different run — 0.9
I 108911 cv=882411 gcd=- isbn=- 0.9 | "Rick and Morty vs. Dungeons & Dragons Deluxe Edition (2021)" 301pp = CV 138546 (Oni 2021, 1) issue 882411 "HC"; GCD holds no Oni deluxe row (its "Complete Adventures" 191963 is a 2022 IDW book)
C 108911 cv=113048 gcd=128777 #1-4 0.9 | the Deluxe Edition collects Rick and Morty vs. Dungeons & Dragons (IDW 2018-2019, 4 issues, CV 113048 / GCD 128777) #1-4 — first half of 301pp
C 108911 cv=121443 gcd=150383 #1-4 0.9 | the Deluxe Edition's second half: Rick and Morty vs. Dungeons & Dragons II: Painscape (Oni 2019-2020, 4 issues, CV 121443 / GCD 150383) #1-4 — 301pp is two four-issue minis

S 64153 cv=19591 gcd=29821 0.95 | CV 19591 "Ant" (Image 2005, cached #1-12) and GCD 29821 "Ant" (Image 2005-2021, 12) both place the 2021 "Ant 012" in the 2005 numbering; our ladder 1-8 + 12 sits inside #1-12 on both legs; the 2021 six-issue relaunch (CV 139836 / GCD 177288) is a different volume

