# R-034 — revisit of the split lane's P-004, first half: the new shelves P-004 created, each read beside the KEPT shelf
# it came from; plus the ten shelves R-032 withheld (their partners took F wrong-cv-link in R-033 / wave 19, so the CV
# is free now), and two open-flag questions (He-Man S8477, Punisher S94684). Every split-reader run id was re-probed
# with lookup.py (--issues / --gcd-issues / --collects / names) before it went on an S line.

# ================= the ten R-032 withheld shelves: the run confirmed again, the CV now written =================

S 102613 cv=27055 gcd=38419 0.95 | the RUN wins: our one 630pp "Do Androids Dream of Electric Sheep - Omnibus (2015)" collects the 24-issue Boom! adaptation — GCD's own row 1514806 (s95044, 644pp, ISBN 9781608867844) reprints s38419 #1-24 — and CV 27055 (Boom! 2009, 24, #1-24 cached) and GCD 38419 (Boom! 2009-2011, 24) agree on title, publisher, years and count; R-032 withheld cv=27055 only because S5586 (Dust to Dust, now S cv=33382 + F wrong-cv-link in R-033) still stored it
I 9676 cv=- gcd=1514806 isbn=9781608867844 0.95 | the omnibus's own record: GCD 95044 row 1514806 (Boom! 2015-12-02, 644pp against our 630pp, ISBN 9781608867844, "Collects the 24 issue series"); ComicVine has no volume for the 2015 omnibus

S 102682 cv=83158 gcd=90546 0.95 | the RUN wins: our one 115pp "Strange Fruit (2017)" in Boom Studios\Strange Fruit (2015) is the hardcover of BOOM!'s four-issue Strange Fruit — CV 83158 (Boom! 2015, 4) and GCD 90546 (Boom! 2015-2016, 4) agree on title, publisher, years and count, 115pp is four issues plus extras; the withheld partner S16901 (Gill's Fulcrum Strange Fruit) took R + F wrong-cv-link in R-033, so cv=83158 is free
I 10789 cv=594164 gcd=1696736 isbn=978-1608868728 0.95 | the HC's own records: CV 101217 issue 594164 (HC, 2017-05-31) and GCD 113861 row 1696736 (136pp against our 115pp)

S 102696 cv=74745 gcd=81259 0.95 | the RUN wins: our one 160pp "COL The Empty Man Vol. 00 (2015)" collects the 2014 six-issue mini — CV 74745 (Boom! 2014, 6) and GCD 81259 (Boom! 2014, 6 rows #1-6) agree on title, publisher, year and count, 160pp is six issues plus extras; the withheld partner S18520 (the 2018 eight-issue series) took S cv=115051 + F wrong-cv-link in R-033
I 10851 cv=501660 gcd=- isbn=- 0.9 | the trade's own record: CV 84965 "The Empty Man" issue 501660 (TPB, 2015-09-30); GCD has no row for the 2015 trade (only the French Glénat edition 135307)

S 102658 cv=120950 gcd=149953 0.95 | the RUN wins: our one 110pp "COL Marvel's Spider-Man Vol. 02 - Velocity (2020)" (ComicInfo "Marvel's Spider-Man: Velocity") collects the five-issue mini — GCD's own row 2267544 reprints s149953 #1-5 — and CV 120950 (Marvel 2019, 5) and GCD 149953 (Marvel 2019-2020, 5) agree on title, publisher, years and count; the withheld partner S24300 (City at War) took S cv=117754 + F wrong-cv-link in R-033
I 94825 cv=738064 gcd=2267544 isbn=978-1-302-91922-1 0.95 | the trade's own records: CV 125194 issue 738064 (TPB, 2020-02) and GCD 176706 row 2267544 (116pp against our 110pp)

S 102583 cv=11492 gcd=12458 0.95 | the RUN wins: our one 145pp "Black Widow - Homecoming (2005)" in Marvel\_Black Widow\03 Black Widow v3 (2004) is the TPB of the six-issue 2004 Black Widow — CV 11492 (Marvel 2004, 6, #1-6) and GCD 12458 (Marvel 2004-2005, 6) agree on title, publisher, years and count; CV 22149 / GCD 165327 are the TPB's own count-1 records; the withheld partner S2795 (the 2010 series) took S cv=32582 + F wrong-cv-link in R-033
I 77944 cv=133264 gcd=2157860 isbn=0-7851-1493-9 0.95 | the trade's own records: CV 22149 issue 133264 (TPB, 2005-06-30) and GCD 165327 row 2157860 (148pp against our 145pp, 2005-04-27)

S 102643 cv=92031 gcd=103892 0.95 | CV 92031 "Justice League: Rebirth" (DC 2016, 1) and GCD 103892 (DC 2016, 1, 36pp on-sale 2016-07-06) agree on title, publisher, year and count; our one 24pp "Justice League - Rebirth 001 (2016)" is that one-shot; the withheld partner S10117 (the Rebirth Deluxe Edition line) took F wrong-cv-link + merge-with=94650 in R-033
I 19064 cv=538492 gcd=1599471 isbn=- 0.95 | the one-shot's own record: CV issue 538492 (#1 of 92031) and GCD row 1599471 (#1 of 103892, 36pp against our 24pp)

S 102672 cv=40236 gcd=58678 0.95 | the RUN wins: our one 132pp "COL Rocketeer Adventures Vol. 01 (2011)" collects the first four-issue 2011 anthology — GCD says its row 1057688 reprints s58678 #1-4 — and CV 40236 (IDW 2011, 4) and GCD 58678 (IDW 2011, 4 × 36pp) agree on title, publisher, year and count; the withheld partner S14793 (Rocketeer Adventures 2) took S cv=46887 + F wrong-cv-link in R-033
I 31632 cv=- gcd=1057688 isbn=978-1-6137-7034-4 0.95 | the trade's own record: GCD 71463 #1 row 1057688 (2011-11, 144pp against our 132pp); ComicVine has no volume for the 2011 TPB

S 102697 cv=152296 gcd=202259 0.95 | the RUN wins: our one 172pp "COL The Hunger and the Dusk v01 (2024)" collects Book One — GCD's own trade row 2636640 says The Hunger and the Dusk (IDW, 2023 series) #1-6 — and CV 152296 (IDW 2023, 6) and GCD 202259 (IDW 2023-2024, 6) agree on title, publisher, years and count; the withheld partner S18804 (Book Two) took S cv=158947 + F wrong-cv-link in R-033
I 31587 cv=1120395 gcd=2636640 isbn=979-8-88724-082-4 0.95 | the trade's own records: CV 165531 issue 1120395 ("Volume 1", 2024-07) and GCD 212954 #1 row 2636640 (2024-06-11)

S 102712 cv=86747 gcd=96568 0.95 | the RUN wins: our one 150pp "COL Voracious v01 - Diners, Dinosaurs & Dives (2016)" collects the four-issue 2015 series, CV 86747 (Action Lab 2015, 4) and GCD 96568 (Action Lab 2016, 4) agreeing on title, publisher, year and count; the withheld partner S21137 (Appetite for Destruction) took S cv=119339 + F wrong-cv-link in R-033
