# R-044 — revisit of the split lane's P-008 (second part): NEW shelves with their KEPT halves, read as pairs.
# Shapes: New Warriors (1990 half + 1999 / 2014 / ashcan); Popeye (Fantagraphics' Segar line, the Sundays line, the
# by-year strip rips); Amazing Spider-Man (the legacy mega-shelf, the 2018 Spencer trades S95051, the 2014 trades
# S95052, ASM '97, the strip webrips); Loveless; Nightwing 1996 / New 52; Wasteland DC vs Oni; Flash Gordon (Mad Cave,
# Dynamite omnibus, Titan's Complete Library, strip webrips); Hellblazer's 26-volume trade line + the 2020 run;
# Love and Rockets (New Stories, v4, Covers, Companion, FCBD, the Library line); Namor 2003 / 2024; Dynamo 5; Regular
# Show Hydration. Every split-reader id was re-probed.

# ================= New Warriors =================
S 94672 cv=6787 gcd=7302 0.9 | split run had no ids; "New Warriors v2 001-010 (1999-2000)" + #0 (c2c) + a chronology second copy of #5 = CV 6787 (Marvel 1999, 11 incl. #0) = GCD 7302 (Marvel 1999-2000, 10 rows #1-10, numx10); the per-file CV 4407 is the 1990 run's stamp; 0.9 because the #0 is Wizard's giveaway, which GCD files apart (7301)
F 94672 needs-fetch cv=6787 | named from the rip only
N 94672 item 102157 "New Warriors v2 000 (1999)" 19pp = the Marvel/Wizard #0 giveaway, GCD 7301 row 65647 (20pp); CV 6787 folds it in as #0 (issue 186287)
S 98866 cv=71802 gcd=79116 0.95 | split-reader ids CONFIRMED: Vol. 01 The Kids Are All Fight + Vol. 02 Always and Forever in New Warriors v5 (2014) = the trades of CV 71802 (Marvel 2014, 12; issue titles "The Kids Are All Fight Part 1-4", "Always and Forever 1-3 of 3") = GCD 79116 (Marvel 2014-2015, 12); GCD's roll-up for Vol. 02 names s79116 #7-12
I 102188 cv=463483 gcd=1385542 isbn=9780785154532 0.95 | Vol. 01 134pp = CV 76630 issue 463483 "Volume 1" and GCD 89871 #1 row 1385542 (148pp)
I 102189 cv=478145 gcd=1385543 isbn=9780785154549 0.95 | Vol. 02 133pp = CV 79782 issue 478145 "Volume 2" and GCD 89871 #2 row 1385543 (140pp)
S 103499 cv=57754 gcd=54565 1.0 | split-reader ids CONFIRMED: ComicInfo Web 387869 = CV 57754's own issue id; "The New Warriors Ashcan Edition 001 (1994)" 10pp = CV 57754 (Marvel 1994, count 1) = GCD 54565 (1 row, 16pp)
I 102078 cv=387869 gcd=796993 1.0 | the ashcan's own CV issue 387869 (the ComicInfo Web id) and GCD row 796993
S 12855 cv=4407 gcd=4035 0.9 | the KEPT half: "The New Warriors 018-020", "New Warriors 054-075 (1994-1996)" and X-Men-chronology copies of #31/#44-46 + Annual 01, ComicInfo Volume 1990 / Count 75 x18 = CV 4407 (Marvel 1990, 75) = GCD 4035 (Marvel 1990-1996, 75); the run S94671 already carries (cv=4407 gcd=4035, C-039, 61 files); 0.9 for the annual
F 12855 merge-with=94671 | the same 1990 run: S94671 "New Warriors v1 (1990)" holds its annuals and issues under cv=4407 gcd=4035; these 23 files are more of the same run (ComicInfo Volume 1990, Count 75)

# ================= Popeye =================
S 103456 cv=47699 gcd=41100 0.95 | split-reader ids CONFIRMED: Fantagraphics' "Popeye v01-v06" (I Yam What I Yam! … Me Li'l Swee'pea, 2006-2012) = CV 47699 (Fantagraphics 2006, 6, issue titles = our subtitles) = GCD 41100 "Popeye [E.C. Segar's Popeye]" (Fantagraphics 2006-2012, 6 rows, same titles); a strip reprint line published as volumes, so the volume line is the identity; the per-file CV 1174 is the Dell comic book
F 103456 needs-fetch cv=47699 | named from the rip only
I 118003 cv=328637 gcd=697404 isbn=9781560977797 0.95 | v01 I Yam What I Yam! 189pp = CV 47699 #1 issue 328637 and GCD 41100 row 697404 (192pp)
I 118004 cv=381972 gcd=697405 0.95 | v02 Well, Blow Me Down! 179pp = CV 47699 #2 issue 381972 and GCD 41100 row 697405 (184pp)
I 118005 cv=381973 gcd=697406 0.95 | v03 Let's You and Him Fight! 164pp = CV 47699 #3 issue 381973 and GCD 41100 #3 row 697406 (168pp)
I 118006 cv=381974 gcd=697407 isbn=9781606991695 0.95 | v04 Plunder Island 172pp = CV 47699 #4 issue 381974 and GCD 41100 #4 row 697407 (176pp)
I 25988 cv=381975 gcd=808800 isbn=9781606994047 0.95 | v05 Wha's a Jeep 167pp = CV 47699 #5 issue 381975 and GCD 41100 #5 row 808800 (172pp)
I 118007 cv=381976 gcd=956737 isbn=9781606994832 0.95 | v06 Me Li'l Swee'pea 194pp = CV 47699 #6 issue 381976 and GCD 41100 row 956737 (192pp)
S 13955 cv=139195 gcd=- 0.9 | split run had no ids; the four "Popeye - The E. C. Segar Popeye Sundays v01-v04 (2021-2024)" = the stored CV 139195 (Fantagraphics 2021, 4, issue titles = our four subtitles); GCD holds no record of this 2021 line (only Futuropolis' French "Popeye Sundays" and the 1984 Complete E.C. Segar Popeye)
