# R-048 — revisit of the split lane's P-010 (second part) plus the nine KEPT-WHOLE shelves (TODO 39a).
# Shapes: the Batman bucket (New 52 run + its TPB line, the 1940 run, two annual series, three creator collections, the
# Random House readers); Dark Horse Conan (Marvel-Edition reissue of the 2004 run, the multi-run Vol. 07-20 trade line,
# the Omnibus line); X-Treme X-Men 2001 / 2012 + Mekanix + Savage Land; six Shadowman runs; two Manhunter runs; the Iron
# Man bucket (four runs, the annual, nine Epic Collection books, one-shots); and the kept-whole collected lines (She Could
# Fly, Tech Jacket, Torchwood, Supurbia, Hawaiian Dick, Drizzt, Faith) + Marvel Holiday Special + Fritzi Ritz.
# Every split-reader id was re-probed (lookup.py --id / --issues / --gcd-issues / --who-stores / --collects).

# ================= Batman =================
S 95394 cv=42721 gcd=61067 0.95 | the New 52 Batman: #0-6, 8-33 + #23.1-23.4 (Villains Month) from the Trinity Read Order folders and "04 Batman v2 (2011)", the run's own ten trades (GCD reprints: #1-7, #8-12, #13-17, #21-24, #25-33, #0/18-20/28/34, #35-40, #41-45, #46-50, #51-52 of s61067) and the Zero Year collection = the stored CV 42721 (DC 2011, 57, cached #0-52) = GCD 61067 (2011-2016, 57); the trade line is CV 48729 / GCD 72998 on the I lines
I 61322 cv=335060 gcd=1096623 isbn=9781401235420 0.95 | "COL Batman Vol. 01 - The Court of Owls (2012)" 174pp = CV 48729 #1 issue 335060 = GCD 72998 #1 The Court of Owls 180pp
I 61323 cv=395028 gcd=1145605 isbn=9781401237783 0.95 | "COL Batman Vol. 02 - The City of Owls (2013)" 202pp = CV 48729 #2 issue 395028 = GCD 72998 #2 212pp
I 61324 cv=431430 gcd=1204905 isbn=9781401246020 0.9 | "COL Batman Vol. 03 - The Joker - Death of the Family (2013)" 430pp = CV 48729 #3 issue 431430 = GCD 72998 #3 180pp (our 430pp rip carries far more than the 180pp trade — a deluxe-size rip of the same volume)
I 61325 cv=452296 gcd=1342927 isbn=9781401249335 0.95 | "COL Batman Vol. 04 - Zero Year - Secret City (2014)" 175pp = CV 48729 #4 issue 452296 = GCD 72998 #4 180pp
I 61326 cv=468049 gcd=1342951 isbn=9781401253356 0.95 | "COL Batman Vol. 05 - Zero Year - Dark City (2014)" 251pp = CV 48729 #5 issue 468049 = GCD 72998 #5 260pp
I 61327 cv=487192 gcd=1462096 isbn=9781401257538 0.95 | "COL Batman Vol. 06 - Graveyard Shift (2015)" 215pp = CV 48729 #6 issue 487192 = GCD 72998 #6 228pp
I 61328 cv=500263 gcd=1546556 isbn=9781401261160 0.9 | "COL Batman Vol. 07 - The Joker - Endgame (2015)" 303pp = CV 48729 #7 issue 500263 = GCD 72998 #7 Endgame 180pp (a larger rip than the trade)
I 61329 cv=520168 gcd=1620540 isbn=9781401266301 0.95 | "COL Batman Vol. 08 - Superheavy (2016)" 152pp = CV 48729 #8 issue 520168 = GCD 72998 #8 164pp
I 61330 cv=548552 gcd=1658475 isbn=9781401269227 0.95 | "COL Batman Vol. 09 - Bloom (2016)" 178pp = CV 48729 #9 issue 548552 = GCD 72998 #9 204pp
I 61331 cv=566672 gcd=1692368 isbn=9781401268329 0.95 | "COL Batman Vol. 10 - Epilogue (2016)" 133pp = CV 48729 #10 issue 566672 = GCD 72998 #10 148pp (collects #51-52 + Annual #4 + Futures End #1)
I 61333 cv=882761 gcd=- 0.9 | "Batman - Zero Year (2021)" 391pp = CV 138641 "Batman: Zero Year" issue 882761 (TPB 2021), which collects this run's #21-33; GCD's 175623 row is not in our issue data
S 64223 cv=796 gcd=141 0.9 | the 1940 Batman: #0-713 (~800 issue files, ComicInfo Volume 1940 on 270, Count 713/738) + reading-order fragments + the run's own trades (Caped Crusader Vol. 06, Year One Deluxe, Brubaker Vol. 01-02, Morrison Book 01, GCD reprints all inside s141) = the stored CV 796 (DC 1940, 716) = GCD 141 (1940-2011, 715); residue that is other comics — the 1961 Batman Annual files, the Absolute Batman #1 pack, eight New 52 and four 2016 issues, two multi-run Bruce Wayne collections — caps this at 0.9, each named below
F 64223 misfiled | items 59171, 59175-59184 (Absolute Batman 001 (2024) + ten 1pp variants) are Absolute Batman #1 — CV 160294 / GCD 216143, the run on S66519
F 64223 misfiled | items 61294-61307 (Batman Annual 001-028, 1961-2010, 14 files) are the Batman Annual series CV 3109 / GCD 1468, which now has its own shelf S103665
F 64223 misfiled | items 18165 (Batman 007 - May 2012) and 19016-19020, 19029-19030 (Batman 046-052 (2016)) are the New 52 Batman (2011) #7 and #46-52 — CV 42721 / GCD 61067, the run on S95394
F 64223 misfiled | items 19072, 19075, 19095, 19097 (Batman 007-008 (2016), 021-022 (2017)) are the Rebirth Batman (2016) — CV 91273, stored by S95396
I 62783 cv=907546 gcd=2337869 isbn=9781779508003 0.95 | "COL Batman - The Caped Crusader Vol. 06 (2021)" 246pp = CV 112794 #6 issue 907546 = GCD 127582 #6 252pp
C 62783 cv=796 gcd=141 #475-483 0.95 | Caped Crusader Vol. 06 collects Batman (DC 1940, 716) #475-483 plus Detective Comics #642 — GCD notes 2337869; the judged #475-485 overreaches by two
I 62812 cv=619565 gcd=1732323 isbn=9781401272944 0.95 | "COL 01 Batman - Year One - The Deluxe Edition (2017)" 135pp, ComicInfo Series "Batman: Year One - The Deluxe Edition" = CV 104042 issue 619565 (HC) = GCD 116550 row 1732323 152pp (collects Batman #404-407)
I 62837 cv=512390 gcd=1528102 isbn=9781401260651 0.95 | "COL Batman by Ed Brubaker Vol. 01 (2016)" 318pp = CV 87598 #1 issue 512390 = GCD 96084 #1 324pp
I 62838 cv=552969 gcd=1637891 isbn=9781401264857 0.95 | "COL Batman by Ed Brubaker Vol. 02 (2016)" 282pp = CV 87598 #2 issue 552969 = GCD 96084 #2 292pp
