# R-051 — the P-012 split's shelves in pair groups (Flash, Adventures of Superman, Thor, Archie, Wonder Woman, Green Lantern / GLC, Exiles, Excalibur) plus the WW creator-line revisits.
# Conventions seen: DC "#DC Events" read-order folders are second rips (L-015) EXCEPT where the title's own shelf is thin — the
# Green Lantern (2011) and Flash (2010) issues in "As seen from Oa" are the bulk of our holdings of those runs, not second rips.
# Where BOTH catalogues cut a continuously numbered run at the same number (GL 1960 #205 / The Green Lantern Corps #206, CV and
# GCD alike) the cut is an identity boundary; where they cut at DIFFERENT numbers (Archie Comics: CV at #113/114, GCD at #101/102)
# the shelf keeps one identity on the majority records and an N names the other era (L-198 / L-307 shape).

# ---- Flash ----
R 94717 | two co-equal runs plus foreign rips: the 1987 Flash (CV 3790 "The Flash" 1987 DC 250 / GCD 3358 "Flash" 1987-2006 232, with GCD 26125 for #231-247) holds "04 The Flash v2 (1987)" #0-230, Annuals #2-13, the joined "Flash v2 #207-217" and "06 The Flash v2 (2007)" #231-247 and the Johns/Waid/Morrison books; but Flash (2010) (CV 32562 / GCD 47018, 12) sits here as TWO whole trades (Vol. 01 74335, Vol. 02 74336 + its second rip 19293) plus #1-6 (Brightest Day folder) and #9-12 (Flashpoint prelude) — a co-equal run by the RESIDUE ruling, and --who-stores cv=32562 finds no shelf for it
F 94717 split-needed | proposed: [1987 — stays] CV 3790 / GCD 3358: the 04 The Flash v2 (1987) folder #0-230 (TheHand/AnHeroGold rips), Annuals 74048-74059 (GCD 3359, residue), 17078-17088 (v2 #207-217), the 17 "(2007)" #231-247 files (GCD 26125), event rips 15617, 15619 (#69-70), 15852 (#135), 16856 (#119), 18045 (#1000000), 74089 (Secret Origins Annual #2, residue) and the Johns / Waid / Morrison-Millar books 74534-74538, 74540-74543, 74548; [new key "The Flash v3 (2010)"] CV 32562 / GCD 47018: 16393, 16458, 16396, 16407, 16432, 16453 (#1-6), 17926-17929 (#9-12), trades 74335, 74336, 19293; [join S100573, CV 1995 / GCD 1428] 74306-74311 (#271-279, 1978-79, the 1959 run) and the 25 "Flash v1 217-246 GL only" extracts 15303-15327; [join S100575, CV 91750 / GCD 103458] 19096, 19098 (#21-22 2017), 61358, 61360 (#64-65 2019), 74550 (Vol. 12 Year One, collects 2016 #70-75); [join S100574, CV 43018] 18074 (#25 2014); [join S18597, CV 6156] 74512 (80-Page Giant #1); [Booster Gold 2007, CV 19025 / GCD 26025] 74072
N 94717 the three open flags (#189, #492, #493) are label-ambiguous, not conflated/overlap: 74072 is Booster Gold v2 #4, 17926-17929 are Flash v3 #9-12 single issues, 19293/74336 are two rips of Road to Flashpoint — all named in the split above
I 74335 cv=261247 gcd=1092206 isbn=978-1-4012-3195-8 0.9 | CV 38901 "The Flash: The Dastardly Death of the Rogues" 2011 count 1 = issue 261247 and GCD 72625 row 1092206 (212pp softcover) against our 203pp rip; 0.9 for GCD's twin hardcover row
I 74336 cv=315210 gcd=1092207 isbn=978-1-4012-3448-5 0.9 | CV 45765 "The Flash: The Road to Flashpoint" issue 315210 and GCD 72626 row 1092207 (124pp) against our 121pp rip; the hardcover twin row keeps this at 0.9
I 19293 cv=315210 gcd=1092207 isbn=978-1-4012-3448-5 0.9 | a second rip of the same Road to Flashpoint trade as item 74336 (both 121pp): CV issue 315210 and GCD row 1092207 (124pp)
C 74335 cv=32562 gcd=47018 #1-6 0.95 | collects The Flash (DC 2010, 12 issues, CV 32562 / GCD 47018) #1-6 per GCD row 1092206's roll-up (plus Secret Files 2010) — CV 32562 #1-6 are "Case One: The Dastardly Death of the Rogues" Parts 1-6
C 74336 cv=32562 gcd=47018 #8-12 0.95 | collects The Flash (DC 2010, 12 issues, CV 32562 / GCD 47018) #8-12 per GCD row 1092207's notes "Flash (DC, 2010 series) #8-12"
C 19293 cv=32562 gcd=47018 #8-12 0.95 | the second rip of Road to Flashpoint collects the same The Flash (DC 2010, 12 issues) #8-12 per GCD row 1092207's notes
I 74534 cv=506628 gcd=1503732 0.9 | CV 86229 "The Flash By Geoff Johns" Book One = issue 506628, GCD 94489 row 1503732 (372pp) against our 357pp Book 01
I 74535 cv=530702 gcd=1571423 0.9 | Book Two of CV 86229 / GCD 94489 "Flash by Geoff Johns": issue 530702, row 1571423 (420pp) vs our 400pp
