# R-053 — the P-013 split's shelves in pair groups: the legacy Amazing Spider-Man and its four later runs, Wolverine (1988) and its seven
# siblings, X-Men (1991) and its eleven siblings, plus the Day of the Atom revisit. Most shelves were read before (R-026..R-050, C-035..C-064);
# this pass re-reads each after the joins landed, restates its identity, and re-declares every book line on it (I lines are never optional).
# Surprises: (1) the Amazing Spider-Man legacy title has no single record on either leg — CV 2127 spans 1963 #1-441 + 2003 #500-700 and keeps
# the 1999 #1-58 apart (CV 78701), GCD spans 1999 #1-58 + #500-700 as 11288 and keeps 1963-1998 as 1570; (2) the X-Men Omnibus files carry
# crossed ComicInfo Web ids — page count decides (Book 01 771pp = Volume 1 776pp, Book 02 905pp = Volume Two 920pp); (3) the 2022 ASM shelf
# now holds the run, not the Zeb Wells trade line C-035 gave it.

# ---- Amazing Spider-Man ---------------------------------------------------------------------------------------------------------------

S 64133 cv=2127 gcd=1570 0.9 | the KEPT legacy shelf: "01 Amazing Spider-Man v1 (1963)" #1-441 (1963-1998) + "03 ... v1 (2003)" #500-700 incl. 654.1/679.1/699.1 = CV 2127 "The Amazing Spider-Man" (Marvel 1963, 651 = 441 + the #500-700.x stretch, cached 651) whose span is exactly our ladder 1-441 + 500-700; GCD 1570 (Marvel 1963-1998, 443) is the same run's first 441 numbers (379 per-file links); ComicInfo Volume "1963" x7, Count "681", Web 64599/64433; residue that is a different comic caps 0.9: the Annual #1-42 (38 files, own series CV 2189 / GCD 1635), four Facsimile Editions (own one-shot records), and the 1999 v2 #20-58 (see N)
F 64133 merge-with=4752 | S4752 "Dan Slott Spider-Man" (19 trades, R-050 S cv=2127 gcd=11288) reprints ASM #546-700, the same legacy run this shelf's #500-700 files are; both S lines carry cv=2127, so the join P-013 left pending lands through the shared CV
N 64133 GCD splits this title where CV does not: GCD 11288 "The Amazing Spider-Man" (1999-2014, 267) = the 1999 relaunch #1-58 PLUS #500-700 (241 per-file links here); S4752's S line carries gcd=11288 while this one carries 1570 — after the merge the lead must pick one GCD id for the shelf (1570 has the majority: 441 numbers vs 58+201)
N 64133 the 39 "02 Amazing Spider-Man v2 (1999)" files #20-58 (+ the chronology second rips #24, #30-35) are the 1999-2003 relaunch = CV 78701 (Marvel 1999, 58, no CvVolume row, no shelf) / GCD 11288 #20-58; they collide with 1963 #20-58 in the ladder (why 145 numbers name two files). Left here, not split: GCD itself files them in the same series as our #500-700, and P-013 / R-046 kept them deliberately; if the lead wants them apart the key is "Amazing Spider-Man v2 (1999)" cv=78701 gcd=11288
N 64133 Annual 040 (2015), 041 (2017), 042 (2018) — R-046's pending record check done: 040 = CV 78715 (Amazing Spider-Man Annual 2014, 1) issue 472898 / GCD 85112 row 1288713; 041 = CV 95808 issue 558953 / GCD 109549 row 1653342; 042 = CV 95808 #42 issue 660005 / GCD 109549 #42 row 1785543 — annuals of the 2014/2015 relaunches filed on the legacy annual ladder; residue here
N 64133 R-050's one-book reprint shelves are NOT in this batch (S16178 Dezago & Wieringo = Sensational Spider-Man #7-24, never this run; S16089 Death of the Stacys = a themed non-contiguous reprint, its own record; S103779 One Moment in Time = ASM #638-641, a trade of this run that could merge-with=64133 only once it carries cv=2127) — no line written for them here
I 83015 cv=989799 gcd=2395907 0.95 | "Amazing Spider-Man 238 - Facsimile Edition (2022)" 36pp = CV 150412 "Amazing Spider-Man No. 238 Facsimile Edition" issue 989799 (2022-06) and GCD 184317 row 2395907 (2022-04-06, 36pp, "the entire The Amazing Spider-Man #238")
I 83016 cv=706402 gcd=1950663 0.95 | "Amazing Spider-Man 252 - Facsimile Edition (2019)" 36pp = CV 118373 "Amazing Spider-Man No. 252 Facsimile Edition" issue 706402 and GCD 144187 row 1950663 (2019-04-17, 36pp)
I 83018 cv=- gcd=2617149 0.9 | "Amazing Spider-Man 254 - Facsimile Edition (2024)" 37pp = GCD 210099 "The Amazing Spider-Man No. 254 Facsimile Edition" row 2617149 (2024-03-20, 36pp); ComicVine has no record under that title in our rip
I 83027 cv=735401 gcd=2063980 0.95 | "Amazing Spider-Man 347 - Facsimile Edition (2020)" 36pp = CV 124631 "Amazing Spider-Man No. 347 Facsimile Edition" issue 735401 and GCD 155419 row 2063980 (2020-01-29, 36pp)
I 93849 cv=6837 gcd=18069 0.95 | "Amazing Spider-Man Annual 001 (1964)" 74pp = The Amazing Spider-Man Annual #1: CV 2189 (Marvel 1964, 33) issue 6837 and GCD 1635 (1964-1994, 28) row 18069 (76pp)
