# R-076 — the new and kept shelves of split wave 63 (P-023): GL annuals, Suicide Squad, Abe Sapien minis, Joy Operations, Minor Threats, Usagi Yojimbo IDW trades.
# Dark Horse Hellboy-universe minis carry a ripper's running "Abe Sapien - NNN" ladder (9-10 for Devil Does Not Jest #1-2); GCD prints the same running number in brackets ([6], [9], [10]).
# GCD splits the 1985-87 GL Corps annual by cover title (33216 #1 / 33217 #2 / 2978 #3) where CV keeps one 3-issue volume 21324.
# Minor Threats: every mini has its own CV volume + GCD series; the stored CV 144737 on S7019 was the 2022 first mini stamped across all its spin-offs.

S 64825 cv=4740 gcd=4399 0.95 | CV 4740 "Green Lantern Annual" (DC 1992, 9, #1-9 1992-2000) and GCD 4399 (DC 1992-2000, 9) agree on publisher, span and count; our three files are Annual #3 (1994), #7 "Ghosts" (1998) and #8 (1999) — ladder 3/7/8 all inside #1-9, ComicInfo Volume "1990"/"3" = the GL v3 era
S 102410 cv=21324 gcd=33216 0.9 | CV 21324 "Tales of the Green Lantern Corps Annual" (DC 1985, 3) holds both our files: #1 (1985, issue 128645) and #2 (1986-12, issue 134743 — our ComicInfo Web asserts 134743); GCD 33216 (1985, 1) holds only #1 — GCD files #2 under 33217 "The Green Lantern Corps Annual" (1986) and #3 under 2978, a title split not a second comic, hence 0.9
I 65176 cv=128645 gcd=558661 isbn=- 0.95 | "Green Lantern Annual 001 (1985)" 40pp = CV 21324 #1 issue 128645 (1985) and GCD 33216 #1 issue 558661 (52pp, on sale 1984-09)
I 65986 cv=134743 gcd=558662 isbn=- 1.0 | "Tales of the Green Lantern Corps Annual #02 (1986-12)" — ComicInfo Web asserts CV issue 134743 (21324 #2); GCD files it as 33217 "The Green Lantern Corps Annual" #2 issue 558662 (1986-08, 52pp)
N 102410 GCD 33217 "The Green Lantern Corps Annual" (1986, #2) is where our #2 sits on the GCD leg; the S carries 33216 because both files are one CV volume

S 103870 cv=19127 gcd=10779 0.95 | run-wins: "COL Suicide Squad - Casualties of War" (2021, 298pp) = GCD 173553 issue 2235506 (300pp, ISBN 978-1-77951-069-3) whose notes and gcd_reprint both name Suicide Squad (DC, 2001) #1-12; CV 19127 "Suicide Squad" (DC 2001, 12, #1-12 2001-11..2002-10, #8 titled "Casualties of War") and GCD 10779 (DC 2001-2002, 12) agree on publisher, year and count
F 103870 needs-fetch cv=19127 | CV 19127 "Suicide Squad" 2001 has no CvVolume row — named from the rip (12 cached issues)
I 70007 cv=864695 gcd=2235506 isbn=9781779510693 0.95 | the trade's own record: CV 137157 "Suicide Squad: Casualties of War" issue 864695 (TPB 2021-06-29) and GCD 173553 issue 2235506 (2021-06-29, 300pp vs our 298pp)
C 70007 cv=19127 gcd=10779 #1-12 0.95 | Suicide Squad (DC 2001, 12 issues): GCD's notes and gcd_reprint roll-up of issue 2235506 both name #1-12, the whole run, and CV 19127 lists exactly #1-12

S 103869 cv=93683 gcd=105770 0.95 | one-shot: "Suicide Squad Special - War Crimes 001 (2016)" 43pp = CV 93683 (DC 2016, 1, issue 547258) and GCD 105770 (DC 2016, 1, issue 1618854, 52pp) — same title, publisher, year and count on both legs
I 70092 cv=547258 gcd=1618854 isbn=- 0.95 | the one-shot's own record: CV 93683 #1 issue 547258 and GCD 105770 #1 issue 1618854 (2016-08-31, 52pp)

