# R-088 — S.2 tier one: 70 shelves whose winning line was an S at 0.7 or an R (mostly provider-missing). Folders: Misc\ (NBM Dungeon, Gumby, Heroes, Jirni, OZ, Tank Girl, Street Fighter, Shi, Second Coming), Oni Press\, Papercutz\, Scout\, Silver Sprocket\.
# Every provider-missing R was re-probed on both legs with --contains (and the record's own title where one was named); the probe list is on each F line. Found records: all five NBM Dungeon cycles, Gumby in 3-D (GCD 38332), Attack of the 100-Foot Booger (CV 68845 / GCD 77438), Shi's Crusade books, the Malibu Street Fighter, the Rick and Morty minis/one-shots, Exodus: The Life After, Hopeless Savages / Helheim trades.
# Surprises: the "several runs" shelves are all true (flags #65 / #80 / #82 are NOT stale); SHI (Europe Comics, Zidrou/Homs) and Billy Tucci's Shi are two unrelated comics under one bare title; Nancy Drew's NBM volumes belong on S102066, Dungeon Monstres on S24292.

R 5909 | the 13 NBM albums (97-103pp) are five separately published Dungeon series, each with its own record on both legs: The Early Years v1-v2 = CV 51884 / GCD 55264; Zenith v1-v3 = CV 52034 / GCD 55263; Twilight v1-v3 = CV 51771 / GCD 55269; Parade v1-v2 = CV 51968 / GCD 55268; Monstres v1-v3 = CV 51654 / GCD 55267 (album titles match the CV issue names one for one); the stored CV 51364 / GCD 19068 "Dungeon" (NBM 2002-2003, 8 x 28pp) is the comic-format serialisation, not these albums - flag #65 is TRUE
F 5909 split-needed | items 105573-105575 (Monstres v1-v3) join S24292 (S line B-033 cv=51654 gcd=55267, key "Dungeon Monstres", holds Monstres #1-5 already); items 105563-105564 -> "Dungeon: The Early Years (2005)" cv=51884 gcd=55264; items 105568-105570 -> "Dungeon: Twilight (2006)" cv=51771 gcd=55269; items 105571-105572 -> "Dungeon: Parade (2006)" cv=51968 gcd=55268; items 105565-105567 (Zenith v1-v3) stay as cv=52034 gcd=55263
F 5909 wrong-cv-link | the stored CV 51364 "Dungeon" (NBM 2002, 8 issues, 28pp each on GCD 19068) is the floppy serialisation; none of our 13 albums is one of its issues
F 5909 needs-fetch cv=52034 | CV 52034 "Dungeon Zenith" (NBM 2009, 5) is named from the local rip and has no CvVolume row
I 105563 cv=356026 gcd=1103201 isbn=- 0.9 | "The Early Years v1 - The Night Shirt" 98pp = CV 51884 issue 356026 "The Night Shirt" and GCD 55264 #1 row 1103201 (ordinal)
I 105564 cv=356184 gcd=1103202 isbn=- 0.9 | "The Early Years v2 - Innocence Lost" 98pp = CV 51884 issue 356184 "Innocence Lost" (2009-09) and GCD 55264 #2 row 1103202 (ordinal)
I 105565 cv=356690 gcd=1103208 isbn=- 0.9 | "Zenith v1 - Duck Heart" 98pp = CV 52034 issue 356690 "Duck Heart" and GCD 55263 #1 row 1103208 (ordinal)
I 105566 cv=356898 gcd=1103209 isbn=- 0.9 | "Zenith v2 - The Barbarian Princess" 99pp = CV 52034 issue 356898 "The Barbarian Princess" and GCD 55263 #2 row 1103209 (2003, 100pp, ISBN 1-56163-421-2)
I 105567 cv=357033 gcd=1103210 isbn=- 0.9 | "Zenith v3 - Back in Style" 98pp = CV 52034 issue 357033 "Back in Style" and GCD 55263 #3 row 1103210 (ordinal)
I 105568 cv=355285 gcd=1103205 isbn=9781561634606 0.95 | "Twilight v1 - Dragon Cemetery" 97pp = CV 51771 issue 355285 and GCD 55269 #1 row 1103205 "Dragon Cemetery" (100pp)
I 105569 cv=355540 gcd=1103206 isbn=9781561634774 0.95 | "Twilight v2 - Armageddon" 97pp = CV 51771 issue 355540 and GCD 55269 #2 row 1103206 "Armageddon" (100pp)
