# R-105 — S.2 triaged 0.9 tier: 48 DC shelves that won at 0.9 and carry a signal (triage.tsv). Each signal answered.
# The dominant signal is (b) the per-file wrong-relaunch / legacy stamp (Green Lantern 1960, Harley Quinn 2016,
# Injustice Year One, JLA 1960, Legion v3, Nightwing 1996, Power Girl …) — benign every time the shelf's own ladder, years
# and GCD leg agree; (e) big shelves were grepped for New 52 / Rebirth read-order rips (L-365); (c) RANGE CONTRADICTED
# flags were all "stored GCD row is another book" stamps except where noted. Many X-010/X-011 I lines cited a foreign or
# another book's GCD row at 0.7 — restated here with the English trade's own row where `--gcd-issues` shows it.

# --- Green Lantern (2005)
S 64826 cv=18216 gcd=13519 0.9 | signals b (per-file CV 2839, GL 1960, on 91/110) and e (110 files) are benign: the Johns Green Lantern (DC 2005) = CV 18216 (67, cached #1-67) = GCD 13519 (2005-2011, 67); ladder 1-42, 44-59 in "Green Lantern v4 NN" rips, the Oa read-order folders (Blackest Night #43-52, Brightest Day #53-59 — all GL 2005 numbers, dated 2009-2010, no New 52 issue among them) and Vol. 01-10 + Book 04 whose GCD roll-ups are all s13519; #43 joins from S34675 (below); 0.9 for Vol. 11 (War of the Green Lanterns: Aftermath), which collects no issue of this run
N 64826 flags #260 / #261 are label-ambiguous (single issues carrying a collection format; 16461 and 65370 are two rips of Vol. 10) — answered, no stale-flag line owed (L-367)
I 16461 cv=306942 gcd=902244 isbn=- 0.9 | the second rip "COL 00 Green Lantern Vol. 10 - War of the Green Lanterns (2011)" 249pp = the same book as 65370: CV 44584 issue 306942 / GCD 62557 row 902244
C 16461 cv=18216 gcd=13519 #63-67 0.95 | second rip of War of the Green Lanterns: Green Lantern (DC 2005, 67 issues) #63-67 per GCD 902244's notes — own run first
C 16461 cv=18248 gcd=18427 #58-60 0.95 | second rip of War of the Green Lanterns: Green Lantern Corps (DC 2006, 63 issues) #58-60 per GCD 902244's notes
C 16461 cv=34838 gcd=51869 #8-10 0.95 | second rip of War of the Green Lanterns: Green Lantern: Emerald Warriors (DC 2010, 13 issues) #8-10 per GCD 902244's notes
I 65361 cv=209371 gcd=528179 isbn=- 0.9 | "Green Lantern Vol. 01 - No Fear (2006)" 169pp = CV 32709 "Green Lantern: No Fear" issue 209371 and GCD 30786 row 528179 (2006-04 HC, 184pp); twin SC 64760 (934910, 2008)
I 65362 cv=210380 gcd=354135 isbn=- 0.9 | "Green Lantern Vol. 02 - Revenge of the Green Lanterns (2006)" 166pp = CV 32825 issue 210380 and GCD 23658 row 354135 (2006-11 HC, 184pp); twin SC 32053
I 65363 cv=245072 gcd=369677 isbn=- 0.9 | "Green Lantern Vol. 03 - Wanted - Hal Jordan (2007)" 145pp = CV 36739 "Green Lantern - Wanted: Hal Jordan" issue 245072 and GCD 25928 row 369677 (2007-08 HC, 168pp); twin SC 33586
I 65364 cv=292580 gcd=1575339 isbn=- 0.9 | "Green Lantern Vol. 04 - The Sinestro Corps War" 315pp is one volume, so it is the one-book edition CV 42805 issue 292580 / GCD 102529 row 1575339 (2011, 356pp), not the two 2008 HCs
C 65364 cv=18216 gcd=13519 #21-25 0.95 | The Sinestro Corps War collects Green Lantern (DC 2005, 67 issues) #21-25 per GCD 1575339's roll-up (s13519 #21-25, 12 stories) — the shelf's own run, stated first
C 65364 cv=18248 gcd=18427 #14-19 0.95 | The Sinestro Corps War also collects Green Lantern Corps (DC 2006, 63 issues) #14-19 per GCD 1575339's roll-up (s18427 #14-19, 12 stories)
I 65365 cv=209434 gcd=647870 isbn=- 0.9 | "Green Lantern Vol. 05 - Rage of the Red Lanterns (2009)" 164pp = CV 32716 issue 209434 and GCD 37879 row 647870 (2009-07 HC, 184pp); twin SC 51705
I 65366 cv=209458 gcd=556212 isbn=- 0.9 | "Green Lantern Vol. 06 - Secret Origin (2008)" 184pp = CV 32719 issue 209458 and GCD 33023 row 556212 (2008-12 HC, 184pp); twin SC 42878
I 65367 cv=209380 gcd=691956 isbn=- 0.9 | "Green Lantern Vol. 07 - Agent Orange (2009)" 124pp = CV 32710 issue 209380 and GCD 40858 row 691956 (2009-11 HC, 136pp); twin SC 68843
I 65368 cv=225272 gcd=771114 isbn=- 0.95 | "Green Lantern Vol. 08 - Blackest Night (2010)" 239pp = CV 34549 "Blackest Night: Green Lantern" issue 225272 and GCD 51688 row 771114 (2010-07, 280pp)
I 65369 cv=276170 gcd=1012491 isbn=- 0.9 | "Green Lantern Vol. 09 - Brightest Day (2011)" 244pp = CV 40937 issue 276170 and GCD 68845 row 1012491 (2011-06 HC, 264pp); twin SC 110233
I 65370 cv=306942 gcd=902244 isbn=- 0.9 | "Green Lantern Vol. 10 - War of the Green Lanterns (2011)" 249pp = CV 44584 issue 306942 and GCD 62557 row 902244 (2011-11 HC, 280pp); twin SC 110282
C 65370 cv=18216 gcd=13519 #63-67 0.95 | War of the Green Lanterns collects Green Lantern (DC 2005, 67 issues) #63-67 per GCD 902244's notes — the shelf's own run, stated first
C 65370 cv=18248 gcd=18427 #58-60 0.95 | War of the Green Lanterns also collects Green Lantern Corps (DC 2006, 63 issues) #58-60 per GCD 902244's notes
C 65370 cv=34838 gcd=51869 #8-10 0.95 | War of the Green Lanterns also collects Green Lantern: Emerald Warriors (DC 2010, 13 issues) #8-10 per GCD 902244's notes
I 65371 cv=354247 gcd=924033 isbn=- 0.9 | "Green Lantern Vol. 11 - War of the Green Lanterns - Aftermath (2012)" 200pp = CV 51660 "War of the Green Lanterns: Aftermath" issue 354247 and GCD 63628 row 924033 (2012-01, 216pp)
C 65371 cv=18248 gcd=18427 #61-63 0.95 | War of the Green Lanterns: Aftermath collects Green Lantern Corps (DC 2006, 63 issues) #61-63 per GCD 924033's notes — none of the shelf's own GL 2005 run
C 65371 cv=41402 gcd=60119 #1-2 0.95 | War of the Green Lanterns: Aftermath collects the 2011 two-issue mini War of the Green Lanterns: Aftermath (DC 2011, 2) #1-2 per GCD 924033's notes
C 65371 cv=34838 gcd=51869 #11-13 0.95 | War of the Green Lanterns: Aftermath collects Green Lantern: Emerald Warriors (DC 2010, 13 issues) #11-13 per GCD 924033's notes
I 65594 cv=823028 gcd=2181889 isbn=- 0.9 | "Green Lantern by Geoff Johns Book 04 (2021)" 329pp = CV 117337 "Green Lantern by Geoff Johns" #4 issue 823028 and GCD 141188 #4 row 2181889 (2020-12, 356pp; collects GL 2005 #26-38 + Final Crisis: Rage #1)
C 65594 cv=18216 gcd=13519 #26-38 0.95 | Green Lantern by Geoff Johns Book Four collects Green Lantern (DC 2005, 67 issues) #26-38 per GCD 2181889's notes — the shelf's own run

# --- The Green Lantern (2018, Morrison) — two misfiled issues found and turned into split moves
S 34675 cv=115055 gcd=133126 0.9 | the two trades are The Green Lantern (Morrison): Vol. 01 Intergalactic Lawman (GCD 2047851 roll-up s133126 #1-6) and Vol. 02 The Day the Stars Fell (2125110: s133126 #7-12) = CV 115055 (DC 2018, 12, cached #1-12) = GCD 133126 (DC 2019, 12) — the run, not GCD 153638 (the 2-volume collected series the shelf stored); ComicInfo Volume 2018 x2; 0.9 until the two foreign issues below leave
F 34675 split-needed | 16292 -> join S64826 — "01 Green Lantern 43 Prologue" 23pp in "#DC Events\000 … Green Lantern Corps\144 Blackest Night" is Green Lantern (2005) #43, the Blackest Night prologue (S64826's ladder lacks exactly #43); 18021 -> join S64824 — "05 Green Lantern 1000000 (1998)" 23pp in "DC - One Million (1998)", ComicInfo Volume 1990 / Count 181, is Green Lantern (1990) #1,000,000 = S64824's run (S cv=4363 gcd=3986)
N 34675 flag #259 label-ambiguous (item 65393): the per-file CV rows it names as "Green Lantern Archives" were the 1960 stamp (CV 2839) on the two single issues; the trades' own rows are GCD 2047851 / 2125110 — answered, no stale-flag line owed
