# R-107 — revisits: three "misfiled" findings turned into split-lane moves (Batman 2011 -> 2016, Outsiders 2003 -> 1985,
# Deathstroke 1991 -> 2016), their target shelves decided, and the two shelves that absorbed their retitles in wave 93
# (Fury of Firestorm 1982 + Firestorm the Nuclear Man, The Outsiders 2009 + Batman and the Outsiders 2007) restated under
# L-212. All DC. The emptied donors S6739 / S95392 are not in this batch's ids and are left alone.
# Every I/C line in force on these shelves' books is restated here, because this file supersedes the whole shelf
# decision (R-104's Deathstroke C lines included). Found on the way: the New 52 God Particle trade on the Fury shelf
# has a clean home (S18658, v02-v03 of the same run) — proposed as a split too.

# --- The Fury of Firestorm (1982) — gained Firestorm, the Nuclear Man #65-92 + Annual #5 in P-037 (L-212)
S 65956 cv=3115 gcd=2628 0.9 | one run #1-92 across the 1987 retitle (lead ruling L-212): The Fury of Firestorm #1-64 = CV 3115 (DC 1982, 64, cached #1-64) = GCD 2628 (DC 1982-1987, 64), ComicInfo Count "64" x59; #65-92 "Firestorm, The Nuclear Man" (1987-09 .. 1989-10, the same "Firestorm v2 (1982)" folder, ComicInfo Count "92") continue the numbering the month after #64 (1987-07); ladder 1-54, 57-70, 72-92; 0.9 for the five annuals (their own records, below) and the New 52 trade 55117 that leaves by split
N 65956 the retitled half #65-92 is recorded by both providers under its own name: CV 3789 "Firestorm, the Nuclear Man" (DC 1987, 28, cached #65-92) and GCD 3357 "Firestorm the Nuclear Man" (1987-1990, 28), per-file 27/27; ComicInfo Web 28747 / 28868 / 29086 are CV 3789 issue ids; those records are the per-issue identity of #65-92, the shelf's stored ids stay 3115 / 2628
N 65956 the annuals: The Fury of Firestorm Annual #1-4 (items 55018-55021, 1983-1986) = CV 3196 "Fury of Firestorm Annual" (1983, 4, named from the rip) = GCD 2716 (1983-1986, 4); Annual #5 (54982, 1987) = CV 19313 "Firestorm Annual" issue 115927 = GCD 3356 row 42302 — the annual numbering also continues across the retitle
F 65956 split-needed | 55117 -> join S18658 — "COL The Fury of Firestorm - The Nuclear Men v01 - God Particle (2012)" 144pp, in its own folder "The Fury of Firestorm - The Nuclear Men v1 (2011)", collects the New 52 run CV 42987 / GCD 61180 #1-6; S18658 (S cv=42987 gcd=61180, R-099) holds that run's v02 and v03 trades
I 54982 cv=115927 gcd=42302 0.95 | "Firestorm - The Nuclear Man Annual (#05) 1987" 40pp: its ComicInfo Web 115927 is CV 19313 "Firestorm Annual" (DC 1987, 1) issue #5 "Ground Zero", and GCD 3356 "Firestorm Annual" (1987, 1) row 42302 #5 (52pp)
I 55117 cv=357125 gcd=1171054 isbn=978-1-4012-3700-4 0.95 | "COL The Fury of Firestorm - The Nuclear Men v01 - God Particle (2012)" 144pp = CV 52140 issue 357125 "Volume 1: God Particle" and GCD 78091 #1 row 1171054 (2012-09-12, 148pp)
C 55117 cv=42987 gcd=61180 #1-6 0.95 | God Particle collects The Fury of Firestorm: The Nuclear Men (DC 2011, CV 42987 21 / GCD 61180 13) #1-6 per GCD row 1171054's roll-up (s61180 #1-6, 13 stories) — the New 52 run, not the 1982 run this shelf is

# --- The Outsiders (2009) — gained Batman and the Outsiders (2007) #1-14, the Special and #40 in P-037 (L-212)
S 66031 cv=25804 gcd=34024 0.9 | one run #1-40 across the 2009 retitle (lead ruling L-212): one folder "03 Batman and the Outsiders v2 (2008)" numbered 01-41 continuously — Batman and the Outsiders #1-14 (2007-11 .. 2008-12), the Special, The Outsiders #15-39 (2009-2011) and #40 retitled back; CV 25804 (DC 2009, 26, cached #15-40) = GCD 34024 (DC 2009-2011, 25, per-file 25/25) for #15-39, plus the two Blackest Night second rips of #24-25 (16322, 16336); ladder 1-40; 0.9 for the Special (its own record)
N 66031 the pre-retitle half #1-14 is its own record on both legs: CV 19660 "Batman and the Outsiders" (DC 2007, 14) = GCD 27224 (2007-2009, 14), ComicInfo Web 117960 is CV 19660's #1, Count 14 x14 — the per-issue identity of #1-14; the stored ids stay 25804 / 34024
N 66031 item 62332 "41 Batman and the Outsiders 040 (2011)" 19pp is #40, the last issue: CV 25804 caches #15-40, while GCD files it as the one-shot 59475 "Batman and the Outsiders" (2011, 1)
F 66031 wrong-cv-link | per-file CV 3194 (Batman and the Outsiders 1983) on 12/43, CV 10415 (Outsiders 2003) on 6/43 and 22453 (Outsiders 1993) on 2/43 are the wrong-relaunch stamp on 2007-2011 files
I 62306 cv=151829 gcd=- isbn=- 0.9 | "15 Batman and the Outsiders Special (#01) 2009-02-11" 20pp = CV 25752 "Batman and the Outsiders Special" (DC 2009, 1) issue 151829; no GCD series of that name in the dump

# --- Batman (2011) — the two Batman (2016) books turned into a split move
S 95394 cv=42721 gcd=61067 0.9 | the New 52 Batman: #0-52 + #23.1-23.4 (Villains Month) from the Trinity Read Order folders and "04 Batman v2 (2011)" (the five "Batman (2016)"-keyed files are #46-52 dated 2016, same run) and the run's own ten trades, whose GCD roll-ups are all on s61067 (#1-7, #8-12, #13-17, #21-24, #25-33, #0/18-20/28/34, #35-40, #41-45, #46-50, #51-52) = CV 42721 (DC 2011, 57, cached #0-52) = GCD 61067 (2011-2016, 57); 0.9 until the two Batman (2016) books below leave
F 95394 split-needed | 61459, 55144 -> join S95396 — "COL Batman Vol. 02 - The Joker War Saga (2021)" 330pp (GCD 2199714: Batman 2016 #95-100) and "Ghost-Maker - Clownhunter by James Tynion IV (2023)" 177pp (GCD 2571137: Batman 2016 #107-111), both from DC\Ghost-Maker / "08 Batman v3.1 (2020)", are books of the 2016 run that S95396 is (S cv=91273 gcd=103016)
F 95394 wrong-cv-link | per-file CV 796 (Batman 1940) on 53/71 files is the legacy stamp (L-052); the per-file GCD 65331 on 11 files is the Spanish ECC edition
I 61322 cv=335060 gcd=1096623 isbn=9781401235420 0.95 | "COL Batman Vol. 01 - The Court of Owls (2012)" 174pp = CV 48729 #1 issue 335060 = GCD 72998 #1 The Court of Owls 180pp
I 61323 cv=395028 gcd=1145605 isbn=9781401237783 0.95 | "COL Batman Vol. 02 - The City of Owls (2013)" 202pp = CV 48729 #2 issue 395028 = GCD 72998 #2 212pp
I 61324 cv=431430 gcd=1204905 isbn=9781401246020 0.9 | "COL Batman Vol. 03 - The Joker - Death of the Family (2013)" 430pp = CV 48729 #3 issue 431430 = GCD 72998 #3 180pp (our 430pp rip carries far more than the 180pp trade — a deluxe-size rip of the same volume)
I 61325 cv=452296 gcd=1342927 isbn=9781401249335 0.95 | "COL Batman Vol. 04 - Zero Year - Secret City (2014)" 175pp = CV 48729 #4 issue 452296 = GCD 72998 #4 180pp
I 61326 cv=468049 gcd=1342951 isbn=9781401253356 0.95 | "COL Batman Vol. 05 - Zero Year - Dark City (2014)" 251pp = CV 48729 #5 issue 468049 = GCD 72998 #5 260pp
I 61327 cv=487192 gcd=1462096 isbn=9781401257538 0.95 | "COL Batman Vol. 06 - Graveyard Shift (2015)" 215pp = CV 48729 #6 issue 487192 = GCD 72998 #6 228pp
I 61328 cv=500263 gcd=1546556 isbn=9781401261160 0.9 | "COL Batman Vol. 07 - The Joker - Endgame (2015)" 303pp = CV 48729 #7 issue 500263 = GCD 72998 #7 Endgame 180pp (a larger rip than the trade)
I 61329 cv=520168 gcd=1620540 isbn=9781401266301 0.95 | "COL Batman Vol. 08 - Superheavy (2016)" 152pp = CV 48729 #8 issue 520168 = GCD 72998 #8 164pp
I 61330 cv=548552 gcd=1658475 isbn=9781401269227 0.95 | "COL Batman Vol. 09 - Bloom (2016)" 178pp = CV 48729 #9 issue 548552 = GCD 72998 #9 204pp
I 61331 cv=566672 gcd=1692368 isbn=9781401268329 0.95 | "COL Batman Vol. 10 - Epilogue (2016)" 133pp = CV 48729 #10 issue 566672 = GCD 72998 #10 148pp (collects #51-52 + Annual #4 + Futures End #1)
I 61333 cv=882761 gcd=- 0.9 | "Batman - Zero Year (2021)" 391pp = CV 138641 "Batman: Zero Year" issue 882761 (TPB 2021), which collects this run's #21-33; GCD's 175623 row is not in our issue data
I 61459 cv=829287 gcd=2199714 isbn=978-1-77951-179-9 0.9 | "COL Batman Vol. 02 - The Joker War Saga (2021)" 330pp = CV 133947 "The Joker War Saga" issue 829287 (HC 2021-02-23) and GCD 169734 row 2199714 (344pp)
C 61459 cv=91273 gcd=103016 #95-100 0.95 | The Joker War Saga collects Batman (DC 2016, CV 91273 / GCD 103016) #95-100 per GCD row 2199714's notes, plus one issue each of Batgirl, Detective #1025, Harley Quinn, Red Hood: Outlaw, Nightwing, Catwoman and the Joker War Zone one-shot
