# R-131 — identity revisit of wave 121's (P-050) four manga splits: each new shelf seeded from its split run, and each kept half re-read now its misfiled book has left. All four kept halves lose the residue that capped them at 0.9 in R-128; the new shelves are one-book or two-issue runs whose records were already named in R-128's F lines.
# --- S104101 Devilman (1995)
S 104101 cv=62479 gcd=23151 0.95 | Verotik's English Devilman: CV 62479 (Verotik 1995, 3 issues, #1 1995-06 / #2 1995-09 / #3 1996-02) and GCD 23151 (Verotik 1995-1996, rows #1 1995-06 46pp / #2 1995-09-10 44pp / #3 1996-02) agree on publisher, start year and dates, and our "Devilman 001-002 (1995)" ladder 1-2 (38/39pp) in "Shin Devilman (1995) (Verotik)" sits inside both; GCD's #4-6 rows carry no dates or pages (unshipped solicitations), which is the only count difference
I 42107 cv=407204 gcd=350685 isbn=- 0.95 | "Devilman 001 (1995)" 38pp = CV 62479 #1 issue 407204 (1995-06-01) and GCD 23151 #1 row 350685 (1995-06, 46pp), both Verotik
I 42108 cv=633040 gcd=350686 isbn=- 0.95 | "Devilman 002 (1995)" 39pp = CV 62479 #2 issue 633040 (1995-09-01) and GCD 23151 #2 row 350686 (1995-09-10, 44pp), both Verotik
# --- S5436 Devilman (kept half)
S 5436 cv=39184 gcd=- 0.9 | Go Nagai's Devilman: CV 39184 "Devilman" (Kodansha 1972, 5; issues "Volume 1"-"Volume 5" dated 1972-10 … 1973-09) is our five COL v01-v05 (1972-1973, 187-252pp, c2c) by count and the per-volume years (v01-v02 1972, v03-v05 1973); the Verotik issues have left for S104101, so no residue remains; 0.9 for one leg — GCD has no Kodansha tankobon row (its 5-count Devilman rows are Dynamic Visions [fr-be] 226376, Black Box [fr] 226500 / 226522, Egmont [de] 212736)
N 5436 L-385 language check: CV 39184 is the Japanese Kodansha edition; `lookup.py "Devilman" --contains` finds no English five-volume edition (Seven Seas' Classic Collection 111021 / GCD 124854 is a 2-volume 2018 omnibus), so the Kodansha record stays the identity our 1972-1973-dated c2c rips name
I 42102 cv=264351 gcd=- isbn=- 0.9 | "COL Devilman v01 (1972)" 252pp = CV 39184 #1 issue 264351 "Volume 1" (1972-10-20) by ordinal and year; no GCD row for the Kodansha edition
I 42103 cv=264352 gcd=- isbn=- 0.9 | "COL Devilman v02 (1972)" 187pp = CV 39184 #2 issue 264352 "Volume 2" (1972-11-25) by ordinal and year; no GCD row for the Kodansha edition
I 42104 cv=264353 gcd=- isbn=- 0.9 | "COL Devilman v03 (1973)" 225pp = CV 39184 #3 issue 264353 "Volume 3" (1973-04-18) by ordinal and year; no GCD row for the Kodansha edition
I 42105 cv=264354 gcd=- isbn=- 0.9 | "COL Devilman v04 (1973)" 193pp = CV 39184 #4 issue 264354 "Volume 4" (1973-07-10) by ordinal and year; no GCD row for the Kodansha edition
I 42106 cv=264355 gcd=- isbn=- 0.9 | "COL Devilman v05 (1973)" 193pp = CV 39184 #5 issue 264355 "Volume 5" (1973-09-10) by ordinal and year; no GCD row for the Kodansha edition
