# R-141: triaged 0.9 tier, 25 Marvel Avengers-family shelves. Three shapes: (1) runs carrying residue (Aaron Avengers, Savage Avengers, Secret Avengers, Young Avengers, Priest Black Panther) - most residue now has a home and is sent there by split-needed joins; (2) the two Epic Collection LINES (Avengers Epic GCD 74603, Avengers West Coast Epic GCD 130433) cut into one shelf per book by ComicVine's per-book count-1 volumes - the old merge-with chains between the singletons never took effect because merge-with needs a SHARED cv, so each singleton now takes the line (cv=-) and joins the line shelf by the split lane (L-377), exactly as R-137 / P-055 did for the Marvel Two-in-One Epic Collection; (3) one-book trade shelves whose run already has a shelf (Lionheart of Avalon -> Avengers v3 S95223, a second rip of a book already there). Uncanny Avengers 2015 had stored the trade's count-1 GCD series; the run's own GCD 86102 replaces it.
# --- S1649 Avengers (2018, Jason Aaron)
S 1649 cv=110496 gcd=123960 0.9 | the Jason Aaron run: CV 110496 "Avengers" (Marvel 2018, 66, cached #1-66) and GCD 123960 (Marvel 2018-2023, 66) agree on publisher, start and count; "Avengers by Jason Aaron Vol. 01-11" are GCD 130905 #1-11 (rows 1855036 ... 2490863, roll-ups s123960) and Vol. 12 "Avengers Assemble" is GCD 202254 row 2555889 - the run's own editions; 0.9 for the Avengers Annual 2021 one-shot (CV 138528 / GCD 175734) and Avengers 1,000,000 BC #1 (GCD 188287), their own records, stored by no shelf
N 1649 residue with no home shelf: Avengers Annual (2021) CV 138528 / GCD 175734 and Avengers 1,000,000 BC (2022) GCD 188287 are each stored by no Series (who-stores 0 rows); the 1pp "Avengers 011 (2018) Conan vs. Marvel Heroes variant" is a cover of the run's own #11
# --- S15080 Savage Avengers (2019)
S 15080 cv=118663 gcd=144638 0.95 | Savage Avengers (2019-2022): CV 118663 (Marvel 2019, 29, cached #0-28) and GCD 144638 (Marvel 2019-2022, 29, #0-28) agree on publisher, span and count; our #0 (59pp = GCD #0 64pp) and #18 sit inside, the five trades Vol. 01-05 (each held twice, v01-v05 and Vol. 01-05 in two folders) are GCD 152552 #1-5 and the 768pp Gerry Duggan omnibus is GCD 197959 - all the run's own editions (one comic, several editions)
N 15080 flag #396 (label-ambiguous, item 93231) is right: the five volumes are each held twice (53047/93231 ... 53051/93235), two rips of one trade each, not different books
N 15080 the packet's stored GCD row 2465514 on the omnibus (93965) is another book (a 116pp Savage Avengers 2022 trade); the omnibus's own row is GCD 197959 issue 2509759 (784pp, ISBN 978-1-302-94784-2) and CV 149044 issue 979322
N 93229 no-record: "Savage Avengers - Director's Cut 001 (2019)" 138pp is a director's-cut edition of the run's #1; probes for "Savage Avengers Director's Cut" and Savage Avengers 2019 on both legs find no record of it
# --- S15232 Secret Avengers (2010)
S 15232 cv=33350 gcd=49024 0.9 | Secret Avengers (2010-2013): CV 33350 (Marvel 2010, 39, cached #1-37 with #12.1 / #21.1) and GCD 49024 (Marvel 2010-2013, 39) agree on publisher, span and count; our #1-5, #13-21, #26-28 sit inside - the "(2014)" #13-15 are the Fear Itself tie-ins #13-15 (CV titles "Fear Itself, Pt. 2-4", digital-release year in the name), not the 2013 relaunch - and Vol. 01-02 (GCD 60593 rows collecting #1-5 / #6-12) plus the Fear Itself trade (GCD 64732, #12.1, 13-15) are the run's editions; 0.9 for one 1pp cover of the 2013 run, split below
F 15232 split-needed | item 52012 "Secret Avengers 001 (2013) (Skottie Young 'Baby' Variant Only)" 1pp is a cover of Secret Avengers (2013-2014) #1, CV 57180 / GCD 71935, which S94691 stores (S line cv=57180 gcd=71935, C-041) -> join S94691 on its key "Secret Avengers v2 (2013)"
N 15232 the per-file GCD 71935 on 117520-117522 is the 2013 relaunch matched by the filename year; those three files are the 2010 run's #13-15
# --- S94728 Uncanny Avengers v2 (2015)
S 94728 cv=79736 gcd=86102 0.95 | Uncanny Avengers (2015, the five-issue run): CV 79736 (Marvel 2015, 5, cached #1-5 "Counter-Evolutionary Part 1-5") and GCD 86102 (Marvel 2015, 5) agree on publisher, year and count; our one book is the run's trade "Vol. 01 - Counter-Evolutionary" (GCD 92132 row 1453554 reprints s86102 #1-5, ISBN 978-0-7851-9237-4; CV 84137 issue 498400), so the RUN is the identity and the trade's count-1 GCD series 92132 (the previous S line's gcd) goes on the I line
N 94728 six files carrying per-file GCD 86102 sit on S20672 (the 2012 Uncanny Avengers shelf); whether those are 2015-run issues is S20672's question, not this shelf's
# --- S101396 West Coast Avengers (1985)
S 101396 cv=3521 gcd=3061 0.9 | the West Coast Avengers / Avengers West Coast run (L-390 retitle, numbering continuous) under the chain's FIRST record: CV 3521 "West Coast Avengers" (Marvel 1985, 46, cached #1-46) and GCD 3061 (Marvel 1985-1989, 47) agree on publisher, start and span; our ladder 1-46 fills CV's count, the b&w rips of #42-46 are second files, ComicInfo Web 28581 / 31863 are the annuals' CV issues; 0.9 for the WCA / AWC annuals (CV 3656 / 4219, GCD 3208 / 3831), which have no annual-series shelf; S1629's AWC #47-102 join here in P-056
N 101396 the continuation's records: Avengers West Coast #47-102 = CV 18494 / GCD 3830; each joined book carries its AWC era issue on its I line
# --- S1629 Avengers West Coast (1989)
S 1629 cv=18494 gcd=3830 0.9 | as read: Avengers West Coast (1989-1994) #47-102: CV 18494 (Marvel 1989, 56, cached #47-102) and GCD 3830 (Marvel 1989-1994, 55, #48-102) agree on publisher, span and count; our ladder 47-102 fills the cached span, the b&w rips of #47-57 and the chronology refiles are second files; 0.9 for the annuals #3-8 (residue)
