# R-142: identity revisit of wave 135's split shelves (P-056 landed) + S20672. Shape: the new split-out shelves seeded from P-056's run= ids (all verified against the rip / dump issue lists), the KEPT halves re-read now that the folded runs left (most rise from 0.9 to 0.95), the join targets re-read with their newcomers, and Uncanny Avengers S20672 still holding three other runs (2015 five-issue run, the 2015-2018 run's Unity trades, 2023 covers) that each have a live shelf.
# West Coast Avengers S101396 (L-390): one run #1-102 under the chain's first record CV 3521 / GCD 3061; every AWC-era book carries its CV 18494 / GCD 3830 issue on an I line (GCD keeps #47 on 3061). Ultimate Avengers S68336: both legs number the three six-issue arcs #1-18 but our files restart at 01 per arc, so each issue file carries its true #7-18 record on an I line.
S 104140 cv=33777 gcd=50320 0.95 | New Avengers (2010-2013): CV 33777 (Marvel 2010, 35, cached #1-34 + #16.1) and GCD 50320 (Marvel 2010-2013, 35) agree on publisher, start and count; our #16.1 and #17-30 (2011-2012, Fear Itself / AvX chronology folders, 19-23pp) sit inside both, GCD 50320 being the per-file link on 15/15 files
F 104140 needs-fetch cv=33777 | CV 33777 "New Avengers" 2010 is named from the rip and has no CvVolume row
N 104140 the per-file CV 11497 on 15/15 files is the 2004 New Avengers stamp inherited from the parent; this split-out shelf has no stored cv, so an N line, not wrong-cv-link (L-374)
S 104141 cv=18832 gcd=26005 0.95 | New Avengers/Transformers (2007): CV 18832 (Marvel 2007, 4, cached #1-4) and GCD 26005 (Marvel 2007, 4, 36pp each) agree on publisher, year and count; our four "(of 04)" files 01-04 (23-26pp) fill both exactly
F 104141 needs-fetch cv=18832 | CV 18832 "New Avengers/Transformers" 2007 is named from the rip and has no CvVolume row
N 104141 the per-file CV 11497 on 4/4 files is the 2004 New Avengers stamp inherited from the parent (no stored cv here, L-374); CV 77732 is the mini's count-1 TPB, which we do not hold
S 94666 cv=55330 gcd=70463 0.95 | New Avengers (2013-2015): CV 55330 (Marvel 2013, 33, cached #1-33) and GCD 70463 (Marvel 2013-2015, 33) agree; our four trades are the run's TPB line GCD 78083 #1-4 whose roll-ups reprint s70463 #1-6, #7-12, #13-17, #18-23 (trades vs run), and the joined "New Avengers 013.INH (2014)" is CV 55330 #13 "Inhumanity" issue 440250 = GCD 70463 #13 row 1171988 (the .INH issue)
N 94666 the four New Avengers trades carry containment `u` refusals since the #13.INH join (L-392); identity lines are unaffected. The per-file CV 11497 on 117762 is the 2004 stamp
I 52886 cv=415612 gcd=1171023 isbn=9780785168362 0.95 | "New Avengers Vol. 01 - Everything Dies (2013)" 151pp = GCD 78083 #1 issue 1171023 (160pp) and CV 64774 issue 415612
I 52887 cv=440817 gcd=1171021 isbn=9780785168379 0.95 | "New Avengers Vol. 02 - Infinity (2013)" 170pp = GCD 78083 #2 issue 1171021 (152pp) and CV 70582 issue 440817
I 52888 cv=457975 gcd=1217406 isbn=9780785154846 0.95 | "New Avengers Vol. 03 - Other Worlds (2014)" 132pp = GCD 78083 #3 issue 1217406 (144pp) and CV 75246 issue 457975
I 52889 cv=469737 gcd=1759107 isbn=9780785154853 0.95 | "New Avengers Vol. 04 - A Perfect World (2014)" 142pp = GCD 78083 #4 issue 1759107 (152pp) and CV 78018 issue 469737
I 117762 cv=440250 gcd=1171988 isbn=- 0.95 | "20 New Avengers 013.INH (2014)" 25pp = New Avengers (2013) #13.INH: CV 55330 #13 "Inhumanity" issue 440250 and GCD 70463 #13 row 1171988 (2013-12-31, 32pp)
S 12792 cv=11497 gcd=12464 0.9 | New Avengers (2005-2010): CV 11497 (Marvel 2004, 64, cached #1-64) and GCD 12464 (Marvel 2005-2010, 64) agree; our #16-31, #38-55 and the thirteen trades Vol. 01-13 (GCD TPB line 31872 rows, roll-ups s12464 #1 ... #55-60) are the run and its editions, #16-20 twice = the Collective chronology refiles; the 2010 run, the Transformers mini and #13.INH left in P-056; 0.9 for the Letters Home AAFES giveaway (own record GCD 30584)
N 12792 flag #354 (label-ambiguous, item 116634) is right: 52853/116634 and 52857/117912 are two rips each of Vol. 01 and Vol. 05
I 52853 cv=168832 gcd=541528 isbn=- 0.95 | "New Avengers Vol. 01 - Breakout (2005)" 137pp = GCD 31872 #1 issue 541528 (132pp) and CV 27622 issue 168832
I 116634 cv=168832 gcd=541528 isbn=- 0.95 | second rip of "New Avengers Vol. 01 - Breakout" 132pp = GCD 31872 #1 issue 541528 / CV 27622 issue 168832
I 52854 cv=132605 gcd=541529 isbn=- 0.95 | "New Avengers Vol. 02 - The Sentry (2006)" 112pp = GCD 31872 #2 issue 541529 and CV 21985 issue 132605
I 52855 cv=168841 gcd=541530 isbn=- 0.95 | "New Avengers Vol. 03 - Secrets & Lies (2006)" 109pp = GCD 31872 #3 issue 541530 (132pp) and CV 27623 issue 168841
I 52856 cv=132607 gcd=541531 isbn=- 0.95 | "New Avengers Vol. 04 - Collective (2007)" 100pp = GCD 31872 #4 issue 541531 (124pp) and CV 21986 issue 132607
I 52857 cv=168856 gcd=541532 isbn=- 0.95 | "New Avengers Vol. 05 - Civil War (2007)" 110pp = GCD 31872 #5 issue 541532 (124pp) and CV 27624 issue 168856
I 117912 cv=168856 gcd=541532 isbn=- 0.95 | second rip of "New Avengers Vol. 05 - Civil War" 110pp = GCD 31872 #5 issue 541532 / CV 27624 issue 168856
I 52858 cv=168868 gcd=900717 isbn=- 0.95 | "New Avengers Vol. 06 - Revolution (2008)" 127pp = GCD 31872 #6 issue 900717 (132pp) and CV 27625 issue 168868
I 52859 cv=169589 gcd=900718 isbn=- 0.95 | "New Avengers Vol. 07 - The Trust (2008)" 155pp = GCD 31872 #7 issue 900718 (188pp) and CV 27726 issue 169589
I 52860 cv=169668 gcd=900719 isbn=- 0.95 | "New Avengers Vol. 08 - Secret Invasion Book 1 (2009)" 112pp = GCD 31872 #8 issue 900719 (124pp) and CV 27731 #1 issue 169668
I 52861 cv=335565 gcd=900720 isbn=- 0.95 | "New Avengers Vol. 09 - Secret Invasion Book 2 (2009)" 107pp = GCD 31872 #9 issue 900720 (132pp) and CV 27731 #2 issue 335565
I 52862 cv=169678 gcd=900721 isbn=- 0.95 | "New Avengers Vol. 10 - Power (2009)" 112pp = GCD 31872 #10 issue 900721 (124pp) and CV 27741 issue 169678
I 52863 cv=204638 gcd=900722 isbn=- 0.95 | "New Avengers Vol. 11 - Search for the Sorcerer Supreme (2010)" 87pp = GCD 31872 #11 issue 900722 (116pp) and CV 32453 issue 204638
I 52864 cv=204640 gcd=900723 isbn=- 0.95 | "New Avengers Vol. 12 - Powerloss (2010)" 125pp = GCD 31872 #12 issue 900723 (148pp) and CV 32455 issue 204640
I 52865 cv=233511 gcd=- isbn=- 0.9 | "New Avengers Vol. 13 - Siege (2011)" 203pp = CV 35402 "New Avengers: Siege" issue 233511; GCD's TPB line 31872 stops at #12, so the trade's GCD row is not in our data
I 53988 cv=- gcd=s30584 isbn=- 0.9 | "New Avengers - Letters Home (2007)" 24pp = the AAFES military giveaway GCD 30584 "AAFES 4th Edition [The New Avengers: Letters Home]" (2007, 1 issue); CV has no record
S 103767 cv=- gcd=86779 0.9 | the Marvel "Spider-Man 2099" TPB line Vol. 1-7 (L-109 / L-318 / L-391: a line spanning two runs keeps its own identity): GCD 86779 (Marvel 2015-2017, 7) rows 1325209, 1325210, 1562566, 1605841, 1667255, 1730399, 1737139 are our seven books by title, page count and number, Vol. 05 now held twice after the P-056 join; Vols 1-2 reprint the 2014 run (GCD 81678 #1-12) and Vols 3-7 the 2015 run (GCD 93077 #1-25); CV mints one count-1 volume per trade and no line volume
N 103767 the two runs: Spider-Man 2099 (2014) = CV 75557 / GCD 81678; Spider-Man 2099 (2015) = CV 85312 / GCD 93077 (no CvVolume row); each trade's range is on its C line
N 103767 flag #422 (label-ambiguous, item 118879) is right: 52133 and 118879 are two rips of Vol. 05 - Civil War II
I 52133 cv=576634 gcd=1667255 isbn=9781302902810 0.95 | "Spider-Man 2099 Vol. 05 - Civil War II (2017)" 134pp = GCD 86779 #5 issue 1667255 (140pp, ISBN 978-1-302-90281-0) and CV 98074 issue 576634
I 118879 cv=576634 gcd=1667255 isbn=9781302902810 0.95 | second rip of "Spider-Man 2099 Vol. 05 - Civil War II" = GCD 86779 #5 issue 1667255 / CV 98074 issue 576634
C 52133 cv=85312 gcd=93077 #11-16 0.95 | Vol. 05 collects Spider-Man 2099 (Marvel 2015-2017, 25 issues; CV 85312 / GCD 93077) #11-16 per GCD's roll-up of row 1667255
C 118879 cv=85312 gcd=93077 #11-16 0.95 | Vol. 05 (second rip) collects Spider-Man 2099 (Marvel 2015-2017, 25 issues; CV 85312 / GCD 93077) #11-16 per GCD row 1667255
I 52129 cv=478760 gcd=1325209 isbn=9780785190790 0.95 | "Spider-Man 2099 Vol. 01 - Out of Time (2015)" 120pp = GCD 86779 #1 issue 1325209 (124pp, ISBN 978-0-7851-9079-0) and CV 79896 issue 478760
I 52130 cv=495594 gcd=1325210 isbn=9780785190806 0.95 | "Spider-Man 2099 Vol. 02 - Spider-Verse (2015)" 160pp = GCD 86779 #2 issue 1325210 (164pp, ISBN 978-0-7851-9080-6) and CV 83392 issue 495594
I 52131 cv=527151 gcd=1562566 isbn=9780785199632 0.95 | "Spider-Man 2099 Vol. 03 - Smack To The Future (2016)" 129pp = GCD 86779 #3 issue 1562566 (124pp) and CV 89950 issue 527151
I 52132 cv=541218 gcd=1605841 isbn=9780785199649 0.95 | "Spider-Man 2099 Vol. 04 - Gods And Women (2016)" 120pp = GCD 86779 #4 issue 1605841 (116pp) and CV 92576 issue 541218
I 52134 cv=617851 gcd=1730399 isbn=9781302902827 0.95 | "Spider-Man 2099 Vol. 06 - Apocalypse Soon (2017)" 122pp = GCD 86779 #6 issue 1730399 (116pp) and CV 103832 issue 617851
I 52135 cv=625324 gcd=1737139 isbn=9781302905200 0.95 | "Spider-Man 2099 Vol. 07 - Back To Future Shock! (2017)" 151pp = GCD 86779 #7 issue 1737139 (116pp) and CV 104638 issue 625324
C 52129 cv=75557 gcd=81678 #1-5 0.95 | Out of Time collects Spider-Man 2099 (Marvel 2014-2015, 12 issues; CV 75557 / GCD 81678) #1-5 per GCD's roll-up of row 1325209
C 52130 cv=75557 gcd=81678 #6-12 0.95 | Spider-Verse collects Spider-Man 2099 (Marvel 2014-2015, 12 issues; CV 75557 / GCD 81678) #6-12 per GCD's roll-up of row 1325210
