# R-144 — triaged 0.9 tier, 40 Marvel shelves (Black Panther, Captain America, Captain Britain / Knights of Pendragon,
# Carnage, Cloak and Dagger, Conan). Three shapes recur: (1) Epic Collection per-book singletons whose old merge-with
# lines never landed (each stored its own count-1 CV volume) -> S cv=- gcd=<line> + wrong-cv-link + split-lane join onto
# the line shelf (L-392 / L-377): Captain America EC -> S3453, Conan Chronicles EC -> S4094 (in-batch anchor; S4092 "Conan Chronicles Epic
# Collection", outside this batch), Black Panther EC -> S2755; (2) per-file CV stamps of another decade's volume on issue
# files (2400 Captain America 1968, 4402 Knights 1990, 11502 Black Panther 2005, 36240 Carnage 2010) -> I lines restate each
# file's own issue; (3) trades whose run lives on another shelf -> the run's ids + merge-with (L-031 / L-324b). Several
# earlier I lines were wrong and are corrected here: X-058's Coates Captain America rows were PANINI DEUTSCHLAND (GCD
# 142421), the Black Panther Vol. 06-08 CV ids were ISSUES of the 2009 run, Winter Soldier's GCD 68861 is the trade line.

# ===== Black Panther =====
S 95617 cv=11502 gcd=12471 0.95 | Hudlin's Black Panther (2005-2008): CV 11502 (Marvel 2005, 41, cached #1-41) and GCD 12471 (Marvel 2005-2008, 41) agree on publisher, span and count; our #7-9, 14-18, 21-30 floppies, the 2pp #39-40 cover-only files and the eight trades Vol. 01-08 (judged #1-6 ... #35-38; CV titles "Back to Africa" #35-38, "See Wakanda and Die" #39-41) are the run and its editions; #18 twice is a duplicate rip
F 95617 wrong-cv-link | per-file CV 25638 (Black Panther 2009) on three of the trades is a stamp: X-058 even wrote 2009 ISSUE ids (164816 = #6, 166335 = #7) as Vol. 06 / 07's records; each trade's own count-1 CV volume is on its I line below
N 95617 flag #183 (label-ambiguous, item 116970) is right: "Black Panther v4 039 / 040 (2nd Printing Jefte Palo Variant Cover ONLY)" are 2pp cover files of #39-40, not collections
N 95617 the RANGE CONTRADICTED on 53594 is void: its stored GCD row 2000678 is Coates' 2019 "Black Panther Vol. 7" (GCD 105777), another book; Vol. 07 "Back to Africa" is #35-38 of this run (CV 11502 titles "Back To Africa, Part 1 ... Conclusion")
I 53588 cv=267962 gcd=1070675 isbn=0-7851-2048-3 0.95 | "Black Panther Vol. 01 - Who is Black Panther (2006)" 143pp = CV 39726 issue 267962 (2006-03-22) and GCD 71784 row 1070675 (2006-03-22, 148pp; roll-up s12471 #1-6)
I 53589 cv=186078 gcd=1142602 isbn=- 0.95 | "Vol. 02 - Bad Mutha (2006)" 102pp = CV 30183 "Black Panther: Bad Mutha" issue 186078 and GCD 76760 row 1142602 (100pp, collects Black Panther 2005 #10-13)
I 53590 cv=186088 gcd=1142603 isbn=0-7851-2107-2 0.95 | "Vol. 03 - The Bride (2006)" 141pp = CV 30186 "Black Panther: The Bride" issue 186088 and GCD 76761 row 1142603 (140pp, collects #14-18)
I 53591 cv=190496 gcd=1142604 isbn=- 0.95 | "Vol. 04 - Civil War (2007)" 179pp = CV 30819 "Black Panther: Civil War" issue 190496 and GCD 76759 row 1142604 (172pp, collects #19-25)
I 53592 cv=185614 gcd=1142605 isbn=- 0.95 | "Vol. 05 - Four the Hard Way (2007)" 126pp = CV 30150 "Black Panther: Four the Hard Way" issue 185614 and GCD 76762 row 1142605 (132pp, collects #26-30)
I 53593 cv=186085 gcd=- isbn=- 0.9 | "Vol. 06 - Little Green Men (2008)" 100pp = CV 30185 "Black Panther: Little Green Men" issue 186085 "TPB" (2008-05); GCD indexes no row under that title (probe: 0 hits) - replaces X-058's cv=164816, an issue of the 2009 run
I 53594 cv=185475 gcd=- isbn=- 0.9 | "Vol. 07 - Back to Africa (2008)" 133pp = CV 30127 "Black Panther: Back to Africa" issue 185475 "TPB" (2008-10-22); no GCD row by title - replaces X-058's cv=166335 / gcd=2000678 (2009 #7 / Coates Vol. 7)
