# R-163 — identity revisit of wave 159's split shelves (P-068 landed): the Spectacular Spider-Man 1976 run, its annual shelf and #1 facsimile shelf, the Punisher 1987 run and its annual shelf, and the Spectacular Spider-Man 2003 trade shelf.
# Every split landed as written: S19654 lost its eleven annuals (-> S34224) and gained 87487; S65458 lost its five annuals (-> S34434); S16006 lost 87487. Each shelf is now one run (plus its own editions / duplicate rips), so the 0.9 caps of R-159 / R-160 lift to 0.95 (1.0 where the ComicInfo Web ids assert it).
# Surprise: S65458's named-story rips ("Punisher 053 - The Final Days 01" ... "Punisher 104 - Countdown 01") parse the part number as the issue — that is why the ladder shows 53-59 / 77-79 / 82-84 / 89-92 / 94-95 / 103-104 missing and #1-7 doubled. 21 I lines pin them to the right CV 3855 / GCD 3431 issues (L-393's arc-restart shape).
# The annual shelf S34224 carries per-file CV 2870 (the monthly) on 5 files and GCD 73264 (Yaffa, Australian) on 5 — I lines on all 16 annual files pin them to CV 3012 / GCD 2518.

S 19654 cv=2870 gcd=2359 0.95 | Peter Parker, the Spectacular Spider-Man / The Spectacular Spider-Man (Marvel 1976-1998): CV 2870 (1976, 265 cached incl. #-1) and GCD 2359 (Marvel 1976-1998, 265) agree on publisher, span and count; ComicInfo Web 21192 / 23303 / 23644 / 23890 are CV 2870 #53 / #80 / #84 / #86 (L-136), Volume "1976" x54, Count "263" x9; ladder 1-136, 146-148, 151-263; the annuals and the facsimile left by P-068, what remains is the run, duplicate rips (#24 c2c, #146-148 AnPymGold chronology rips, #158, #211, #227) and its own two editions (Tombstone #137-150, Omnibus Book 01 #1-42) - residue that costs nothing
N 19654 flag #489 (label-ambiguous, item 95949) is stale in substance: 95949's per-file CV 161379 is "The Spectacular Spider-Man Omnibus" (2022) issue 1079766 "Volume 1", not a Ben Reilly omnibus; label-ambiguous takes an N line, not stale-flag
N 19654 who-stores cv=3012 = S34224 only (the annual shelf); no Spectacular Spider-Man annual remains on this shelf
I 95948 cv=531900 gcd=1575786 isbn=978-1-302-90064-9 0.95 | "Spider-Man Vol. 01 - Tombstone (2016)" 367pp = CV 90722 "Spider-Man: Tombstone" issue 531900 ("TPB") and GCD 102633 row 1575786 "Tombstone" (372pp, reprints s2359 #137-150)
I 95949 cv=1079766 gcd=2456778 isbn=978-1-302-94740-8 0.95 | "The Spectacular Spider-Man Omnibus Book 01 (2022)" 918pp = CV 161379 issue 1079766 "Volume 1" and GCD 193052 #1 row 2456778 (940pp, reprints s2359 #1-42)

S 34224 cv=3012 gcd=2518 1.0 | the collection asserts it: ComicInfo Web 20034 is CV 3012 issue #2 "Vengence Is Mine . . . Sayeth the Sword!" (1980), and CV 3012 "The Spectacular Spider-Man Annual" (Marvel 1979, 14 cached #1-14) agrees with GCD 2518 (Marvel 1979-1994, 14 rows) on publisher, span and count; ComicInfo Count "14"; our ladder 1-14 is the whole series, #8 and #9 each also held as an X-Men Complete Chronology rip (87243 / 87351)
N 34224 per-file CV 2870 (x5, the monthly) and GCD 73264 (x5, Yaffa's Australian reprint) / 2359 / 3966 (Italian Silver Surfer, round2-folder) are stamps; the I lines below pin every file to CV 3012 / GCD 2518
I 94899 cv=19082 gcd=32907 isbn=- 0.95 | "01 Peter Parker, the Spectacular Spider-Man Annual 001 (1979)" 36pp = CV 3012 #1 issue 19082 and GCD 2518 #1 row 32907 (52pp, 1979)
I 94900 cv=20034 gcd=33982 isbn=- 1.0 | "02 ... Annual 002 (1980)" 35pp: ComicInfo Web 20034 = CV 3012 #2 issue 20034 "Vengence Is Mine"; GCD 2518 #2 row 33982 (52pp, 1980)
I 94901 cv=20901 gcd=34967 isbn=- 0.95 | "03 ... Annual 003 (1981)" 40pp = CV 3012 #3 issue 20901 "Dark Side of the Moon" and GCD 2518 #3 row 34967 (52pp, 1981)
I 94902 cv=24921 gcd=39339 isbn=- 0.95 | "04 ... Annual 004 (1984)" 42pp = CV 3012 #4 issue 24921 "Memory Lane" and GCD 2518 #4 row 39339 (52pp, 1984)
I 94903 cv=25091 gcd=39517 isbn=- 0.95 | "05 ... Annual 005 (1985)" 53pp c2c = CV 3012 #5 issue 25091 "Ace" and GCD 2518 #5 row 39517 (52pp, 1985)
I 94904 cv=26301 gcd=40891 isbn=- 0.95 | "06 ... Annual 006 (1986)" 53pp c2c = CV 3012 #6 issue 26301 "Ace II" and GCD 2518 #6 row 40891 (52pp, 1986)
I 94905 cv=27587 gcd=42287 isbn=- 0.95 | "07 ... Annual 007 (1987)" 52pp c2c = CV 3012 #7 issue 27587 "The Honeymoon" and GCD 2518 #7 row 42287 (52pp, 1987)
I 94906 cv=29040 gcd=43862 isbn=- 0.95 | "08 The Spectacular Spider-Man Annual 008 (1988)" 69pp c2c = CV 3012 #8 issue 29040 "Return to Sender" and GCD 2518 #8 row 43862 (68pp, 1988)
I 87243 cv=29040 gcd=43862 isbn=- 0.95 | "010 Spectacular Spider-Man Annual 008 (1988)" 42pp, the Evolutionary War chronology rip of #8 = CV 3012 issue 29040 and GCD 2518 row 43862 (68pp)
I 94907 cv=30632 gcd=45587 isbn=- 0.95 | "09 The Spectacular Spider-Man Annual 009 (1989)" 69pp c2c = CV 3012 #9 issue 30632 "The Serpent In The Shadow" and GCD 2518 #9 row 45587 (68pp, 1989)
