# R-164 (triaged 0.9 tier, Marvel: the Thunderbolts 2006 / 2024 runs, the Thunderbolts Epic Collection line and its per-book shelf, Burning Down the House; the Ultimate line - Ultimate Elektra, Ultimate Iron Man, Ultimate Spider-Man 2000 and the Bendis line, Ultimate X-Men, Ultimates 2, Ultimate Comics Ultimates; What If? Classic).
# Folders: Marvel\_Thunderbolts\NN Thunderbolts vN (year) with Trades / Variant Covers, Thunderbolts Epic Collections, _Trades; Marvel\_Ultimate Comics\<Title> (year)\NN <Title> (year) with Deluxe / Omnibus / Annuals subfolders; Marvel\_What If..._\What If v1 (1977); chronology trees file second rips.
# Run-vs-line (L-395 / L-403): What If? Classic (a trade line reprinting What If? 1977 only), Burning Down the House (a Thunderbolts 2006 trade), and the Ultimate Comics Spider-Man by Bendis line (UCSM 2011 only) give way to their runs; the Thunderbolts Epic Collection stays a LINE (open question with Eric) and its per-book shelf joins it (L-392).
# Surprises: S94864's two 1pp "Thunderbolts 001 (2023)" covers are the Asrar / Perez variant rows of Thunderbolts (2024) GCD 206551 - not the 2022 mini GCD 188709 that C-051 stored (L-404 method); Ultimate Comics Ultimates HAS an English GCD series - "Ultimates" 60917 (2011-2013, 31) - so C-064's provider-missing was a spelling miss; C-052's misfiled claim on What If "v1 027 / 031 / 033" was wrong - they ARE What If? (1977) #27 / #31 / #33 (Phoenix / Wolverine-Hulk / Dazzler); "Ultimate Spider-Man 200 (2014)" is GCD 60934 / CV 42821 #200, the 2011 run's.

S 94814 cv=18128 gcd=17522 0.95 | Thunderbolts (Marvel 2006-2012, #100-174): CV 18128 (2006, 76 issues) and GCD 17522 (Marvel 2006-2012, 76) agree on publisher, span and count; ComicInfo Volume "2006" x4; our "04 Thunderbolts v1 (2006)" ladder 100-102, 110-125, 130-143, 148-168 (+ #163.1) sits inside, and the four trades in its Trades folder are this run's own editions (Guardian Protocols #104-109, Burning Down the House #126-129, Cage #144-147, Like Lightning #169-174); the four #122-125 doubles are second rips
F 94814 needs-fetch cv=18128 | CV 18128 "Thunderbolts" (Marvel 2006, 76) is named from the rip only; no CvVolume row
N 94814 no stored cv on this shelf, so C-051's wrong-cv-link was the wrong line (L-374): per-file CV 6020 (the 1997 volume) on 59/63 is a title stamp; the twenty 2006-run issues on S94813 and S20195's second rip of Burning Down the House join / merge here (R-162 split line; merge line in this file)
I 97014 cv=263377 gcd=1091596 isbn=978-0-7851-3166-3 0.9 | "Thunderbolts Vol. 01 - Burning Down The House (2009)" 120pp = CV 39097 issue 263377 "HC/TPB" and GCD 72598 row 1091596 (124pp, collects #126-129); GCD's twin 59720 row 853853 (116pp) is the 0.9
I 97015 cv=239292 gcd=1052010 isbn=978-0-7851-4774-9 0.9 | "Thunderbolts Vol. 01 - Cage (2011)" 108pp = CV 36274 "Thunderbolts: Cage" issue 239292 "HC/TPB" and GCD 71187 row 1052010 (120pp, collects #144-147); GCD's 2011 twin 71146 is the 0.9
I 97016 cv=171581 gcd=1087085 isbn=0-7851-2246-X 0.95 | "Thunderbolts Vol. 05 - Guardian Protocols (2007)" 90pp = CV 27984 issue 171581 "TPB" and GCD 72397 row 1087085 (100pp, collects #104, #106-109)
I 97017 cv=411526 gcd=1026644 isbn=978-0-7851-6171-4 0.95 | "Thunderbolts Vol. 06 - Like Lightning (2012)" 130pp = CV 63586 issue 411526 "TPB" and GCD 69462 row 1026644 (136pp, collects #169-174)

S 94864 cv=155139 gcd=206551 0.95 | Thunderbolts (Marvel 2024, Kelly / Lanzing, 4): the folder "09 Thunderbolts v5 (2024)" and the two 1pp "Thunderbolts 001 (2023)" covers are GCD 206551 #1's named variant rows 2598915 "Mahmud Asrar Cover" and 2598680 "George Perez Cover" (on sale 2023-12-06); CV 155139 (2024, 4) and GCD 206551 (2024, 4) agree on publisher, year and count; GCD 188709 (the 2022 mini C-051 stored) has no Asrar or Perez variant of #1
F 94864 partial-rip | the shelf is two 1pp variant covers of #1 only
F 94864 merge-with=20180 | same run, same folder "09 Thunderbolts v5 (2024)": S20180 (S line B-060 cv=155139 gcd=206551 0.95) holds the run's trade "Thunderbolts - Worldstrike (2024)" 126pp; this S line carries the same cv=155139; checker anchor only: S20180 is outside this batch
