# R-173 — revisit of 50 Marvel shelves from the X-Men family tail (Complete Chronology V2, _X-Men TPBs, the Skottie Young
# covers bucket, the Infinite Comics folders): seven per-book X-Men Epic shelves that now JOIN the line shelf S22349 (L-409),
# and a long run of C-05x "dominant + residue named not merged" shelves re-read under the later rulings (L-368 / L-388 /
# L-391): residue whose run has a live shelf now JOINS it (Gambit 1993 -> S97095, X-Force / Champions '98 -> S22196, X-Men
# Forever 2 -> S22365, Uncanny X-Force 2013 -> S94816, Nightcrawler 2004 -> S65353, Punisher 2014 / 2016 covers ->
# S94683 / S94684); a whole second mini with NO shelf is a co-equal run -> R + split-needed (Rogue 1995, Amazing X-Men
# 1995, Magneto 1996). Surprise: Damage Control "V2" files are the Dec 1989 Acts of Vengeance mini, GCD 3973, not the
# stored-by-name GCD 3972 (May 1989); two TPB singletons are later editions than their stored records.

# ---- The X-Men Annual (1992) (also in R-172) ----
S 102429 cv=10748 gcd=11656 0.9 | The X-Men Annual (Marvel 1992-1994, 3): CV 10748 (1992, 3 cached #1-3) and GCD 11656 (Marvel 1992-1994, 3) agree on publisher, span and count; our #1 (86000 53pp and 87803 64pp, joined by P-074), #2 (88009) and #3 (88143) fill the ladder 1-3 at 53-64pp, ComicInfo Web 90586 = CV 10748 #3; 0.9 for two annuals of other records - X-Men '99 (89006) and X-Men Annual 2007 (90652)
F 102429 wrong-cv-link | the per-file CV 43640 (Panini France "X-Men" 1997) on 6/6 files is the franchise-wide foreign stamp (L-313); GCD's per-file 51043 / 53378 / 173143 are French and UK editions; the stored 10748 / 11656 are right
N 102429 neither residue annual has a shelf (lookup --who-stores cv=60463 and cv=18169: 0 Series rows), so they stay named, not split; the other yearly X-Men annuals ('95-'98, 2000) sit as residue on S66349
I 89006 cv=156744 gcd=119675 isbn=- 0.9 | "003 X-Men Annual 1999 (1999)" 40pp is the 1999 annual of X-Men (1991): CV 60463 "X-Men 1999" issue 156744 "Metal Works" and GCD 10621 "X-Men 1999" row 119675 (60pp); the page count is short of GCD's, so 0.9
I 90652 cv=106389 gcd=342290 isbn=- 1.0 | "001 X-Men Annual 001 (2007)" 40pp carries ComicInfo Web 106389 = CV 18169 "X-Men Annual" 2007 issue 106389 "Covenant"; GCD 22334 "X-Men Annual" 2007 row 342290 (52pp) is the same one-shot

# ---- per-book X-Men Epic Collection shelves -> join the line shelf S22349 (L-392 / L-405 / L-409) ----
S 22355 cv=- gcd=82692 0.9 | volume 04 "It's Always Darkest Before the Dawn" of the X-Men Epic Collection LINE: GCD 82692 #4 row 1997340 (516pp, ISBN 978-1-302-91603-9, roll-up X-Men 1963 #67-76 + Amazing Adventures #11-17) is our 513pp book; CV 120262 is only its count-1 book volume (issue 713945, on the I line)
F 22355 wrong-cv-link | the stored CV 120262 "X-Men Epic Collection: It's Always Darkest Before the Dawn" is the Vol. 04 book's own count-1 volume, not the line; it belongs on the I line
F 22355 split-needed | item 86435 -> join S22349 on its ParsedKey "X-Men Epic Collection" - S22349's S line is the same GCD 82692 line with cv=-; the one-book shelf empties by the join (L-377 / L-392 / L-409); C-054's merge-with=22356 is obsolete
I 86435 cv=713945 gcd=1997340 isbn=978-1-302-91603-9 0.9 | "COL X-Men Epic Collection Vol. 04 - It's Always Darkest Before The Dawn (2019)" 513pp = CV 120262 issue 713945 and GCD 82692 #4 row 1997340 (516pp); twin printing rows on the line cap it at 0.9
C 86435 cv=2133 gcd=1576 #67-76 0.95 | The X-Men (Marvel 1963-1981, 141; CV 2133 / GCD 1576): GCD row 1997340's roll-up reprints s1576 #67-76 (10 stories), the reprint-era issues' new material and covers
C 86435 gcd=1937 #11-17 0.9 | Amazing Adventures (Marvel 1970-1976, 39; GCD 1937, the Beast feature): GCD row 1997340's notes and roll-up reprint s1937 #11-17 (10 stories) inside the same volume
N 86435 Vol. 04 also reprints scattered guest issues (Incredible Hulk 1968 #150 / #161 / #172 / #180-182, Captain America 1968 #172-175, X-Men Annual 1970 #1-2 and others) per GCD row 1997340 - not stated as C ranges across their gaps

S 22356 cv=- gcd=82692 0.9 | volume 22 "Legacies" of the X-Men Epic Collection LINE: GCD 82692 #22 row 2515596 (492pp, ISBN 978-1-302-95111-5, roll-up X-Men 1991 #17-23 + Uncanny #297-300 + X-Men Unlimited #1) is our 466pp book; CV 149294 is only its count-1 book volume (issue 981295, on the I line)
F 22356 wrong-cv-link | the stored CV 149294 "X-Men Epic Collection: Legacies" is the Vol. 22 book's own count-1 volume, not the line; it belongs on the I line
F 22356 split-needed | item 86447 -> join S22349 on its ParsedKey "X-Men Epic Collection" - S22349's S line is the same GCD 82692 line with cv=-; the one-book shelf empties by the join (L-377 / L-392 / L-409); C-054's merge-with=22357 is obsolete
I 86447 cv=981295 gcd=2515596 isbn=978-1-302-95111-5 0.9 | "COL X-Men Epic Collection Vol. 22 - Legacies (2023)" 466pp = CV 149294 issue 981295 and GCD 82692 #22 row 2515596 (492pp); twin printing rows on the line cap it at 0.9
C 86447 cv=4605 gcd=4254 #17-23 0.95 | X-Men (Marvel 1991-2001, 115; CV 4605 / GCD 4254): GCD row 2515596's roll-up reprints s4254 #17-23 (15 stories)
C 86447 cv=3092 gcd=2605 #297-300 0.95 | The Uncanny X-Men (Marvel 1981-2011, 405; CV 3092 / GCD 2605): GCD row 2515596's roll-up reprints s2605 #297-300 (10 stories) inside the same volume
C 86447 cv=5066 gcd=4754 #1-1 0.95 | X-Men Unlimited (Marvel 1993-2003, 50; CV 5066 / GCD 4754): GCD row 2515596's roll-up reprints s4754 #1 (8 stories) inside the same volume
C 86447 gcd=11669 #17-17 0.9 | The Uncanny X-Men Annual (Marvel 1992-1994, 3; GCD 11669): GCD row 2515596's roll-up reprints s11669 #17 (7 stories) inside the same volume

S 22357 cv=- gcd=82692 0.9 | volume 06 "Proteus" of the X-Men Epic Collection LINE: GCD 82692 #6 row 2150378 (444pp, ISBN 978-1-302-92252-8, notes X-Men 1963 #111-128) is our 423pp book; CV 129905 is only its count-1 book volume (issue 796464, on the I line)
F 22357 wrong-cv-link | the stored CV 129905 "X-Men Epic Collection: Proteus" is the Vol. 06 book's own count-1 volume, not the line; it belongs on the I line
F 22357 split-needed | item 86437 -> join S22349 on its ParsedKey "X-Men Epic Collection" - S22349's S line is the same GCD 82692 line with cv=-; the one-book shelf empties by the join (L-377 / L-392 / L-409); C-054's merge-with=22358 is obsolete
I 86437 cv=796464 gcd=2150378 isbn=978-1-302-92252-8 0.9 | "COL X-Men Epic Collection Vol. 06 - Proteus (2020)" 423pp = CV 129905 issue 796464 and GCD 82692 #6 row 2150378 (444pp); twin printing rows on the line cap it at 0.9
C 86437 cv=2133 gcd=1576 #111-128 0.95 | The X-Men (Marvel 1963-1981, 141; CV 2133 / GCD 1576): GCD row 2150378's notes and roll-up reprint s1576 #111-128 (37 stories, plus X-Men Annual #3)

S 22359 cv=- gcd=82692 0.9 | volume 07 "The Fate of the Phoenix" of the X-Men Epic Collection LINE: GCD 82692 #7 row 2211197 (484pp, ISBN 978-1-302-92253-5, notes X-Men 1963 #129-141 + Uncanny #142-143) is our 446pp book; CV 134230 is only its count-1 book volume (issue 832898, on the I line)
F 22359 wrong-cv-link | the stored CV 134230 "X-Men Epic Collection: The Fate of the Phoenix" is the Vol. 07 book's own count-1 volume, not the line; it belongs on the I line
F 22359 split-needed | item 86438 -> join S22349 on its ParsedKey "X-Men Epic Collection" - S22349's S line is the same GCD 82692 line with cv=-; the one-book shelf empties by the join (L-377 / L-392 / L-409); C-054's merge-with=22361 is obsolete
I 86438 cv=832898 gcd=2211197 isbn=978-1-302-92253-5 0.9 | "COL X-Men Epic Collection Vol. 07 - The Fate of the Phoenix (2021)" 446pp = CV 134230 issue 832898 and GCD 82692 #7 row 2211197 (484pp); twin printing rows on the line cap it at 0.9
